Name	Count
Total count: 	23662
(Stockholm	11671
(Helsingfors	 1509
(Göteborg	 1117
(Uppsala	  708
(Örebro	  543
(Lund	  526
(Malmö	  486
(Norrköping	  311
(Upsala	  272
(Rock Island, Ill.	  263
(Tammerfors	  222
(Linköping	  173
(Mariestad	  157
(Chicago, Ill.	  135
(Jönköping	  134
(Falun	  133
(Uddevalla	  130
(Borgå	  115
(Åbo	  111
(Motala	  111
(Helsingborg	  107
(Strängnäs	  107
(Strengnäs	   99
(Chicago	   98
(Vetlanda	   90
(Halmstad	   85
(Kristianstad	   84
(Helsinki	   80
(Lovisa	   80
(Karlstad	   76
(Östersund	   75
(Sundsvall	   75
(Hälsingborg	   73
(Visby	   71
(Falköping	   69
(Västerås	   68
(Eskilstuna	   67
(Västervik	   67
(Borås	   64
(Nyköping	   62
(Gefle	   59
(Gävle	   57
(Växjö	   54
(Kalmar	   53
(Minneapolis, Minn.	   47
(Karlshamn	   46
(Södertälje	   45
Stockholm	   44
(Skara	   43
(Karlskrona	   42
(Umeå	   41
(Landskrona	   39
(Eksjö	   38
(Götheborg	   37
(Carlshamn	   36
(Åstorp	   34
(Christianstad	   34
(Ystad	   34
(Hässleholm	   33
(Westervik	   33
(Köping	   32
(New York	   32
(Porvoo)	   31
(Härnösand	   30
(Vänersborg	   30
(Arboga	   28
(Eslöv	   27
(Leipzig)	   27
([Stockholm]	   27
(Borlänge	   26
(Porvoo	   26
(Lindesberg	   25
(Sala	   25
(Malung	   24
(Skövde	   24
(Enköping	   23
(Vadstena	   23
(Varberg	   23
(Arvika	   22
(Ekenäs	   22
(Hudiksvall	   22
(Trelleborg	   22
(Filipstad	   21
(Sölvesborg	   21
(Kristinehamn	   20
(Luleå	   20
(Oskarshamn	   20
(Söderhamn	   20
(Vasa	   20
(Lidköping	   19
(Mariefred	   19
(Sollefteå	   19
(Tampere	   19
Uppsala	   19
(Katrineholm	   18
(Moline, Ill.	   18
(Örnsköldsvik	   18
(Forssa	   17
(Tierp	   17
(Worcester, Mass.	   17
(Hernösand	   16
(Sköfde	   16
(Klippan	   15
(Leipzig	   15
(Upsaliæ	   15
(Säffle	   14
(Trosa	   14
(Ulricehamn	   14
(Åmål	   13
(Bollnäs	   13
(Boston, Mass.	   13
(Hedemora	   13
(Norrtälje	   13
(Norrtelje	   13
(Vesterås	   13
(Hörby	   12
(Svedala	   12
(Trollhättan	   12
(Alingsås	   11
(Berlin)	   11
(Engelholm	   11
(Falkenberg	   11
(Finland)	   11
(Kjöbenhavn	   11
(Nässjö	   11
(Skellefteå	   11
(Stockholm)	   11
(Turku	   11
(Askersund	   10
(Carlskrona	   10
(Greifswald	   10
(Sundbyberg	   10
(Wexiö	   10
(Calmar	    9
(Holmiæ	    9
(Kuopio	    9
(Seattle, Wash.	    9
([s.l.]	    9
(Sunne	    9
(Tranås	    9
(Uppsala)	    9
(Viborg	    9
(Brooklyn, N.Y.	    8
([Göteborg]	    8
(Hangö	    8
(Lahti	    8
(San Francisco, Calif.	    8
(Tidaholm	    8
(Arlöv	    7
(Hvetlanda	    7
(København	    7
(Köpenhamn	    7
(Lysekil	    7
(Minneapolis	    7
(Nikolaistad	    7
(Nürnberg)	    7
(Nybro	    7
(Osby	    7
(Söderköping	    7
([Stockholm	    7
(Värnamo	    7
(Wästerås	    7
(Wexjö	    7
(Berlin	    6
(Hämeenlinna	    6
(Helsingfors)	    6
(Kumla	    6
(Tacoma, Wash.	    6
(Tyskland)	    6
(Wadstena	    6
(Westerås	    6
(Winnipeg, Man.	    6
(Boden	    5
(Fahlun	    5
Göteborg	    5
Helsingfors	    5
(Köpenhamn)	    5
(Mellerud	    5
(Moheda	    5
(Nora	    5
Örebro	    5
([S.l.]	    5
(Vexiö	    5
(Wasa	    5
(Alvesta	    4
(Bengtsfors	    4
(Borgholm	    4
(Buenos Aires	    4
(Carlstad	    4
([Chicago]	    4
(Decorah, Iowa	    4
(Duluth, Minn.	    4
(Galesburg, Ill.	    4
(Helsingsfors	    4
(Jakobstad	    4
(København)	    4
(Lidingö	    4
(Ludvika	    4
(Red Wing, Minn.	    4
(Rock Island	    4
( Stockholm	    4
(Stockholmiæ	    4
(St. Paul, Minn.	    4
(Tandsbyn	    4
(Vetland	    4
(Vimmerby	    4
(Vinslöv	    4
(Älmhult	    3
(Battle Creek, Mich.	    3
(Boston	    3
(Danmark)	    3
(Hammarstrand	    3
(Helsinki)	    3
(Jyväskylä	    3
(Karlskoga	    3
(Kjøbenhavn	    3
(Kristiania	    3
(Lindsborg, Kan.	    3
(Ljungby	    3
(London)	    3
Lund	    3
(Lund)	    3
(Mariehamn	    3
(Mikkeli	    3
(Mora	    3
(Omaha, Neb.	    3
(Östervåla	    3
(Östhammar	    3
(Piteå	    3
(Råsunda	    3
(Säter	    3
(Skeninge	    3
(Stocksund	    3
(Strömstad	    3
(Ulricehamn)	    3
(Venersborg	    3
(Vestervik	    3
(Vexjö	    3
(Wiborg	    3
(Winnipeg	    3
(	    2
(Alby	    2
(Älvdalen	    2
(Arbrå	    2
(Båstad	    2
(Bishop Hill, Ill.	    2
(Björneborg	    2
(Borgå)	    2
(Bromma	    2
(Edsbyn	    2
(Ekesjö	    2
([Eskilstuna]	    2
(Fredrikshald	    2
(Gäfle	    2
(Gamlakarleby	    2
Gävle	    2
(göteborg	    2
(Grand Rapids, Mich.	    2
(Haarlem)	    2
(Hällefors	    2
(Hallsberg	    2
(Hälsningborg	    2
(Hamburg	    2
(Haparanda	    2
(Heby	    2
Helsingborg	    2
(Helsingissä	    2
Helsinki	    2
(Hemse	    2
(Höör	    2
(Ironwood, Mich.	    2
(Karlsborg	    2
(Kjöpenhamn	    2
(Kotka	    2
(Kungsbacka	    2
(Laholm	    2
Malmö	    2
([Malmö]	    2
(Markaryd	    2
([Minneapolis]	    2
(Mjölby	    2
(Moline	    2
(New Britain, Conn.	    2
(Nijmegen)	    2
(Norkiöping	    2
(Norköping	    2
Norrköping	    2
(Norrköping)	    2
([Omsl.: Stockholm	    2
(Örebro)	    2
(Orebroæ	    2
(Oscarshamn	    2
(Oslo	    2
Östersund	    2
(Paris)	    2
(Philadelphia	    2
(Pori	    2
(Portland, Or.	    2
(Riihimäki	    2
(Rock Island, ill.	    2
(Rock Island Ill.	    2
(Rock Island, Ill	    2
(Ronneby	    2
(San Francisco	    2
(Sävsjö	    2
(Schweiz)	    2
(Simrishamn	    2
(Skurup	    2
(Södertelje	    2
(Sortavalassa	    2
(Stockhoom	    2
(Storbritannien)	    2
(Sverige)	    2
(Tomelilla	    2
(Tomteboda	    2
(Upsal	    2
(Valdemarsvik	    2
Västerås	    2
(Warberg	    2
(Winterthur)	    2
(Wisby	    2
([1-3:] Tranås ; [4-6:] Kristianstad ; [7:] Hässleholm	    1
(A-B ÅETÅ tr., Åhlén & Åkerlund fotogravyranstalt)	    1
Åbo	    1
(Abr. Lundquist & C:o)	    1
(Åland	    1
(Aledo, Ill.	    1
([Alingsås]	    1
(Almqvist & Wiksell	    1
(Altenburg)	    1
(Altenburg, Thür	    1
(Aneby	    1
