Name	Count
Total count: 	272
1	8
2	7
1:1740	4
1:4	4
1:5	4
2:1741	4
3	4
3:1742	4
4:1743	4
5:1744	4
6:1745	4
7:1746	4
1:1	3
5	3
1-3	2
1:11	2
1:17	2
1:1739	2
1:2	2
1:3	2
1:6	2
1:7	2
15	2
17	2
1827	2
39	2
4	2
6	2
7	2
(12),742	1
[1810]	1
[2]	1
[T. 5:96]	1
1-15:1739-1754	1
1-15:1780-1794	1
1:[4a]	1
1:[6]	1
1:[8]	1
1:[9]	1
1:10	1
1:13	1
1:15	1
1:16	1
1:1780	1
1:18	1
1:20	1
1:21	1
1:22	1
1:23	1
1:26	1
1:27	1
1:29	1
1:31	1
1:32	1
1:8	1
1:8, 1:15, 1[:23]. 1781	1
1:9	1
1.	1
1[:17]	1
1[:19]	1
1[:20]	1
10 (=No.29-31)	1
10-12	1
10:1749	1
10:1789	1
10:2	1
11	1
11:1750	1
11:1790	1
12:1751	1
12:1791	1
128-130	1
13:1752	1
13:1792	1
13.(= No 43)	1
14:1753	1
14:1793	1
145	1
15:12	1
15:1754	1
15:1794	1
16-30:1755-1769	1
16-33:1795-1812	1
16:1755	1
16:1795	1
17:1756	1
17:1796	1
1738 N:o 31-35	1
1769. N:o 211	1
1790 [Bihang]	1
18:1757	1
18:1797	1
1813	1
1813-1825	1
1814	1
1815	1
1815-16. D. 5:18	1
1816	1
1817	1
1818	1
1819	1
1820	1
1821	1
1822	1
1823	1
1824	1
1825	1
1826	1
19:1758	1
19:1798	1
2:1781	1
2:46	1
2:8	1
2:9	1
2. (No 2,3,6)	1
20:1759	1
20:1799	1
21:1760	1
21:1800	1
22 (No 72)	1
22:1761	1
22:1801	1
23:1762	1
23:1802	1
24:1763	1
24:1803	1
25:1764	1
25:1804	1
26:1765	1
26:1805	1
27:1766	1
27:1806	1
28:1767	1
28:1807	1
29:1768	1
29:1808	1
3:11	1
3:1782	1
3:66	1
3:73	1
3. 1828	1
30:1769	1
30:1809	1
31-40:1770-1779	1
31:1770	1
31:1810	1
31.2. 1822	1
32:1771	1
32:1811	1
33-35	1
33:1772	1
33:1812	1
34:1773	1
35:1774	1
36:1775	1
37:1776	1
38:1777	1
39:1778	1
4:1783	1
4. 1828	1
4.(=No.7,8, 9)	1
40:1779	1
5:100	1
5:1784	1
5:2	1
5:21	1
5. (=No.10, 49,50)	1
50. 1820	1
53	1
6:1785	1
7-10	1
7: 1800	1
7:1786	1
7:4	1
75	1
8	1
8:1	1
8:1747	1
8:1787	1
8.1738	1
9-10	1
9:1748	1
9:1788	1
Ark 19;1755. Ark.19	1
Årsberättelser 1821	1
Årsberättelser 1822	1
Årsberättelser 1823	1
Årsberättelser 1824	1
Årsberättelser 1825	1
Bd 4: Bilaga 3	1
Bd 6: H 2. 1783	1
Bdchn 2	1
Bdchn.1-3	1
Bdchn.4	1
C 4:o 10. 1826: 28	1
C 4:o 10. 1826: 7	1
C 4:o 9. 1824: 26	1
D. 1	1
D. 10	1
D. 3	1
D.1:12	1
D.1:2	1
D.1:50	1
D.1:6	1
D.7-9...1819-21	1
H. 3	1
St. 3. 1789	1
Styck 1	1
Styck 2. 1788	1
vol. 10 (1749)	1
