Name	Count
Total count: 	8261
historia	1849
taxor och avgifter	 520
historia;historia	 297
löner	 138
handel	 135
juridik och lagstiftning	 134
studier och undervisning	 130
historia;historia;historia	  93
priser	  93
tillverkning	  76
Historia	  70
odling	  62
Sverige	  62
Tullväsen	  52
skatter	  50
framställning, tillverkning etc.	  48
löner;löner	  44
juridik	  43
taxor och avgifter;taxor och avgifter	  43
kristendom	  42
history	  39
grammatik	  36
utbildning och undervisning	  36
administration och förvaltning	  35
priser;priser	  35
våld mot	  34
History.	  33
handel;handel	  28
statistics	  27
ortnamnen (Älvsborgs län)	  25
förekomst	  24
historia;historia;historia;historia	  24
History and criticism.	  23
juridik och lagstiftning;juridik och lagstiftning	  23
design och konstruktion	  21
praktiska handledningar	  21
anställda	  20
Brandförsäkringsbolag	  20
ekonomiska förhållanden	  20
löner;löner;löner	  20
surgery	  20
framställning	  19
material och utrustning	  19
kokböcker	  18
odling;historia	  18
undervisning	  18
ekonomiska aspekter	  17
vardagsliv och traditioner	  17
Verb.	  17
arbete och arbetsmarknad	  16
diagnosis	  16
etnobotanik	  16
Juridik	  16
attityder till	  15
Handel	  15
lantbruk	  15
Livförsäkring	  15
underhåll och reparationer	  15
Dialects	  14
Grammar.	  14
konferenser	  14
Syntax.	  14
utställningar	  14
gymnasiet	  13
history;history	  13
etiology	  12
fonetik	  12
Skatter	  12
tullväsen	  12
dialekter	  11
History	  11
Lantbruk	  11
mission bland	  11
teori, filosofi	  11
Early works to 1800.	  10
etik och moral;etik och moral	  10
Framställning	  10
odling;odling	  10
Semantics.	  10
Storstrejken 1909	  10
studiecirkelverksamhet;studier och undervisning	  10
tekniska aspekter	  10
bibliografi;bibliografi	   9
byggnadsteknik	   9
förvaltning	   9
geografi	   9
historia;history	   9
kvalitetskontroll	   9
lågstadiet	   9
priser;priser;priser	   9
radiography	   9
(Samling);(Samling)	   9
Spannmål	   9
studier och undervisning;studier och undervisning	   9
Suffixes and prefixes.	   9
biografi	   8
blood	   8
djursjukdomar	   8
folkskolan	   8
föreningar och sällskap	   8
Förvaltning	   8
genealogi	   8
Honung	   8
lexikon	   8
organisationsförändringar	   8
Phonetics.	   8
physiology	   8
Prepositions.	   8
religiösa aspekter	   8
studiecirkelverksamhet	   8
terminologi	   8
bearbetning	   7
Biography.	   7
etnografi	   7
etnologi	   7
finansiering	   7
Framställning;Juridik	   7
Historia;Historia	   7
history;historia	   7
judendom	   7
löner;taxor och avgifter	   7
matematik	   7
periodica	   7
religiösa aspekter;kristendom	   7
sädesslag	   7
skatter;skatter	   7
socialhistoria	   7
Spectra.	   7
tillverkning;historia	   7
transporter	   7
Tullväsen;Tullväsen	   7
utbildning	   7
