Name	Count
Total count: 	234555
8:o.	91992
8:o	71685
4:o.	10673
4:o	 8185
8:o;Senare uppl. finns.	 2353
[Pseud.] 8:o.	 2302
[Anon.] 8:o.	 2112
16:o	 1727
[Anon.];8:o	 1726
16:o.	 1709
[Pseud.];8:o	 1582
[Undert.];8:o	 1336
Finns digitaliserad, tas ej fram;Finns digitaliserad, tas ej fram	 1331
Fol.	 1260
[Sign.] 8:o.	  974
[Sign.];8:o	  743
12:o.	  722
8:o;Senare uppl. finnas	  695
8:o. [4:o.]	  682
12:o	  646
8:o;Senare uppl. finns	  486
[Föret.];8:o	  479
Finns digitaliserad, tas ej fram	  386
8:o;Senare uppl. finnes	  383
[Pseud.] 8:o	  371
Fol	  371
Utlånas ej	  254
[Undert.];4:o	  225
Finns digitaliserad, tas ej fram;8:o.;Finns digitaliserad, tas ej fram	  213
8:o.[4:o.]	  207
[Anon.] 4:o.	  206
Tv.-8:o	  198
8:o. [12:o.]	  188
8:o.;Utlånas ej	  182
[Pseud.]	  172
[Anon.];4:o	  165
8:o.;Senare uppl.finns.	  165
Tv. 8:o.	  159
8:o;Senare uppl.finns.	  157
Orig.neg. samt neg.dubl. finns	  155
Finns digitaliserad, tas ej fram;8:o;Finns digitaliserad, tas ej fram	  152
Lit.8:o	  148
Tv.8:o	  136
[Omsl.];8:o	  118
Lit. 8:o.	  113
16:o;Senare uppl. finns.	  111
4:o.;Skrivmaskinstyper	  106
[Anon.] 16:o.	   96
8:o;Senare uppl.finnes	   96
8:o;Utlånas ej	   96
[Anon.] 12:o.	   92
[Sign.] 16:o.	   87
Tv.- 8:o.	   86
[Anon.]	   84
8:o.;Senare uppl.finnes.	   80
Lit.8:o.	   79
8:o;Senare uppl.finnas	   78
Tv.8:o.	   78
[Föret.];4:o	   77
[Pseud.];8:o;Senare uppl. finns.	   76
Tv. 8:o	   75
Tv.-8:o.	   75
4:o;Senare uppl. finns.	   73
[Anon.];12:o	   72
[Text.] 8:o.	   71
16.	   71
lit. 8:o.	   69
[Anon.];16:o	   68
[Verso.];8:o	   68
8:o.;Senare omarb. uppl. finns.	   64
[Förord.] 8:o.	   63
tv. 8:o.	   61
16:o;Senare uppl. finnas	   60
8:o.;Senare uppl.finnas.	   60
lit.8:o	   60
Stor fol.	   60
[Pseud.] 4:o.	   59
[Text.];8:o	   59
[Pseud.];4:o	   58
lit. 8:o	   58
[Sign.] 4:o.	   56
[Pseud.];16:o	   55
Lit.-8:o.	   55
Tv.-16:o	   55
8:o. [16:o.]	   52
[Anon.];8:o;Senare uppl. finns.	   51
[Sign.]	   51
[Verso.] 8:o.	   50
8:o.[ 4:o.]	   50
Tv.4:o	   50
8:o.;Fotomekaniskt nytryck, se 'Katalog 1956-'	   49
Kopia, orig. saknas i KB	   48
8:o. [4:o]	   47
[Undert.];16:o	   46
Tv.-4:o	   46
[Sign.];16:o	   45
8:o;Senare omarb. uppl. finns.	   45
Tv. 4:o.	   43
[Undert.];Fol.	   42
12:o;Senare uppl. finnas	   42
Saknas i KB	   42
[Anon.] 8:o	   41
Lit.- 8:o.	   41
8:o.;Senare förändr. uppl. finns.	   40
tv.8:o	   40
[Förord.];8:o	   39
[Sign.];4:o	   39
tv. 8:o	   39
[Pseud.] 16:o.	   38
[Undert.];8:o. [4:o.]	   38
16	   38
32:o	   38
8:o. [ 4:o.]	   38
[Sign.] 12:o.	   37
8:o;Fotomekaniskt nytryck, se 'Katalog 1956-'	   37
tv.-8:o	   36
[Pseud.] 12:o.	   35
Orig. saknas i KB	   33
[Pseud.];12:o	   32
Ligg.fol.	   32
[Undert.]	   31
32:o.	   31
8:o & 4:o	   31
Lit.-8:o	   31
[Dedik.] 8:o.	   29
12:o;Senare uppl. finnes	   29
[Sign.] 8:o	   28
8:o;Senare förändr. uppl. finnas	   28
8:o. [12:o]	   28
8:o.;Senare förändr. uppl. finnas.	   28
Tv.-16:o.	   28
tv.8:o.	   28
[Rubr.];8:o	   27
[Sign.];12:o	   27
8:o;Fotomekaniskt nytr. se 'Katalog 1956-'	   26
8:o;Senare oförändr. uppl. finns.	   26
8:o.[12:o.]	   26
St.4:o	   26
Tv.- 16:o.	   26
8:o;[Stockholm]	   25
8:o.;Senare utök. uppl. finns.	   25
Fol;Skrivmaskinstyper	   25
lit.-8:o	   25
[Dedik.];8:o	   24
Lit. 8:o	   24
lit.8:o.	   24
Tv.- 4:o.	   24
16:o;Senare uppl. finns	   23
8:o [4:o]	   23
Ligg. fol.	   23
St.8:o	   23
[Inneh.] 8:o.	   22
8:o.;Senare oförändr. uppl. finns.	   22
Finns digitaliserad, tas ej fram;4:o;Finns digitaliserad, tas ej fram	   22
Pat.-fol.	   22
tv. 4:o.	   22
[Föret.];8:o;Senare uppl. finns.	   21
[Verso];8:o	   21
St. 8:o.	   21
Tv. 16:o.	   21
[Anon.] Fol.	   20
[Sign.] 12:o	   20
12.	   20
8:o;[!]	   20
8:o;Senare förändr. uppl. finns.	   20
8:o;Senare oförändr. uppl. finnas	   20
8:o.;Fotomekaniskt nytr. se 'Katalog 1956-'	   20
St. 4:o.	   20
St.8:o.	   20
tv.- 8:o.	   20
[Duplic.] 4:o.	   19
Finns digitaliserad, tas ej fram;4:o.;Finns digitaliserad, tas ej fram	   19
Tv. 4:o	   19
4:o;Senare uppl. finns	   18
8:o. [Illustr.]	   18
8:o.;Senare oförändr. uppl. finnas.	   18
Sm.8:o	   18
Tv.-4:o.	   18
Tv.fol.	   18
16:o. [12:o.]	   17
8:o;Senare uppl.finns	   17
8:o.;[Anon.]	   17
lit.8.	   17
Pat.fol.	   17
[Anon.];8:o;Senare uppl. finnas	   16
[Anon.];Fol.	   16
[Undert.];8:o;Senare uppl. finns.	   16
4:o. [8:o.]	   16
8:o;Senare uppl. samma år	   16
8:o[4:o]	   16
lit.- 8:o.	   16
[Anon.];8:o;Senare uppl.finns.	   15
16:o. [8:o.]	   15
Finns digitaliserad, tas ej fram;[Anon.] 8:o.;Finns digitaliserad, tas ej fram	   15
Orig.neg. samt neg.dubl. finns;8:o	   15
Tv.-fol.	   15
[Sign.];Fol.	   14
8:o [12:o]	   14
8:o;Samb.m.: [Sigismund, konung av Sverige och Polen], Gratulationes ... 1589	   14
8:o;Senare oförändr. uppl. finns	   14
8:o;Senare omarb. uppl. finns	   14
8:o;Senare uppl. finns.;Utlånas ej	   14
8:o.;Fotomekaniskt nytryck, se 'Katalog 1987-'	   14
8:o.[4:o]	   14
Digital version finns på Litteraturbankens webbplats	   14
Finns digitaliserad, tas ej fram;Finns digitaliserad, tas ej fram;Finns digitaliserad, tas ej fram	   14
fol.	   14
Sm. 8:o.	   14
tv.-8:o.	   14
tv.4:o	   14
[Pseud.] 16:o	   13
[Text.] 4:o.	   13
4:o.;Får icke alls utlånas	   13
8:o;[Förhandlingar.]	   13
8:o;2. uppl. s.å.	   13
8:o.;1:a uppl. 1915.	   13
8:o.;Senare oförändr. och förändr. uppl. finnas.	   13
KB har xeroxkopia efter orig i U	   13
lit.-8:o.	   13
st. 8:o.	   13
st.4:o	   13
Tas ej fram, finns mikrofilmad;Finns digitaliserad, tas ej fram;(Mikrofilm)	   13
Tv.16:o	   13
[Anon.] 8:o. [4:o.]	   12
[Omsl.];4:o	   12
[Pseud.] 12:o	   12
16:o;Senare uppl. finnes	   12
4:o.;[Skrivmaskinstyper.]	   12
4:o.[8:o.]	   12
8:o;8:o	   12
8:o.;1:a uppl. 1908.	   12
8:o.;1:a uppl. saknas.	   12
8:o.;2. uppl. s.å.	   12
8:o.;Utlånas ej. - Ex. i Lindgrensamlingen tr. 1946	   12
st. 4:o.	   12
St.4:o.	   12
tv.-16:o	   12
Tv.16:o.	   12
[Anon.] lit. 8:o.	   11
[Anon.] Lit. 8:o.	   11
[Pseud.];8:o.	   11
[Sign.];12:o;Senare uppl. finnas	   11
[Sign.];Lit.8:o	   11
12:o;Senare uppl. finns.	   11
8:o;[Ry.:]	   11
8:o;Senare utök. uppl. finns.	   11
8:o.;1:a uppl. 1910.	   11
8:o.;1:a uppl. 1916.	   11
8:o.;Senare omarb. uppl. finns	   11
8:o.;Skrivmaskinstyper	   11
Orig.neg. samt neg.dubl. finns;8:o.	   11
Sm.8:o.	   11
St. 8:o	   11
tv. 16:o.	   11
Tv.4:o.	   11
[Anon.];8:o;Senare uppl. finns	   10
[Anon.];8:o. [4:o.]	   10
[Efterskr.] 8:o.	   10
[Pseud.];8:o;Senare uppl. finnas	   10
[Rubr.];4:o	   10
[Sign.] Lit. 8:o.	   10
[Sign.];8:o;Senare uppl. finnas	   10
[Undert.];12:o	   10
[Verso.];4:o	   10
8:o;[i Stockholm]	   10
8:o.;1:a uppl. 1906.	   10
8:o.;Senare uppl finns.	   10
Även bland skolprogram, Skara	   10
Fotomekaniskt nytryck, se 'Katalog 1956-'	   10
lit.8:o;Senare uppl. finnas	   10
Lit.8:o;Senare uppl. finnas	   10
Orig.neg. samt neg. dubl. finns	   10
Senare uppl. finns.	   10
Tv. 16:o	   10
[Anon.] 12:o	    9
[Duplic.];4:o	    9
[Förord.];4:o	    9
[Pseud.] lit. 8:o.	    9
[Pseud.];8:o;Senare uppl. finns	    9
[Verso.] 4:o.	    9
16. [8:o.]	    9
4:o. [Illustr.]	    9
8:0	    9
8:o;[II]	    9
8:o;[Ry.]	    9
8:o;Senare omarb.uppl.finns.	    9
