Name	Count
Total count: 	103711
Hc.01	2496
Lz	2041
Cia	1567
Hc.03	1552
Hc	1208
Hcg	 987
Hcee.01	 769
Ci	 734
Hc.016	 669
Hc.01;Hc.01	 652
Hocm	 634
Lz;Lz	 600
Hc.03;Hc.03	 508
Qz	 494
Hc.02	 484
Ic-cz	 462
Cia;Lz	 457
Cjz	 447
Occ	 346
Gcz	 336
Kc	 334
Gcz;Gcz	 321
He.01=c	 307
Ca	 306
Ibz	 303
Cia;Cia	 291
Qd-c	 285
Cib	 271
Hcbb.01	 264
Hc,u	 262
Hcf	 255
K	 245
Occ.09	 240
Ibz;Ibz	 234
Bb	 229
D	 228
Ldz	 221
Xxpb;Xxaoaba;Xxpb;Xx	 217
Hf.01=c	 213
Hc;Hc	 207
Xxpb;Xxaoaba	 202
Hcej.01	 185
Äc	 183
Xlcc	 183
Qcaa	 179
Cjz;Cjz	 172
Occ.05	 169
Qa;Qad	 169
Cc	 168
Xxpb-c;Xxaoaba;Xxpb-c;Xx	 168
Hcef.01	 167
Hma.01=c;Hma.01=c	 167
Fc	 162
Hc.016;Hc.016	 162
Kc.428	 162
Ohia-c:bf	 161
Uafa	 161
Ad	 156
Iköh	 156
Qf-c	 154
Hcd.03	 151
Xlcc;Xxpb	 150
Cea	 146
Foc	 142
Qca	 142
Hcedb.01	 141
Ncbaz	 140
Uafa(p)	 139
Bdb-c	 137
Nc	 136
Oe	 136
Em-cz	 135
Ep-cz	 135
Qz;Qz	 135
Hcbb.03	 133
Xxpb-c;Xxpb-c	 133
Hceda.01	 131
Cf	 130
Ci;Ci	 129
Ijz;Ijz	 129
Dg	 126
Hc.02;Hc.02	 126
Xlcc;Xxpb-c	 126
Uce	 124
N.07	 123
Hcd.01	 119
Ncaa	 119
Hj.01=c	 117
Ta	 117
N	 115
Hcee.01;He.01=c	 114
Bd-c	 112
Gz	 112
Ncbdz	 111
Pmbbc	 110
Dbz	 107
C	 106
Occ.06z	 106
Ced	 105
Ohia-c	 104
U	 104
Cge	 102
Hc.017	 102
Uf	 102
Nddz	 101
V	 101
Xxpb-c;Xxaoaba	 100
Fe	  99
Lm-c.od(p);Uafa	  99
Hoc	  97
Ijz	  97
Bkz	  96
Hce	  94
Pmbaac	  92
Bb;Bb	  91
Hcbb.01;Hc.01	  90
Bd	  89
Cef	  89
Cid	  89
Qgb	  89
Oc	  88
Cj	  87
Kc.47	  87
Ncacz	  87
Cgb	  86
Dbz;Dbz	  86
Gc	  86
Ic-cz;Ic-cz	  86
Ckc-qa	  85
Na.07	  85
Kc.421	  84
Hcee.01;Heq.01=c	  82
Fj	  81
Ncabz	  81
Qa;Qad;Qaeb	  81
Qad-c	  80
Em-c	  79
Hoa	  79
Oe-c	  79
Xlcc;Xxqa	  79
Ls-c	  78
Ucc	  77
Bg-cz	  76
D;D	  76
Ncbhz	  76
Ohia	  76
Ceaf	  75
Hma.016=c;Hma.016=c	  75
Ls	  75
Ua	  75
Ug	  75
Vnd	  75
Veba	  74
Gcz;Gcz;Gcz	  73
Lz;Lz;Lz	  73
Qa	  73
Fbr	  72
K.51	  69
Rb-cz	  69
Nc.07	  68
Ca;Ca	  67
Ce	  67
Cea;Cea	  67
Cga	  67
G	  66
Hcd.03;Hcd.03	  66
Kc.423	  66
S-c	  66
S-cza	  66
Vp-cz	  66
Do	  65
Hc;Hc;Hc	  65
Hc(s)	  65
Hc(s);Hc(s)	  64
Ikz	  64
Kb.45	  64
Kc.451	  64
Cj-c	  63
Cl	  63
Ff	  63
Qaeb-c	  63
Qdfb	  63
Hc.03;Hc.03;Hc.03	  62
Hc.07	  62
Hcbb.016	  62
Bf-cz	  61
Cm	  61
Eabc	  61
Ocgde	  61
Ohai-c	  61
Prbd-c	  61
S	  61
Ta;Ua	  61
Cgc	  60
Kc;Kc	  60
Kc.426	  60
Qe-c	  60
Xyda	  60
Ckuz	  59
Hc;Hc.01	  59
Hc.01;Hc.01;Hc.01	  59
Ncaez	  59
Ncafz	  59
Ocgd	  59
Te	  59
Xrea;Xxpb-c;Xrea;Xxpb-c	  59
Chac	  58
E	  58
He.01=c;He.01=c	  57
Occ.07	  57
Pmö	  56
Qaea	  56
Ccda	  55
He=c,u	  55
K.54	  55
Oeb-c	  55
Qe	  55
Hc.03(s)	  54
Cf;Cf	  53
Cksx-cz	  53
Hocn	  53
Kc.4	  53
Xxpb-c	  53
Heq.01=c	  52
Ocgd;Ocgd	  52
Cjz;Lz	  51
Ibz;Ibz;Ibz	  51
Kyh	  51
Qga	  51
Ccb	  50
Hdca	  50
Lm-c	  50
Ra	  50
Ch	  49
Sb-c	  49
Xrea;Xxpb	  49
Ab-cz	  48
Cb=c	  48
Hcej	  48
Qgah	  48
Vnaa	  48
Hcef	  47
Ohai-cza	  47
Qcae	  47
Odc	  46
Qd	  46
Ve	  46
Xfk;Xxqa;Xfk;Xxqa	  46
Cga;Cga	  45
Ldz;Ldz	  45
Qc	  45
Qda	  45
Qdcc	  45
Xxpb-c;Xqh	  45
Gcz;Lz	  44
Kc.42	  44
Kt	  44
Oc.09	  44
Oeb	  44
Qjf-c	  44
Xxpb	  44
Ncbgz	  43
Okz	  43
Qaea-c	  43
Xrea;Xxpb;Xrea;Xxpb	  43
Kc.2	  42
Nqa.07	  42
Oer-c	  42
Qd-c:bf	  42
Qdca	  42
Ugg	  42
Cg	  41
Em-c.02	  41
Fc.07	  41
Hcef.01;Hf.01=c	  41
Hj.01=c;Hj.01=c	  41
Ikz;Ikz	  41
Kcx-qa	  41
Kj.452	  41
Ncba	  41
Qcaf	  41
Bda-c	  40
Cc;Cc	  40
Cib;Cib	  40
Fc.01	  40
He.01	  40
Kdd.46	  40
Oet-c	  40
Q	  40
Qc-c	  40
U;V	  40
Ud	  40
Xxpb;Xxpb	  40
Ad-c	  39
Hcbb.03;Hc.03	  39
Hccda	  39
O:d	  39
Obb	  39
Qaeb-cz	  39
Qcg	  39
Qdd	  39
Qdf;Qdfd	  39
Ugjb	  39
Äc;Ä	  38
Foa	  38
Hcee.016	  38
Kb	  38
Kc.425	  38
Kv-c	  38
Lm-c.c	  38
Uccb	  38
Vd	  38
Foc.01	  37
Hcd.01;Hcd.01	  37
Ijb-cz	  37
Mcs	  37
Ncac	  37
Od	  37
S-c:k	  37
Uac	  37
Ceab	  36
Hcd.016	  36
Hcej.01;Hj.01=c	  36
Hmc.01=c;Hmc.01=c	  36
Kc.41	  36
Kdd	  36
Kdd.54	  36
Ncadz	  36
Ncagz	  36
Pmaa	  36
Pna	  36
Qa;Qad;Qafba	  36
Qdba	  36
Qdf	  36
Uba	  36
Dg;Dg	  35
Hc;Hc.01;Hc	  35
Ib	  35
Kc.5	  35
Ncbcz	  35
Oeb-c;Oeb-c	  35
Ohai-czb	  35
Oi-c	  35
Qdbb	  35
Qdf;Qdfg	  35
Aa	  34
Cead	  34
Cha	  34
H=c;H=c	  34
Hc,u;Hc,u	  34
Hcej.02	  34
Iib-cz	  34
Kc.49	  34
Ncbdz;Ncbdz	  34
Njz	  34
Np.07	  34
O	  34
Qa;Qad;Qafc	  34
Qafba	  34
Sa	  34
C:d	  33
Cgc;Cgc	  33
Chc	  33
Cksu	  33
Hcedb.01;Hdb.01=c	  33
Hf.01=c;Hf.01=c	  33
Iaa	  33
Nc;Nc	  33
Ncaf	  33
Oe-c(u)	  33
Pd	  33
Prcd-c	  33
Qafc	  33
Qcada	  33
Qdfd	  33
Qef	  33
Cb	  32
Emz	  32
Gdca	  32
Gez	  32
Hcf(yb)	  32
Ibvz	  32
Kc.44	  32
Qad	  32
Ufhe	  32
Ccda;Ccda	  31
Em-c.03	  31
Hcef.02	  31
Hf	  31
K.4	  31
Kc.34	  31
Kc.411	  31
Ncab	  31
Ncbf	  31
Ni.07	  31
Qae-c	  31
T	  31
Vi	  31
Chb	  30
Em-c;Em-c	  30
Hccf.01	  30
J	  30
Kc.455	  30
Ls-c;Ls-c	  30
Ncbi	  30
Ndd	  30
Obb;Obb	  30
Qdc;Qdcb	  30
Qee	  30
Vb	  30
Vej	  30
Cj-c;Cj-c	  29
Cj;Cj	  29
Ea	  29
Em-cz;Em-cz	  29
Ep-c	  29
Gjz	  29
Gocz	  29
Hcei.01	  29
Hcg;Hcg	  29
Kc.3(u)	  29
Kc.45	  29
Lm-cz	  29
Qi	  29
Xlcc;Xx	  29
Cha(u)	  28
Chc;Chc	  28
Cjz;Cjz;Cjz	  28
Dofa	  28
Fbr;Fbr	  28
G;G	  28
K.41	  28
Mcs;Mcs	  28
N.07;N.07	  28
Nb.07	  28
Ncabz;Ncabz	  28
Ncad	  28
Qaf-c	  28
Ue	  28
Aalz	  27
Cl;Cl	  27
Gocz;Focz;Gocz;Focz	  27
Hceda.01;Hda.01=c	  27
Hdca;Hdca	  27
Ncbaz;Ncbaz	  27
Pmbbe	  27
Qdddc	  27
Tf	  27
Uc	  27
Xxpb-c;Xqh;Xxpb-c;Xqh	  27
Bh-cz	  26
Cmia	  26
Do;Do	  26
G(p);K(p);G(p);K(p)	  26
Hc.04	  26
Hdb.01=c	  26
Hf.02=c	  26
Hf=c	  26
K;K	  26
Kb.45;Kb.45	  26
Kc.3	  26
Koafh;Koafh	  26
Mc	  26
N.07-sb	  26
Nc.07;Nc.07	  26
Ncbh	  26
Nsa	  26
Oes-c	  26
Qdfa	  26
Ubci	  26
Uf;Uf	  26
Vef	  26
Ceaa	  25
Ep-cz;Ep-cz	  25
Fc.03;Fc.032	  25
Hcd	  25
Ibz;Lz	  25
Kc.442	  25
Kma.52	  25
Ncbd	  25
No.07	  25
Oeka-c	  25
Oet-c;Oet-c	  25
Qddda	  25
Ucea	  25
Xlcc;Xqh	  25
Bd,u	  24
Cca	  24
Cha;Cha	  24
Cj.2	  24
Gfz	  24
Gjz;Gjz	  24
Gz;Lz	  24
Hceub.01	  24
Hj.02=c	  24
Hma.01=c	  24
Ij	  24
Ijb-cz;Ijb-cz	  24
K.264	  24
Nc.03	  24
Ocf-dd.09	  24
Qafc-c	  24
Qdc	  24
Qdcb	  24
S-cza;S-cza	  24
Sa-c	  24
Tc	  24
Vdf	  24
Vp-c	  24
Aec	  23
Cj-cz	  23
Cm;Cm	  23
Cna	  23
Fc.06	  23
Fj.01	  23
Gubz	  23
Hcq.03;Hcq.03	  23
Hda.01=c	  23
Kfa.53	  23
Na.07;Na.07	  23
Ncag	  23
Ncccz	  23
Oba	  23
Obe	  23
Ohab-c	  23
Ohja	  23
Prcd	  23
Qcaad	  23
Qddd;Qddda	  23
Qdfe	  23
Qfe	  23
Ucc;Ucc	  23
Ufhd	  23
Veh	  23
Vk	  23
Vmb	  23
Bf-cz;Bf-cz	  22
Ccba	  22
Ccec	  22
Ci,u;Ci,u	  22
Ci(p)	  22
Dofa;Dofa	  22
Fdca	  22
Gez;Gez	  22
Hcd.02	  22
Hcef.016	  22
Ic-c	  22
Iit-cz	  22
K.2	  22
Kc.47;Kc.47	  22
Kyh-c	  22
Mz-c	  22
Nccc	  22
Nddz;Nddz	  22
Odcc	  22
Prcda	  22
Ps	  22
Rb-c	  22
Ved	  22
Xyb	  22
Cef;Cef	  21
Chb;Chb	  21
Cksu;Cksu	  21
Eab	  21
Em	  21
Fc.032bha;Fc.032b	  21
Hc.017;Hc.017	  21
Hccf	  21
Hceg.01	  21
Hf.03	  21
Hoa=c	  21
Hoc=c	  21
Jc	  21
Kc.413	  21
Kc.46	  21
Kma	  21
Na	  21
Ncaa;Ncaa	  21
Qa;Qa	  21
Qddd;Qdddf	  21
S:k	  21
Ta;Ta	  21
Uce;Uce	  21
Vf	  21
Vp-c:bf	  21
Xfk;Xxqb;Xfk;Xx	  21
Xoaba;Xqh;Xoaba;Xqh	  21
Blb	  20
Cj-dd	  20
Cksöz	  20
Db	  20
Dj	  20
Eh	  20
F	  20
Fc(x)	  20
Gub	  20
Hcbb.02	  20
Hf.01	  20
Kdd.51	  20
Ldm-dd	  20
Lm-c.c;Lm-c.e	  20
Ncbkz	  20
Nccbz	  20
Niz	  20
Noaf.07	  20
Oer-cz	  20
