name	count
Stockholm	45108
Uppsala	4987
Gothenburg	2397
Lund	2210
Turku	1593
Linköping	1287
Västeras	1119
Örebro	1090
Strängnäs	1014
Norrköping	880
Jönnköping	832
Copenhagen	638
Karlskrona	600
Skara	558
Gävle	441
Falun	438
Kalmar	395
Nyköping	356
Karlstad	344
Växjö	255
Greifswald	242
Leipzig	176
Tartu	148
Härnösand	140
Mariefred	136
Stralsund	122
Rostock	117
Malmö	102
Berlin	99
Vänersborg	98
Frankfurt	96
Hamburg	90
Vaasa	86
Riga	80
Tallinn	55
Visby	52
St Petersburg	52
Mariehamn	50
Nürnberg	40
Lybeck	33
Venice	32
Haunia	32
Szczecin	30
Helsinki	30
Karlshamn	29
Göttingen	29
Mariestad	27
The Hague	26
Rome	26
Cologne	25
Wittenberg	24
Kiel	24
Halmstad	24
Leiden	23
Helsingborg	23
Strasbourg	22
Oslo	22
Halle	21
Halden	21
Boras	17
Jena	16
Vienna	14
Stade	14
Basel	14
Königsberg	13
Breslau	13
Zerbst	12
Wijsingzborg	12
Madrid	12
Lyon	11
Hannover	11
Geneve	11
Altona	11
Vyborg	10
Visingsborg	10
Vilnius	10
Utrecht	10
Krakow	10
Helmstedt	10
Anno	10
Warsaw	9
Augsburg	9
Wismar	8
Potsdam	8
Genoa	8
Ratzeburg	7
Milano	7
Lisbon	7
Jelgava	7
Firenze	7
Weimar	6
Ulm	6
Uddevalla	6
Peter	6
Naples	6
Marburg	6
Lüneburg	6
Liège	6
Leeuwarden	6
Jüterbog	6
Fredrikstad	6
Erfurt	6
Dresden	6
Antwerp	6
Zürich	5
Prague	5
Posnaniae	5
Oranienburg	5
Narva	5
Gusum	5
Erlangen	5
Dantzig	5
Cassel	5
Bremen	5
Boizenburg	5
Altefähr	5
Aarhus	5
Thet	4
Stuttgart	4
Pisa	4
Pärnu	4
Magdeburg	4
Helsingør	4
Haarlem	4
Görliz	4
Freyberg	4
Elbingen	4
Dessau	4
Danzig	4
Brunsberg	4
Augusta	4
Altenstein	4
Altdorf	4
Aalborg	4
Żary	3
Valladolid	3
Utgivningsort	3
Treuenbrietzen	3
Strömstad	3
Saarmund	3
Rotterdam	3
Reg	3
Padova	3
Odense	3
München	3
Moscow	3
Meinz	3
Kaupmannahöfn	3
Kaupmannahafn	3
Kassel	3
Heidelberg	3
Gotha	3
Giessen	3
Freystadt	3
Franzburg	3
Florence	3
Fält peter	3
Directeuren	3
Deux	3
Cksteinska	3
Braunschweig	3
Bonn	3
Barcelona	3
Arnstadt	3
Zamosc	2
Villefranche	2
Viennae austriae	2
Versailles	2
Typis	2
Turin	2
Tübingen	2
Soröe	2
Sedini	2
Schwerin	2
Schwabach	2
Rudolfstadt	2
Rouen	2
Revall	2
Regensburg	2
Rädigke	2
Poznań	2
Perth	2
Pernaja	2
New York NY	2
Neuchatel	2
N ar	2
Mühlhausen	2
Milan	2
Lvgd batav elzeviriana	2
Lugano	2
Lucca	2
Lübeck	2
Linz	2
Linkiöpingh	2
Legnica	2
Lausanne	2
Karlsruhe	2
Kalisz	2
Huset no	2
Heylbronn	2
Hamm	2
Groeningen	2
Glückstadt	2
Flensburg	2
Dijon	2
Deventer	2
Coswig	2
Buxtehude	2
Buetzow	2
Brussels	2
Brunswick Ma	2
Bordeaux	2
Bologna	2
Boktryckerj hen	2
Bergen	2
Aachen	2
Zweibrücken	1
Zeitz	1
Zach capit	1
Yverdon-les-Bains	1
Worcester Ma	1
Winterthur	1
Wilmington De	1
Wijsingzborg rikz	1
Westerahrs	1
Werneriana	1
Weißenfels	1
Weiiö	1
Warrington	1
Wainajan	1
Vthgangen	1
Vilna	1
Veronae germanorum	1
Växlande	1
Ulyssipone	1
Troyes	1
Tripoli	1
Trier	1
Tribsees	1
Tours	1
Tönning	1
Tønder	1
Thersammestädhes	1
Tanger	1
Tampere	1
Sumtu	1
Sulzbach	1
Suisse	1
Strömsholm	1
Straubing	1
Stergnäs	1
Stendal	1
Stadae	1
Spb	1
Sondershausen	1
Smolensk	1
Siena	1
Schwed buchdrukker	1
Schnepfenthal	1
Schleswig	1
Schill	1
San	1
Samtens	1
Säljes kiesevetters boklador	1
Saalfeld	1
Roßlau	1
Rom	1
Rödigke sachsen	1
Rintelii literis enax	1
Rimini	1
Ribnitz	1
Rhodopoli	1
Revel	1
Reva	1
Reutlingen	1
Reg typographus	1
Refwell	1
Recvsa	1
Quedlinburg	1
Pyrmont	1
Prof pa	1
Preuss	1
Poschiavo	1
Pomerania	1
Polen	1
Plymouth	1
Pirna	1
Peter ar	1
Pecatana moskve f gippiusa	1
Parma	1
Palermo	1
Orleans	1
Onoldi	1
Oliva	1
Nytorp fält p	1
Nplagd	1
Nissae	1
Nijmegen	1
N freudenstatt jubeljahr	1
Newry	1
Neutra	1
Neisz	1
Nantes	1
Moskve teatre ch klaudija	1
Morpeth	1
Montpellier	1
Monachii joannis	1
Monachii	1
Metz	1
Mannheim	1
Manchester	1
Lviv	1
Lorens	1
Litteris	1
Literis	1
