author	author_gender	Count
-g-, 	NA	    1
-g, 	NA	    1
-l -, 	NA	    1
-ll, 	NA	    1
-m, 	NA	    1
-r-, 	NA	    1
-ts, 	NA	    1
'abdu'l-bahá,  (1844-1921)	NA	    1
'aldor, Imre	NA	    1
'e, 	NA	    1
'lenin', 	NA	    1
'selim', 	NA	    1
A Dunér, Nils Christoffer (1839-1914)	male	    1
A L, Jacob	NA	    1
A-l-a, 	NA	    1
A-n, Elly	ambiguous	    1
A,  (1821-1893)	NA	   53
Aabue, Karen	ambiguous	    1
Aaby-ericsson, R	NA	    1
Aabye, Karen	ambiguous	    7
Aae, Gustaf	male	    1
Aagaard, C	NA	    1
Aagaard, Carl G Ustav Oscar	ambiguous	    2
Aagaard, G	NA	    4
Aagaard, Gustav	NA	    1
Aagaard, Harry	ambiguous	    1
Aage, 	male	    1
Aagesen, A	NA	    1
Aagesen, A Ndreas	male	    1
Aagesen, Fr	ambiguous	    1
Aakjær, Jeppe (1866-1930)	male	    5
Aakkula, Hilma	female	    1
Aall, Anathon (1867-1943)	male	    2
Aall, Herman Harris (1871-1957)	ambiguous	    5
Aall, Jacob	NA	    1
Aaltio, Eino Aapo	male	    2
Aalto, Fredrik	male	    1
Aalto, Jaakko Sakari	ambiguous	    1
Aalto, Otso	male	    1
Aalto, Pentti	male	    6
Aaltonen, Aimo O	male	    1
Aaltonen, Esko	NA	    7
Aaltonen, V T	NA	    1
Aaltonen, Wäinö (1894-1966)	NA	    2
Aamo, Eiliv Skogstad	male	    1
Aanestad, Lars	NA	    1
Aanrud, Hans	NA	    3
Aardweg, Hans P Van Der	ambiguous	    1
Aario, Leo	ambiguous	    1
Aarne, Antti	male	    2
Aarne, Antti Amatus	male	    1
Aarni, Alma	ambiguous	    1
Aarnio, Bernhard	male	    6
Aarnisalo, Otto	ambiguous	    1
Aarnseth, Fredrik (1872-1925)	male	    3
Aaron, A	NA	    1
Aarrestad, Sven	NA	    1
Aars, Jonathan	NA	    1
Aarsbo, Jens	NA	    1
Aarseth, Sverre	male	    1
Aasen, Finn	ambiguous	    1
Aaser, P Eter	ambiguous	    1
Aasland, Benny H	ambiguous	    1
Aasma, Karin (1926-NA)	ambiguous	    3
Aatoft, Alfred	NA	    2
Aava, Erik U Eriksson (1875-NA)	ambiguous	    3
Aavik, Asbjörn	NA	    1
Aavik, Asbjørn	NA	    1
Aavik, Johannes	male	    1
Abadan, Nermin	ambiguous	    1
Abard, Georg	ambiguous	    1
Abard, Gustaf	male	    1
Abbadie, Jacques (1654-1727)	ambiguous	    1
Abbe, 	ambiguous	    1
Abbe, Patience	NA	    1
Abbehusen, Carl	ambiguous	    1
Abbot, John S C	NA	    2
Abbott, Anthony	NA	    1
Abbott, Eleanor Hallowell	female	    1
Abbott, Jacob	NA	    1
Abbott, John Stevens Cabot	male	    3
Abbott, Peter	NA	    1
Abdé, Tom	ambiguous	    2
Abdel Hamid Samaha, Mahmoud	male	    1
Abdon, Nils-olof	male	    4
Abdon, Sten (1909-1984)	NA	    1
Abdul, Aziz	male	    1
Abedé, 	NA	    1
Abegg, Richard	ambiguous	    1
Abel, Broder	male	    1
Abel, Leopold Simon	ambiguous	    1
Abel, Wilhelm (1904-1985)	NA	    1
Abélard, 	NA	    1
Abeleen, O	NA	    1
Abelin, David	ambiguous	    1
Abelin, Gustaf Rudolf	male	    4
Abelin, Harald	male	    1
Abelin, Hjalmar August (1817-1893)	ambiguous	    5
Abelin, Michael (1713-1764)	NA	    4
Abelin, Rudolf (1864-1961)	NA	   25
Abelius, Gustaf	male	    1
Abell, Kjeld (1901-1961)	NA	    2
Abelli, Bror (1880-1962)	male	    7
Abelli, Bror Edward O:son	male	    1
Abelous, Louis David	ambiguous	    2
Abelson, E	NA	    2
Abenius, Margit (1899-1970)	female	    3
Abenius, Per Wilhelm	NA	    3
Abenius, Wilhelm (1864-NA)	NA	    7
Abercrombie, David (1909-1992)	ambiguous	    1
åberg, A Nders	male	    2
åberg, A Nders W Iktor	male	    1
åberg, A V	NA	    1
åberg, åke (1916-2004)	NA	    1
åberg, Alf (1916-2011)	NA	    9
åberg, Anders (1857-1942)	NA	   12
åberg, Aron	ambiguous	    3
åberg, Axel	NA	    1
åberg, Bengt (1920-2005)	NA	    1
åberg, Bengt (1921-2001)	NA	    1
åberg, Bertil (1925-1992)	NA	    3
åberg, Bertil L	NA	    1
åberg, Börje (1911-1994)	NA	    3
åberg, C Gunnar	ambiguous	    1
åberg, Dan (1893-1973)	ambiguous	   11
åberg, Edvard	male	    1
åberg, Edvard Georg (1853-1930)	ambiguous	    1
åberg, Einar (1890-1970)	NA	    1
åberg, Emma Sofia (1856-NA)	ambiguous	    1
åberg, Erik (1889-1963)	ambiguous	    1
åberg, Erik Vilhelm Rutger (1901-1990)	ambiguous	    1
åberg, Ewert (1909-1983)	male	    5
åberg, F O	NA	    1
åberg, Fanny	female	    1
åberg, Filip	male	    1
åberg, G A	NA	    3
åberg, Georg (1912-2002)	ambiguous	    2
åberg, Gerhard	male	    1
åberg, Gustaf (1910-2000)	male	    2
åberg, Gustaf Fritiof Teodor	male	    1
åberg, Hjalmar (1895-1973)	male	    1
åberg, Inge	ambiguous	    1
åberg, J Ohan O Lof	male	   16
åberg, Johan Eggert (1820-NA)	ambiguous	    1
åberg, Johan Olof	ambiguous	    1
åberg, John (1901-1973)	NA	    2
åberg, John Einar (1908-1999)	NA	    8
åberg, Jon Olof (1843-1898)	ambiguous	  332
åberg, Karl	NA	    1
åberg, L	NA	    1
åberg, Lawrence Heap (1851-1895)	ambiguous	   24
åberg, Lennart (1814-1857)	male	    5
åberg, Leo G	ambiguous	    1
åberg, Martin Justus (1796-1852)	ambiguous	    3
åberg, N	NA	    1
åberg, Nils (1888-1957)	male	   19
åberg, Nils Gustaf Johannes	male	    1
åberg, Nils Vilhelm	male	    1
åberg, P Eric	ambiguous	    1
åberg, P Eter	ambiguous	    2
åberg, Per August	ambiguous	    2
åberg, Peter	NA	    1
åberg, Sam	ambiguous	   11
åberg, Samuel	NA	    1
åberg, Selim A	NA	   14
åberg, Sigfrid	NA	    1
åberg, Thorsten (1904-1989)	male	   22
åberg, Thure (1891-1978)	NA	    2
åberg, Tor	NA	    1
åberg, Ulrik Johan	ambiguous	    1
åberg, Urho	male	    1
åberg, Victor	ambiguous	    1
åberg, Vilh F	male	    1
åberg, W (1897-NA)	NA	    1
åberg, Wiktor	male	    1
åberg, Zander	NA	    7
åberger, Gustaf	male	    2
åbergh, C	NA	    1
åbergh, Edith	NA	    1
åbergh, Erik Gustaf	ambiguous	    1
åbergh, O	NA	    1
åbergh, Oscar	NA	    2
åbergh, R	NA	    1
åbergsson, Anna	ambiguous	    1
Aberhalden, Emil	NA	    1
Aberstén, Karl	NA	    3
Aberstén, Simon (1865-1937)	ambiguous	    8
Abey, Enid	ambiguous	    1
Abildgaard, Peter Christian (1740-1801)	ambiguous	    9
Abildgaard, Sören	NA	    1
Abildhøj, Ivar	NA	    1
Abildskov, H P	NA	    1
åbjörnson, Carl (1791-1853)	ambiguous	    1
Abolins, Leo	ambiguous	    1
åbom, Bror Fredrik Julius (1838-1895)	male	    1
åbom, David (1878-NA)	ambiguous	    2
åbom, Emmy (1865-1955)	ambiguous	    1
åbom, J	NA	    2
åbom, Johan Fredrik	ambiguous	    1
About, E	NA	    2
About, Edmond (1828-1885)	NA	    2
Abraham, Gerald (1904-1988)	NA	    1
Abraham, James Johnston (1876-1963)	NA	    2
Abraham, K E	NA	    3
Abraham, Michael	NA	    3
Abraham, Paul (1892-1960)	ambiguous	    2
Abrahami, Abrahamus (1675-NA)	male	    1
Abrahamsen, Augusta	ambiguous	    1
Abrahamsen, David (1903-2002)	ambiguous	    1
Abrahamson, Axel	NA	    1
Abrahamson, Erik	ambiguous	    3
Abrahamson, Erik Hilding	ambiguous	    1
Abrahamson, Gösta (1902-NA)	NA	    1
Abrahamson, J Mart	NA	    1
Abrahamson, Jonas Fredrik	male	    1
Abrahamson, Joseph Nicolai Benjamin Von	ambiguous	    1
Abrahamson, K	NA	    1
Abrahamson, Laurentius G (1856-1946)	NA	    3
Abrahamson, Meyer (1764-NA)	NA	    2
Abrahamson, Reinhold	male	    1
Abrahamson, Werner (1744-1812)	NA	    3
Abrahamsson, Anna	ambiguous	    1
Abrahamsson, Augusta (1858-1950)	ambiguous	    2
Abrahamsson, Greta	NA	    2
Abrahamsson, Hans	NA	    1
Abrahamsson, J	NA	    1
Abrahamsson, Johan Abraham (1757-1828)	ambiguous	    1
Abrahamsson, Johan Martin	ambiguous	    7
Abrahamsson, Pehr Johan	ambiguous	    1
Abrahamsson, Robert	ambiguous	    2
Abrahamsson, Selma (1872-1911)	NA	    2
Abrahamsson, Sofia (1873-1955)	NA	    1
Abrahamsson, Sten	NA	    4
Abrahamsson, Stig (1915-NA)	male	   12
Abrahamsson, Stig Sigvard Egidius	male	    1
Abrahmsén, Carl Herman Valfrid	ambiguous	    2
Abrahmson, A F	NA	    1
Abramowicz, Ignacy	NA	    1
Abrams, Minnie F	NA	    1
Abramson, E	NA	    1
Abramson, Erik	ambiguous	    1
Abramson, Erik Leonard (1864-1922)	ambiguous	    3
Abramson, Ernst (1896-1979)	NA	   10
Abramson, Ernst Leopold	male	    6
Abramson, Leopold (1893-NA)	male	    1
Abramson, Olof (1870-NA)	NA	    1
Abramsson, August	ambiguous	    1
Abramsson, Konrad (1885-1956)	male	    6
åbrandt, Frans Didrik (1751-1812)	male	    1
åbrandt, Lars	NA	    1
åbrandt, Lorentz (1723-1782)	NA	    1
Abrantès, Laure Junot (1784-1838)	NA	    1
Abt, H	NA	    1
Abū Nuaym Al-iṣbahānī, Aḥmad Ibn Abd Allāh	male	    1
åbyson, Holger (1915-1999)	male	    8
Abzelius, Erik	ambiguous	    1
Acander, Petrus Nicolai (1600-NA)	male	    1
Accioli De Vasconcellos, F De B	ambiguous	    2
Acerbi, Giuseppe (1773-1846)	male	    7
Achard, Louis Amédée Eugène	ambiguous	    1
Achard, Marcel (1899-1974)	ambiguous	    1
Acharius, Erik (1757-1819)	ambiguous	   19
Acharius, Lars (1705-1765)	NA	    2
Acharya, Ananda	ambiguous	    1
Āchārya, Ānanda	NA	    2
Achen, Gerda	NA	    1
Achenbach, Hermann	NA	    1
Acheson, Edward Goodrich	ambiguous	    1
Achrelius, Daniel (1644-1692)	ambiguous	    8
Achrelius, Ericus Danielis (1604-1670)	ambiguous	    1
Achrenius, Abraham (1706-1769)	ambiguous	   14
Achrenius, Anders (1745-1810)	NA	    2
Achté, Lorenz Nikolai	male	    1
Ačkanov, Grigorij Pavlovič	male	    1
Acke, J A G (1859-1924)	NA	    1
Ackenheil, Hans Verner	ambiguous	    2
Acker, Auguste Van	ambiguous	    1
Ackerknecht, Erwin (1880-1960)	NA	    3
Ackerman, Horst	NA	    2
Ackerman, Johan Christian (1737-1810)	ambiguous	    2
Ackerman, Olof (1731-NA)	NA	    1
Ackermann, Johann Christian (1737-1810)	ambiguous	    1
Ackermann, Walter	ambiguous	    1
Ackté, Aino	NA	    2
Ackzell, Ingeborg	female	    3
Acland, Arthur Herbert Dyke	NA	    1
Acontius, Jacobus (1500-1566)	NA	    2
Acrel, Johan	ambiguous	    2
Acrel, Johan Gustaf (1741-1801)	ambiguous	    1
Acrel, Olof Af (1717-1806)	ambiguous	   14
Acrelius, Israel (1714-1800)	NA	    8
Acres, Wilfrid Marston	NA	    1
Acton, Alfred	NA	    1
Acuña, Rafael	ambiguous	    1
ådahl, Fridr Ich	male	    1
ådahl, K A	NA	    1
ådahl, K Las A Rvid	ambiguous	    1
Adalberth, Emil (1888-NA)	NA	   11
Adalberth, Verner (1903-NA)	ambiguous	    2
Adalrik, 	male	    1
ådalsson, Karl	NA	    2
Adalsten, Karola	NA	    1
Adam, Adolphe (1803-1856)	NA	    1
Adam, Alexander (1741-1809)	ambiguous	    1
Adam, Antoine (1899-1970)	ambiguous	    1
Adam, Karl	NA	    1
Adam, Mac	ambiguous	    1
Adam, Pierre	NA	    1
Adam, Victor (1801-1866)	ambiguous	    2
Adama Van Scheltema, F	NA	    1
Adama Van Scheltema, Frederik	male	    2
Adamczewski, Ignacy	NA	    1
Adamek, Stanislaw A	male	    1
Adami, Johann Samuel (1638-1713)	ambiguous	   13
Adamic, Louis (1899-1951)	ambiguous	    1
Adamov, Arthur (1908-1970)	NA	    1
Adams-klingberg, Sigrid (1876-1956)	NA	   22
Adams-ray, Edward (1861-1946)	NA	    4
Adams-ray, Jack (1904-1973)	NA	    1
Adams, Abigail Smith	ambiguous	    1
Adams, Adeline	NA	    1
Adams, Arthur H (1872-1936)	NA	    1
Adams, Cleve F	ambiguous	    1
Adams, E Davenport	ambiguous	    1
Adams, Edward	NA	    1
Adams, Ellinor Davenport	ambiguous	    3
Adams, Frank R	ambiguous	    1
Adams, George A	ambiguous	    1
Adams, Henry (1838-1918)	ambiguous	    2
Adams, Henry Gardiner	ambiguous	    1
Adams, Herbert	NA	    4
Adams, James Truslow	NA	    1
Adams, Joe Kennedy	ambiguous	    1
Adams, John Quincy	ambiguous	    1
Adams, Marian Hooper	ambiguous	    1
Adams, Percy W L	ambiguous	    1
Adams, Robert	ambiguous	    1
Adams, Samuel Hopkins	male	    1
Adams, Sarah Flower	ambiguous	    1
Adams, Waldemar J (1886-NA)	NA	    3
Adams, William Henry Davenport	ambiguous	    1
Adamson, 	male	    1
Adamson, Bo (1925-NA)	ambiguous	    1
Adamson, Carl-axel	male	    1
Adamson, Einar (1894-1953)	NA	   15
Adamson, Elma	ambiguous	    1
Adamson, Erik (1895-1983)	ambiguous	    1
Adamson, Ernst	NA	    1
Adamson, Nelly	ambiguous	    1
Adamson, Olge Jungstedt	ambiguous	    1
Ādamsons, Eriks	NA	    1
Adamsson, 	NA	    2
Adamsson, Axel	NA	    1
Adamsson, Harald	male	    1
Adamsson, Karin	ambiguous	    1
Adamus, Jan	male	    1
Adamy, Rudolf	NA	    1
Adanson, Michel (1727-1806)	ambiguous	    2
Adaridi, K	NA	    4
Adcock, E F	NA	    1
Adde, Gustaf (1875-1949)	male	    3
Adde, Pehr Adolf	male	    1
Addison, Christopher	ambiguous	    1
