original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	311102
8:o.	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	 17457
8:o	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	  5280
8:o(4).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	  1928
12:o.	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	  1834
2:o.	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	  1341
16:o.	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	  1143
20 cm	NA	NA	 20.0	FALSE	NA	 13.0	 20.0	NA	  260.00	   679
19 cm	NA	NA	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	   576
18 cm	NA	NA	 18.0	FALSE	NA	 12.0	 18.0	NA	  216.00	   558
23 cm	NA	NA	 23.0	FALSE	NA	 18.0	 23.0	NA	  414.00	   445
12:o	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	   443
22 cm	NA	NA	 22.0	FALSE	NA	 15.0	 22.0	NA	  330.00	   421
12:o(6).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	   397
21 cm	NA	NA	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	   397
12:o(avl.).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	   396
2:o	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	   344
24 cm	NA	NA	 24.0	FALSE	NA	 19.0	 24.0	NA	  456.00	   312
16:o	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	   301
25 cm	NA	NA	 25.0	FALSE	NA	 19.0	 25.0	NA	  475.00	   258
17 cm	NA	NA	 17.0	FALSE	NA	 12.0	 17.0	NA	  204.00	   190
16 cm	NA	NA	 16.0	FALSE	NA	 11.0	 16.0	NA	  176.00	   167
16:o(8).	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	   136
8:o(4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	   127
15 cm	NA	NA	 15.0	FALSE	NA	 12.0	 15.0	NA	  180.00	    95
26 cm	NA	NA	 26.0	FALSE	NA	 20.0	 26.0	NA	  520.00	    94
14 cm	NA	NA	 14.0	FALSE	NA	 11.0	 14.0	NA	  154.00	    90
Hög 12:o.	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    86
lit. 8:o	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	    82
27 cm	NA	NA	 27.0	FALSE	NA	 20.0	 27.0	NA	  540.00	    68
30 cm	NA	NA	 30.0	FALSE	NA	 20.0	 30.0	NA	  600.00	    67
24:o.	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	    58
29 cm	NA	NA	 29.0	FALSE	NA	 20.0	 29.0	NA	  580.00	    55
18:o(12/6).	18mo	NA	NA	FALSE	18mo	 10.0	 16.0	 0	  160.00	    48
24:o(12).	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	    48
28 cm	NA	NA	 28.0	FALSE	NA	 20.0	 28.0	NA	  560.00	    46
2:o(tv.).	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	    44
8:o(8 o.4).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	    42
31 cm	NA	NA	 31.0	FALSE	NA	 21.0	 31.0	NA	  651.00	    39
24:o(8).	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	    37
32 cm	NA	NA	 32.0	FALSE	NA	 21.0	 32.0	NA	  672.00	    35
2:o(4).	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	    33
12:o(6)	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    31
64:o(8).	64mo	NA	NA	FALSE	64mo	  5.0	  7.0	 0	   35.00	    31
1/2:o	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	    30
18:o.	18mo	NA	NA	FALSE	18mo	 10.0	 16.0	 0	  160.00	    30
8:o(2).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	    29
19x12 cm	NA	 12.0	 19.0	FALSE	NA	 12.0	 19.0	NA	  228.00	    29
8:o(tv.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	    28
13 cm	NA	NA	 13.0	FALSE	NA	 10.0	 13.0	NA	  130.00	    24
12:o (avl.)	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    23
6:o	6to	NA	NA	FALSE	6to	NA	NA	 0	NA	    21
19x13 cm	NA	 13.0	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	    20
18x12 cm	NA	 12.0	 18.0	FALSE	NA	 12.0	 18.0	NA	  216.00	    18
23 cm.	NA	NA	 23.0	FALSE	NA	 18.0	 23.0	NA	  414.00	    17
35 cm	NA	NA	 35.0	FALSE	NA	 23.0	 35.0	NA	  805.00	    17
12:o(avl.)	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    16
21 cm.	NA	NA	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	    15
33 cm	NA	NA	 33.0	FALSE	NA	 22.0	 33.0	NA	  726.00	    15
57 cm	NA	NA	 57.0	FALSE	NA	 35.0	 57.0	NA	 1995.00	    14
34 cm	NA	NA	 34.0	FALSE	NA	 22.0	 34.0	NA	  748.00	    14
8:o +	8long	NA	NA	FALSE	8long	 13.0	 22.0	 0	  286.00	    12
Hög 12:o	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    11
12:o(8/4).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    11
24 cm.	NA	NA	 24.0	FALSE	NA	 19.0	 24.0	NA	  456.00	    11
18x11 cm	NA	 11.0	 18.0	FALSE	NA	 11.0	 18.0	NA	  198.00	    11
8:o(tv.) [40] s., s.	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	    10
32:o(8).	32mo	NA	NA	FALSE	32mo	  7.0	 12.0	 0	   84.00	    10
