Name	Count
Total count: 	30521
Sverige.	13075
Sverige.;Sverige.	 1144
Edman	  470
Berling	  454
Mattsson	  324
Werner	  265
Frenckell	  229
Keyser	  216
Meurer	  178
Wankijff	  178
Sveriges kommunistiska parti (1921-1967)	  170
Salvius	  162
Nationalmuseum	  158
Nordström	  156
Sveriges socialdemokratiska arbetareparti	  143
Horrn	  128
Olofsson Helsing	  119
Reusner	  119
Hansson	  117
Sverige.;Sverige.;Sverige.	  116
Carlbohm	  114
Merckell	  102
Kempe	   85
Lindh	   69
Höjer	   68
Günther	   66
Kongl. Finska boktryckeriet	   66
Brand	   64
Biörkman	   62
Wall	   60
Hesselberg	   59
Brockenius	   58
Grefing	   58
Hesselberg, Peter	   57
Kungl. Tryckeriet	   57
Deleen	   55
Sveriges arbetares centralorganisation	   55
Wald	   54
Curio	   52
Svenska kyrkan.	   50
Ungsocialistiska partiets förlag	   50
Winter	   48
Kungl. Ortnamnskommissionen	   47
Svenska metallindustriarbetareförbundet	   47
Lange	   45
Haberegger	   43
Eberdt	   41
Svenska missionsförbundet	   41
Holmberg	   40
Svenska turistföreningen	   39
Uppsala universitet	   39
Kämpe	   38
Gutterwitz	   37
Norberg	   37
Nyström	   35
Decreaux	   34
Kungl. Vitterhets historie och antikvitets akademien	   34
Lauringer	   34
1946 års skolkommission	   33
Svenska metallindustriarbetareförbundet.	   33
Kungl. Vitterhets historie och antikvitets akademien;Riksarkivet	   32
Svenska litteratursällskapet i Finland	   32
Burchardi	   31
Kungl. Vetenskapsakademien	   31
Arbetarkultur	   30
Grefwe	   30
Wallius	   30
Uppsala universitet.	   29
Vattenfallsstyrelsen	   29
Janssonius	   28
Kungl. tryckeriet	   28
Marquard	   28
Palmblad	   28
Svenska akademien	   28
Zeipel et Palmblad	   28
Zetterberg	   28
Arbetarnas bildningsförbund	   27
Liljevalchs konsthall	   27
Lundblad	   27
Svenska missionsförbundets ungdom	   27
Grefingska tryckeriet	   26
Hagen	   26
Stenhammar et Palmblad	   26
Stolpe	   26
Norstedt	   25
Reg. Acad.	   25
Leffler	   24
Nordiska museet	   24
Sverige.;Wankijff	   24
Eckhardt	   23
Federativ	   23
Kooperativa förbundet	   23
Landsorganisationen i Sverige	   23
Wahlström	   23
Bellmanssällskapet	   22
Billingsley	   22
Svenska frimurare orden.	   22
Svenska kyrkans diakonistyrelse	   22
Svenska missionsförbundet i Amerika	   22
Svenska Röda korset	   22
Järnvägsstyrelsen (1888-1962)	   21
Regiae Academiae typographi	   21
Stockholm.	   21
Sverige.;Werner	   21
Wahlström & Låstbom	   21
Kungl. Lantbruksakademien	   20
Uppsala.	   20
Björckegren	   19
