Name	Count
Total count: 	339037
Sweden	286338
Finland	 21283
Germany	  8166
Denmark	  5176
USA	  3785
Norway	  2999
France	  2611
England	  2582
Netherlands	  1111
Russia	   847
Italy	   722
Poland	   390
Austria	   381
Estonia	   378
Czech Republic	   338
Switzerland	   314
Belgium	   293
Iceland	   271
Latvia	   220
Spain	   214
Hungary	   186
Scotland	    95
Argentina	    72
Portugal	    62
Ukraine	    44
Turkey	    30
Canada	    29
India	    27
Lithuania	    20
Ireland	    18
Israel	    11
South Africa	     9
Australia	     7
Romania	     5
Cuba	     1
Mexico	     1
Northern Ireland	     1
