original	polished	Count
Total count: 	68240	
Stockholm	Sweden	30858
[Stockholm]	Sweden	 3599
Uppsala	Sweden	 2664
Göteborg	Sweden	 1927
Lund	Sweden	 1718
Linköping	Sweden	 1030
Örebro	Sweden	 1018
Norrköping	Sweden	  815
Västerås	Sweden	  808
Jönköping	Sweden	  747
Åbo	Finland	  698
Strängnäs	Sweden	  610
Karlskrona	Sweden	  528
Skara	Sweden	  511
Stockholm, Tryckt i Kongl. Tryckeriet.	Sweden	  482
Falun	Sweden	  396
Nyköping	Sweden	  325
Karlstad	Sweden	  305
Upsaliæ	Sweden	  297
Upsala	Sweden	  264
Kristianstad	Denmark	  237
Aboæ	Finland	  204
Götheborg	Sweden	  203
Stockholm, Tryckt uti Kongl. Tryckeriet, Hos Directeuren Pet. Momma.	Sweden	  195
Holmiæ	Sweden	  175
London	England	  173
Strengnäs	Sweden	  169
Stockholm, tryckt uti Kongl. tryckeriet, hos directeuren Pet. Momma.	Sweden	  151
Stockholm, tryckt i Kongl. tryckeriet.	Sweden	  133
Härnösand	Sweden	  121
Greifswald	Germany	  118
Stockholm, tryckt i Kongl. Tryckeriet, 1824.	Sweden	  115
Stockholm, tryckt i Kongl. Tryckeriet, 1828.	Sweden	  114
Stockholm, Tryckt i Kongl. Tryckeriet, 1808.	Sweden	  111
Stockholm, Tryckt i Kongl. Tryckeriet, 1812.	Sweden	  110
Paris	France	  110
Stockholm, Tryckt i Kongl. Tryckeriet, 1815.	Sweden	  103
Stockholm, Tryckt hos Lars Salvius.	Sweden	  102
Stralsund	Germany	   94
Stockholm, tryckt i Kongl. Tryckeriet, 1820.	Sweden	   93
Stockholm, tryckt i Kongl. Tryckeriet, 1827.	Sweden	   92
Stockholm, Tryckt i Kongl. Tryckeriet, 1810.	Sweden	   90
Stockholm, tryckt i Kongl. Tryckeriet, 1821.	Sweden	   88
Stockholm, tryckt i Kongl. Tryckeriet, 1819.	Sweden	   85
Leipzig	Germany	   84
Ubsaliæ	Sweden	   83
Stockholm, Trykt i Kongl. Tryckeriet.	Sweden	   82
Upsaliae	Sweden	   82
Stockholm, tryckt i Kongl. Tryckeriet, 1822.	Sweden	   80
Stockholm, tryckt i Kongl. Tryckeriet, 1823.	Sweden	   79
Stockholm, tryckt i Kongl. Tryckeriet, 1818.	Sweden	   77
Stockholm, Tryckt i Kongl. Tryckeriet, 1809.	Sweden	   76
København	Denmark	   76
Stockholm, Tryckt i Kongl. Tryckeriet, 1811.	Sweden	   75
Stockholm, Tryckt i Kongl. Tryckeriet, 1800.	Sweden	   75
Malmö	Sweden	   74
Stockholm, Tryckt i Kongl. Tryckeriet, 1807.	Sweden	   73
Upsaliæ, literis Wernerianis.	Sweden	   72
Stockholm, Tryckt i Kongl. Tryckeriet, 1802.	Sweden	   71
Stockholm, Tryckt i Kongl. Tryckeriet, 1806.	Sweden	   69
Stockholm, Tryckt i Kongl. Tryckeriet, 1814.	Sweden	   68
Stockholm, tryckt uti Kongl. tryckeriet.	Sweden	   66
Stockholm, Tryckt i Kongl. Tryckeriet, 1801.	Sweden	   65
[Uppsala]	Sweden	   64
Vasa	Finland	   64
Vpsala	Sweden	   63
Stockholm, Tryckt i Kongl. Tryckeriet, 1813.	Sweden	   62
Stockholm, tryckt uti det Kongl. boktryckeriet.	Sweden	   62
Upsaliæ, typis Edmannianis.	Sweden	   62
Stockholm, Tryckt i Kongl. Tryckeriet, 1803.	Sweden	   60
Stockholm, Tryckt hoos Niclas Wankijff, Kongl. Booktr.	Sweden	   57
Stockholm, tryckt i Kongl. tryckeriet, 1826.	Sweden	   55
Stockholm, tryckt i Kongl. Tryckeriet, 1817.	Sweden	   55
Stockholm, Trykt i Kongl. Tryckeriet, 1779.	Sweden	   54
Stockholm, Tryckt uti det Kongl. Boktryckeriet.	Sweden	   54
Aboæ, typis Frenckellianis.	Finland	   54
Berlin	Germany	   52
Londini Gothorum	Sweden	   51
Stockholm, tryckt i Kongl. Tryckeriet, 1825.	Sweden	   50
Stockholm, Tryckt i Kongl. Tryckeriet, 1816.	Sweden	   49
Upsaliæ. [s.n.]	Sweden	   49
Kjöbenhavn	Denmark	   48
Stockholm, tryckt i Kongl. tryckeriet, 1805.	Sweden	   46
Stockholm, Tryckt uti det Kongl. Tryckeriet.	Sweden	   46
Arosiæ	Sweden	   45
Dorpati	Estonia	   44
Stockholm, Trykt i Kongl. Tryckeriet, 1781.	Sweden	   42
Amsterdam	Netherlands	   42
Stockholm, Tryckt i Kongl. Tryckeriet, 1799.	Sweden	   41
Stockholm, Tryckt uti Kongl. Tryckeriet Hos Directeuren Pet. Momma.	Sweden	   41
Kiöbenhavn	Denmark	   41
Lincopiæ	Sweden	   41
Stockholm, Trykt i Kongl. Tryckeriet, 1780.	Sweden	   40
Stockholmiæ	Sweden	   40
Aboae	Finland	   39
Stockholm, tryckt i Kongl. Tryckeriet, 1816.	Sweden	   38
Stockholm, tryckt i Kongl. tryckeriet, 1804.	Sweden	   38
Stockholm, Tryckt i Kongl. Tryckeriet, 1804.	Sweden	   38
[Strengnäs]	Sweden	   38
Stockholm, Tryckt i Kongl. Tryckeriet, 1805.	Sweden	   37
Lundæ, typis Berlingianis.	Sweden	   37
Stockholm, tryckt uti thet Kongl. tryckeriet, hos directeuren Pet. Momma.	Sweden	   36
Reval	Estonia	   36
Stockholm, Tryckt i Kongl. Tryckeriet, 1817.	Sweden	   35
Stockholm, Tryckt i Kongl. Tryckeriet, 1792.	Sweden	   35
Stockholm, Tryckt i Kongl. Tryckeriet, 1794.	Sweden	   35
Stockholm, trykt i Kongl. tryckeriet	Sweden	   35
[Stockholm ]	Sweden	   35
Lundæ	Sweden	   35
Riga	Latvia	   34
Stockholm, Tryckt i Kongl. Tryckeriet, 1793.	Sweden	   33
Stockholm, tryckt uti det Kongl. tryckeriet.	Sweden	   33
Dorpati Livonorum	Estonia	   33
Rostock	Germany	   33
Hamburg	Germany	   31
[Stockholm	Sweden	   31
Christianstad	Denmark	   30
Stockholm, Tryckt i Kongl. Tryckeriet, 1795.	Sweden	   29
Lundæ, litteris Berlingianis.	Sweden	   29
Upsaliæ.	Sweden	   29
Åbo, tryckt hos Johan Christopher Frenckell.	Finland	   29
Stockholm, Tryckt i Kongl. Tryckeriet, 1791.	Sweden	   28
Upsaliæ, typis Wernerianis.	Sweden	   28
[Göteborg]	Sweden	   27
Stockholm, Tryckt uti Kongl. Tryckeriet.	Sweden	   27
Stockholm, tryckt i Kongl. tryckeriet, 1803.	Sweden	   26
Strengnesiæ	Sweden	   26
Stockholm, Tryckt i Kongl. Tryckeriet, 1798.	Sweden	   25
Stockholm, Tryckt hos Direct. Lars Salvius.	Sweden	   25
Stockholm, Tryckt hos Directeuren af Kongl. Tryckeriet Pet. Momma.	Sweden	   25
Wästerås	Sweden	   25
Helsingfors	Finland	   25
Stockholm, tryckt uti Kongl. tryckeriet hos directeuren Pet. Momma.	Sweden	   24
[Jönköping]	Sweden	   24
Lundae	Sweden	   24
Stockholm, tryckt i Kongl. Tryckeriet, 1826.	Sweden	   23
Stockholm, Tryckt i Kongl. Tryckeriet, 1796.	Sweden	   23
Stockholm, tryckt i Kongl. tryckeriet, 1792.	Sweden	   23
Stockholm, tryckt uti thet Kongl. tryckeriet.	Sweden	   23
[Lund]	Sweden	   23
[Linköping]	Sweden	   23
Turusa	Finland	   23
[Åbo]	Finland	   22
[Upsala]	Sweden	   22
Stockholm, trykt [!] i Kongl. tryckeriet.	Sweden	   21
Kiøbenhavn	Denmark	   21
Helsingborg	Sweden	   21
Stockholm, tryckt i Kongl. Tryckeriet, 1815.	Sweden	   20
Upsaliæ, litteris viduæ direct. Joh. Edman.	Sweden	   20
Gothoburgi	Sweden	   20
Stockholm, tryckt hos Elmén och Granberg, J.P. Lindhs enka, F.B. Nestius, Z. Hæggström, A.E. Ortman, samt å Ecksteinska och Marquardska boktryckerierne, 1823 och 1824.	Sweden	   20
Westerås	Sweden	   20
Kiel	Germany	   20
Stockholm, Tryckt i Kongl. Tryckeriet, 1818.	Sweden	   19
U. o. tr. å. ;;[Stockholm:]	Sweden	   19
Stockholm, tryckt hos directeuren Lars Salvius.	Sweden	   19
Carlstad	Sweden	   19
Stockholm, Tryckt i Kongl. Tryckeriet, 1790.	Sweden	   18
Gryphiswaldiæ	Germany	   18
Fahlun	Sweden	   18
Carlskrona	Sweden	   18
Stockholm, tryckt hos direct. Lars Salvius.	Sweden	   18
Stockholm, tryckt hos Lars Salvius.	Sweden	   18
Stockholm, tryckt i Kongl. Tryckeriet, 1814.	Sweden	   17
