Name	Count
Gustaf	3771
Nils	3334
Hjalmar	1614
Johannes	1442
Fredrik	1236
Harald	1203
Pehr	1065
Henrik	1009
Torsten	917
Knut	761
Adolf	735
Vilhelm	698
Magnus	682
Edvard	642
Viktor	620
Ludvig	592
Petrus	562
Folke	537
Josef	462
Theodor	447
Zacharias	399
Oskar	394
Bernhard	392
Fritz	388
Stig	371
Friedrich	363
Lennart	363
Bror	312
Jakob	303
Svante	276
Gottfrid	257
Jan	250
Isak	247
Matthias	241
Gerhard	237
Frithiof	205
Thorsten	205
Holger	203
Claes	194
Reinhold	194
Natanael	181
Elof	179
Gustaf Adolf	170
Ludwig	164
Mauritz	159
Pontus	156
Th	156
Gustaf Henrik	146
Karl Gustaf	146
Hasse	142
Poul	139
Fredric	135
Teodor	132
Filip	131
Ferdinand	129
Niels	129
Ossian	128
Ingvar	127
Sixten	123
Karl-erik	118
Hj	116
Per Adolf	116
Torbern	116
Aug	115
Konrad	115
Marcus Tullius	114
Ewert	113
Anders Gustaf	108
Magnus Jacob	107
Nils Gustaf	107
Gustaf Fredrik	105
Vilhelm Fredrik	103
Eyvind	102
Publius	102
Arthur Conan	101
Isidor	101
Bruno	100
Lage	95
Gustaf Oscar Augustin	94
Quintus	93
Henric	88
Ingemar	88
Rickard	84
Rudyard	84
Peder	82
Per Gustaf	81
Henrik Andersson	78
Lars Magnus	78
Osvald	78
Snorre	78
Ejnar	77
Erling	76
Nils G	76
James Fenimore	75
Nils Magnus	75
Wilh	74
Eduard	73
Josua	73
Jacob Gustaf	72
Oswald	71
Sverker	70
Haqvin	69
Eirik	68
Assar	67
Axel Fredrik	67
Anders Fredrik	66
Clas Theodor	66
Karl Fredrik	66
Klas	66
Malte	66
Nils Henrik	66
Sverre	65
Alarik	64
Nils Fredrik	64
Nils Wilhelm	64
Karl Friedrich	63
Birgit Th	62
Carl-axel	62
Haquin	62
Zeth	62
Bernt	61
Clas Blechert	61
Gottlieb	61
Jascha	61
Knud	61
Olaus	61
Henric Jacob	60
Frederik	59
Thure Gustaf	59
Fritiof	58
Gudmund Jöran	58
Gustaf Edvard	58
Per Teodor	58
Anders Magnus	57
Paavo	57
Pehr Gustaf	57
Rutger	57
Gustaf F	56
J Theophil	55
Salomon	55
Gustaf Wilhelm	54
Salomon Eberhard	54
Urban	54
Fredrik Wilhelm	53
Erkki	52
Fritz Gustaf	52
Nils Olof	52
Nils Peter	52
Runar	52
Aage	51
Lars Fredrik	51
Svend	51
Henryk	50
Seved	50
Wolfgang	50
Christoffer	49
Gustaf A	49
Maksim	49
Fredrik Ulrik	48
Lauritz	48
Rabbe Axel	48
Sanfrid	47
Eliel	45
Karl Bernhard	45
Lars Gustaf Teodor	45
Sophus	45
E Phillips	44
Karl Oskar	44
Karl Vilhelm	44
Stieg	43
Tord	43
Fridtjuv	42
Olaf	42
Adolf Fredrik	41
A Nders	41
Arvid Gustaf	41
