Name	Count
Total count: 	234651
4	13916
8	 9908
16	 8309
32	 5602
2	 5338
24	 4417
12	 3484
48	 3345
20	 3139
15	 2422
64	 2395
40	 2311
96	 2042
28	 1993
31	 1958
36	 1795
14	 1783
30	 1650
23	 1589
80	 1526
18	 1503
22	 1459
128	 1430
56	 1356
160	 1309
19	 1284
47	 1259
72	 1235
10	 1224
26	 1196
44	 1170
63	 1089
112	 1081
11	 1044
34	 1026
39	 1022
52	 1020
144	 1017
192	 1012
7	 1011
46	  995
60	  976
29	  921
27	  918
62	  910
38	  908
95	  892
68	  881
88	  867
6	  864
120	  830
104	  826
176	  810
79	  796
35	  785
84	  785
3	  775
21	  755
159	  741
224	  739
42	  722
127	  720
136	  713
78	  708
50	  698
13	  694
256	  683
55	  682
158	  679
240	  675
76	  672
208	  667
94	  664
54	  662
100	  656
152	  641
45	  640
61	  636
43	  633
92	  630
126	  629
58	  623
156	  611
108	  604
168	  604
111	  600
71	  584
190	  572
191	  568
25	  563
51	  563
110	  556
87	  556
66	  555
132	  554
17	  554
184	  550
70	  532
102	  529
37	  528
124	  521
143	  515
103	  510
175	  510
59	  509
74	  508
116	  502
93	  498
148	  495
216	  492
67	  491
157	  487
200	  486
164	  484
288	  481
82	  480
142	  473
232	  470
174	  466
125	  465
53	  464
86	  463
98	  463
75	  458
90	  454
188	  453
151	  451
91	  450
135	  449
138	  448
140	  447
33	  446
83	  443
118	  442
119	  442
180	  441
77	  440
122	  439
106	  438
139	  436
255	  431
223	  428
154	  425
272	  423
134	  421
167	  421
196	  421
254	  408
150	  407
155	  406
172	  406
207	  405
204	  403
41	  403
206	  401
166	  394
114	  391
189	  389
69	  388
107	  385
123	  383
239	  382
183	  381
57	  379
109	  375
248	  375
182	  373
212	  370
264	  369
320	  365
115	  361
141	  360
222	  360
99	  359
130	  358
146	  358
220	  356
215	  355
85	  355
199	  353
236	  350
186	  349
238	  347
9	  347
187	  346
101	  344
304	  343
147	  342
162	  342
173	  341
49	  341
179	  340
171	  337
131	  336
202	  333
149	  329
228	  329
280	  328
163	  324
214	  323
5	  323
178	  318
170	  317
221	  317
244	  315
287	  312
253	  308
194	  307
252	  307
117	  305
137	  305
89	  305
133	  304
231	  303
218	  300
165	  299
105	  298
65	  298
210	  297
219	  297
230	  296
260	  295
198	  292
181	  290
227	  287
205	  286
251	  286
276	  286
73	  286
203	  285
211	  285
237	  285
271	  284
296	  282
81	  280
243	  279
312	  278
235	  277
121	  274
246	  274
195	  270
352	  268
247	  267
242	  263
270	  262
268	  259
234	  258
263	  258
185	  257
336	  256
250	  253
286	  253
153	  251
284	  250
197	  247
319	  247
226	  245
285	  244
318	  244
129	  243
279	  243
300	  242
213	  240
97	  237
262	  236
259	  234
292	  234
169	  230
258	  230
303	  221
229	  220
267	  219
245	  218
283	  218
201	  217
275	  217
328	  217
217	  216
278	  216
266	  215
384	  215
161	  212
302	  211
113	  208
282	  208
274	  206
316	  205
360	  205
269	  204
301	  204
233	  201
261	  201
145	  199
294	  196
324	  196
298	  195
344	  192
193	  189
315	  188
311	  185
317	  185
308	  182
241	  181
295	  181
314	  181
327	  181
177	  180
291	  179
249	  176
290	  176
368	  176
265	  174
209	  172
225	  171
277	  169
310	  167
400	  163
307	  162
299	  161
332	  160
334	  160
326	  159
322	  157
330	  157
335	  155
306	  154
293	  152
350	  149
351	  149
281	  148
342	  148
366	  145
323	  144
358	  140
376	  139
273	  136
348	  135
432	  133
354	  131
257	  130
340	  130
331	  129
309	  127
333	  127
392	  127
416	  126
343	  124
346	  123
372	  123
356	  122
329	  119
341	  119
448	  119
359	  117
1	  114
339	  114
313	  112
364	  112
370	  112
289	  110
338	  110
382	  110
383	  110
325	  109
367	  109
371	  109
297	  108
365	  108
337	  107
347	  107
321	  105
355	  104
399	  104
398	  103
375	  102
378	  101
424	  101
349	  100
390	  100
380	   99
396	   98
480	   98
408	   97
412	   96
305	   95
403	   92
357	   91
374	   91
388	   90
464	   87
363	   85
377	   85
404	   85
362	   84
410	   84
379	   83
386	   83
394	   83
406	   83
381	   82
420	   82
345	   79
387	   79
422	   79
440	   79
407	   74
442	   74
361	   73
397	   73
415	   73
373	   72
411	   71
456	   70
395	   69
353	   67
369	   67
402	   67
430	   67
436	   67
447	   67
413	   66
496	   66
414	   63
418	   63
444	   63
391	   62
431	   62
478	   62
385	   60
419	   60
446	   60
512	   60
438	   59
452	   59
472	   59
426	   58
428	   57
443	   56
488	   56
544	   56
463	   54
479	   54
393	   53
427	   53
471	   53
528	   53
389	   52
468	   52
474	   52
423	   50
434	   50
454	   50
640	   50
429	   49
460	   49
439	   48
486	   47
405	   46
470	   46
552	   46
560	   45
466	   44
476	   44
441	   43
421	   42
458	   42
462	   42
494	   42
536	   42
550	   42
455	   41
453	   40
482	   40
484	   40
493	   40
500	   40
516	   40
409	   39
433	   39
435	   38
445	   38
475	   38
492	   38
504	   38
530	   38
459	   36
510	   36
568	   36
425	   35
520	   35
543	   35
576	   35
483	   34
487	   34
524	   34
538	   34
540	   34
592	   34
401	   33
437	   33
461	   33
503	   33
467	   32
506	   32
566	   32
656	   32
417	   31
451	   31
473	   31
499	   31
507	   31
526	   31
551	   31
450	   30
491	   30
502	   30
508	   30
558	   30
575	   30
511	   29
518	   29
532	   29
608	   29
457	   28
562	   28
449	   27
465	   27
542	   27
548	   27
574	   27
600	   27
469	   26
501	   26
515	   26
522	   26
572	   26
578	   26
584	   26
607	   26
612	   26
622	   26
624	   26
495	   25
497	   25
498	   25
519	   25
523	   25
547	   25
559	   25
582	   25
588	   25
639	   25
704	   25
720	   25
490	   24
531	   24
570	   24
591	   24
626	   24
628	   24
631	   24
513	   23
527	   23
534	   23
573	   23
654	   23
485	   22
509	   22
539	   22
549	   22
564	   22
586	   22
602	   22
634	   22
652	   22
752	   22
477	   21
525	   21
589	   21
604	   21
636	   21
514	   20
535	   20
556	   20
579	   20
580	   20
583	   20
590	   20
599	   20
664	   20
517	   19
533	   19
554	   19
587	   19
594	   19
610	   19
633	   19
505	   18
632	   18
658	   18
672	   18
692	   18
744	   18
555	   17
563	   17
571	   17
581	   17
596	   17
614	   17
616	   17
620	   17
629	   17
668	   17
678	   17
716	   17
481	   16
557	   16
598	   16
606	   16
623	   16
630	   16
736	   16
766	   16
489	   15
529	   15
545	   15
605	   15
615	   15
637	   15
648	   15
660	   15
669	   15
676	   15
680	   15
696	   15
1280	   14
541	   14
603	   14
670	   14
684	   14
688	   14
712	   14
792	   14
561	   13
601	   13
638	   13
642	   13
644	   13
647	   13
734	   13
772	   13
968	   13
521	   12
553	   12
613	   12
646	   12
649	   12
671	   12
674	   12
702	   12
760	   12
780	   12
800	   12
546	   11
565	   11
567	   11
651	   11
659	   11
662	   11
667	   11
690	   11
700	   11
714	   11
718	   11
722	   11
724	   11
728	   11
730	   11
748	   11
756	   11
779	   11
796	   11
868	   11
880	   11
-Inf	   10
618	   10
619	   10
635	   10
643	   10
650	   10
653	   10
679	   10
698	   10
701	   10
708	   10
746	   10
750	   10
758	   10
767	   10
946	   10
960	   10
569	    9
611	    9
663	    9
685	    9
686	    9
703	    9
706	    9
726	    9
742	    9
762	    9
768	    9
775	    9
778	    9
784	    9
788	    9
824	    9
840	    9
856	    9
1146	    8
1148	    8
537	    8
585	    8
593	    8
597	    8
621	    8
657	    8
661	    8
665	    8
689	    8
694	    8
707	    8
710	    8
735	    8
743	    8
816	    8
828	    8
831	    8
832	    8
835	    8
864	    8
890	    8
1279	    7
609	    7
617	    7
697	    7
709	    7
715	    7
731	    7
770	    7
776	    7
797	    7
810	    7
814	    7
850	    7
879	    7
894	    7
964	    7
1000	    6
1016	    6
1072	    6
627	    6
641	    6
645	    6
655	    6
666	    6
675	    6
681	    6
683	    6
687	    6
719	    6
725	    6
727	    6
733	    6
740	    6
741	    6
755	    6
765	    6
782	    6
793	    6
799	    6
807	    6
808	    6
815	    6
826	    6
838	    6
846	    6
854	    6
855	    6
874	    6
888	    6
892	    6
904	    6
927	    6
952	    6
954	    6
1024	    5
1037	    5
1038	    5
1102	    5
577	    5
673	    5
691	    5
693	    5
729	    5
738	    5
751	    5
757	    5
763	    5
764	    5
777	    5
787	    5
790	    5
794	    5
795	    5
798	    5
804	    5
805	    5
811	    5
820	    5
821	    5
823	    5
827	    5
836	    5
852	    5
858	    5
860	    5
872	    5
884	    5
891	    5
905	    5
920	    5
932	    5
940	    5
974	    5
982	    5
990	    5
1027	    4
1028	    4
1030	    4
1053	    4
1055	    4
1082	    4
1120	    4
1200	    4
1240	    4
1360	    4
595	    4
625	    4
677	    4
695	    4
713	    4
723	    4
732	    4
753	    4
771	    4
781	    4
783	    4
786	    4
791	    4
801	    4
802	    4
809	    4
813	    4
818	    4
825	    4
829	    4
839	    4
842	    4
847	    4
848	    4
851	    4
853	    4
861	    4
862	    4
867	    4
873	    4
893	    4
896	    4
897	    4
898	    4
908	    4
909	    4
910	    4
916	    4
918	    4
922	    4
924	    4
934	    4
942	    4
944	    4
948	    4
957	    4
958	    4
961	    4
972	    4
976	    4
980	    4
988	    4
