Name	Count
Total count: 	305
ill.	213
musiknoter	 14
ill	  8
ill. (kopparstick)	  5
1 pl.	  3
tab.	  3
[1] pl.	  2
[1] pl.-bl.	  2
1 karta	  2
1 pl.-bl.	  2
ill. ; 5 pl.-bl.	  2
ill., kartor	  2
ill., musiknoter	  2
[1] ins., [1] pl.	  1
[1] pl., [1] klistr. gravyr.	  1
[1] vikt pl.-bl.	  1
[2] pl.	  1
1 pl. bl.	  1
1 portr.	  1
2 kartor	  1
2 pl.-bl.	  1
4:o	  1
8 pl.	  1
8 vikta pl.-bl.	  1
8:o.	  1
8:o(4).	  1
färg	  1
front.	  1
huvudsakligen ill.	  1
ill, kopparstick	  1
Ill.	  1
ill. ; [3] pl.-bl. (kopparstick)	  1
ill. ; 1 pl.	  1
ill. ; 1 pl.-bl.	  1
ill. ; 4 pl.-bl.	  1
ill. ; vii pl.	  1
ill. (1 utvikbar karta)	  1
ill. (karta)	  1
ill., (kopparstick)	  1
ill., [1] träsnitt	  1
ill., [83] träsnitt.	  1
ill., karta	  1
ill., karta och träsnitt	  1
ill., kopparstick	  1
ill., plates, ports., maps, facsims.	  1
ill., tab.	  1
ill., träsnitt	  1
ill.(kopparstick)	  1
karta	  1
kopparstick : s/v	  1
musiknot.	  1
musiknotbilaga =(s. 99/100 annons)=; [1] pl. & omsl.	  1
Musiknoter	  1
pl.	  1
sc. ill.	  1
tab. (2 av tab.-bl. vikta)	  1
tab., noter	  1
xiv pl.	  1
