Name	Count
Total count: 	1860
1 nr/månad	373
1 nr/kvartal	202
Årlig	197
1 nr/vecka	165
Oregelbunden	152
1 nr/år	137
Varannan månad	 93
Varannan vecka	 93
2 nr/år	 60
10 nr/år	 45
8 nr/år	 23
1-2 nr/år	 21
2 nr/månad	 21
Ett nr/år	 17
3 nr/år	 16
Vartannat år	 16
5 nr/år	 14
9 nr/år	 10
2-3 nr/år	  9
20 nr/år	  8
4-5 nr/år	  7
6-8 nr/år	  7
12 nr/år	  6
2-4 nr/år	  6
3-4 nr/år	  5
7 nr/år	  5
Ca 1 nr/månad	  5
5-6 nr/år	  4
6 nr/år	  4
1-4 nr/år	  3
15 nr/år	  3
18 nr/år	  3
2 nr/vecka	  3
22 nr/år	  3
3 nr/månad	  3
Ca 3-4 nr/år	  3
Vart femte år	  3
1-3 nr/år	  2
11 nr/år	  2
13 nr/år	  2
2-5 nr/år	  2
2-7 nr/år	  2
24 nr/år	  2
3-5 nr/år	  2
30 nr/år	  2
7-8 nr/år	  2
8-10 nr/år	  2
Ca 1 nr/vecka	  2
Ca 1-2 nr/år	  2
Ca 10 nr/år	  2
Ca 2 nr/år	  2
Ca 2 nr/vecka	  2
Ca 20 nr/år	  2
Ca 3 nr/år	  2
Ca 6-7 nr/år	  2
Ca 6-8 nr/år	  2
Ca vartannat år	  2
Daglig	  2
Vart fjärde år	  2
Vart tredje år	  2
1 år/år	  1
1 nr/månaden	  1
1 nr/vecka (april-sept.), 2 nr/månad (okt.-mars)	  1
1 nr/vecka med sommaruppehåll, dvs ca 42 nr/år	  1
10 nr /år	  1
10-11 nr/år	  1
10-12 nr/år	  1
11-12 nr/år	  1
13-17 nr/år	  1
14 nr/år	  1
16 nr/år	  1
2 nr/månad (1 och 4 kvartalet), 1 nr/kvartal (2 och 3 kvartalet)	  1
2 nr/månad (1856-1859). 1 nr/månad (1860-186?)	  1
2 nr/månad utom juli-augusti	  1
2-4 nr/månad	  1
21 nr/år	  1
22-24 nr/år	  1
3 nr/vecka	  1
3-6 nr/år	  1
30-40 nr/år	  1
31 nr/år	  1
32 s.	  1
4 h./år	  1
4 hft / år	  1
4 nr/år	  1
4 nr/termin	  1
4 nr/vecka	  1
48 nr/år	  1
5 nr/vecka	  1
5-7 nr/år	  1
5-8 nr/år	  1
6 nr/vecka	  1
6-10 nr/år	  1
6-7 nr/år	  1
6-7 pl./år	  1
6-9 nr/år	  1
60 nr/år	  1
8-9 nr/år	  1
9-10 nr/år	  1
Årligen	  1
Åtta nr/år	  1
Ca 1 nr/år	  1
Ca 1 nr/kvartal	  1
Ca 1-2 nr/månad	  1
Ca 10 nr/månad	  1
Ca 11 nr/år + årsvol.	  1
Ca 18 nr/år	  1
Ca 19-20 nr/år	  1
Ca 2-4 nr/år	  1
Ca 2-5 nr/år	  1
Ca 4-6 nr/år	  1
Ca 4-8 nr/år	  1
Ca 6 nr/år	  1
Ca 70-80 nr/år	  1
Ca 8 nr/år	  1
Ca 9-12 nr/år	  1
Ca var tredje dag så länge kryssningarna varar	  1
Ett nr/kvartal	  1
Ett nr/mån	  1
Ett nr/månad	  1
Ett nr/vartannat år	  1
Irregular	  1
Sporadisk	  1
Tidigare 1 nr vart tredje år, nu 1 nr/år	  1
Varje vecka	  1
Vart tredje år-1 nr/år	  1
Vart tredje till vart fjärde år	  1
Vartannat eller vart trejde år	  1
Vartannat till vart tredje år	  1
