publication_place	country	Count
Total count: 	73176	
Aàbo chez jean chret frenckell	NA	    1
Aachen	Germany	    1
Aachen liege	NA	    1
Aalborg	Denmark	    4
Aboae abo	NA	    1
Aboae åbo	NA	    1
Ab olao olaj anno	NA	    1
Abr habereegr gub car bokt	NA	    1
Abr habereger gub acad car bokt	NA	    1
Aeschillus matthiae acad typog	NA	    1
Aes gravenhage	NA	    1
åhr	NA	   20
åhr den junij zacharia asp capitels booktryckiare ibid	NA	    1
åhr m dc xxx ix	NA	    1
åland	NA	   50
Albona	NA	    1
Alla franechera appresso giouanni d arcerio	NA	    1
Altdorf	Germany	    1
Altdorffii iod gvil kohlesii acad typogr r s mdccxviii	NA	    1
Altdorfii	NA	    2
Altefähr	NA	    5
Altenburg	Germany	    1
Altenstein	Germany	    3
Altona	Germany	    9
Altonà	NA	    1
Altona bey jobst heinrich baack wohnet bey lutherischen kirchen	NA	    1
Amberg durch michaëln forstern cvm privilegio anno m d xcv	NA	    1
Amsteld	NA	    1
Amsterdam	Netherlands	  124
Amsterdam haye stockholm	NA	    1
Amsterdam paris	NA	    2
Amsterdam rotterdam	NA	    1
Amsterdam upsala	NA	    1
Amsterodami hamburgi	NA	    1
Amundi grefwe	NA	    1
Anno	NA	    5
Anno christi m dc xvi	NA	    1
Anno den september	NA	    1
Anno mdccii	NA	    1
Anno m d ccvii	NA	    1
Anno m dcc xxxiv	NA	    1
Anno m dc lv	NA	    1
Anno m dc xxxi stettini rhetianis	NA	    1
Anno m d l iii	NA	    1
Antwerp	Belgium	    6
å nyo åhr	NA	    1
ånyo gefle	NA	    1
å nyo k b sal niclas wankijffs tryckerij åhr	NA	    1
å nyo thet kongl tryckeriet	NA	    1
å nyo uplagt gefle ernst peter sundqvist	NA	    1
å nyo uplagt i kongl tryckeriet	NA	    1
år	NA	    5
Arhusiaeq	NA	    1
Arnstadt	Germany	    3
år nyköping e hasselrot	NA	    1
Aros	NA	    1
Arosia arosiensis	NA	    1
Arosiae arosiensis	NA	    1
Arosia västerås	NA	    1
Artern	NA	    1
Atrebati	NA	    1
Auff wiesingsburg von johann kankel anno m dc lxxviiii	NA	    1
Auf kosten des auctoris zu finden bey jacob lœfflern königl universitaet buchhändler bey hieronymus johann struck univers buchdr	NA	    1
Auf verlangen des herrn obrist göertz gedruckkt anno	NA	    1
Augsburg	Germany	    5
Augspurg	NA	    4
Augusta	USA	    4
Aureliae allobrogum	NA	    1
Aux depens de l auteur sa	NA	    1
Avignon	France	    1
Baltimore Md	USA	    1
Barcelona	Spain	    3
Barhöft	NA	    1
Basel	Switzerland	   13
Basilea spese di giov rod turneisen mdccxlvii	NA	    1
Bataviae	NA	    1
Bekostat claes depken borghare wästeråhrs wästeråhrs oluff oluffszon anno	NA	    1
Belitz	NA	    2
Bergen	Norway	    2
Berlin	Germany	   76
Berlin greifswald	NA	    1
Berlingska boktryckeriet	NA	    1
Berlin stettin	NA	    3
Berlin stralsund	NA	    1
Berlin stralsund greifswald	NA	    1
Bern	Switzerland	    1
Berolini	NA	    5
Berolini ge reimerum mdcccxxv	NA	    1
Bey ignatius meurer	NA	    1
Bey joh conrad peetz	NA	    1
Bielefeld	Germany	    1
Biörckegrens enka år säljes exemplaret för dal kopp mt	NA	    1
Boëthio hagen cons typ anno m dc lxxii	NA	    1
Boëtio hagen anno	NA	    1
Boetio hagen cons gymn booktr	NA	    1
Boizenburg	NA	    5
Bologna	Italy	    1
Bologne	NA	    1
Bonn	Germany	    3
Borås	NA	   16
Borås n e lundström	NA	    1
Bordeaux	France	    2
Boston Ma	USA	    2
Brandenburg bey lebrecht fromm jm jahr	NA	    1
Braniewo	Poland	    1
Braunschweig	Germany	    2
Braunschweig schulbuchhandlung	NA	    1
Bremen	Germany	    5
Breslau	Poland	   12
Brest	NA	    1
Bristol	England	    1
Bruessel	NA	    1
Brunae	NA	    1
Brunsberg	NA	    2
Brunsbergae	NA	    2
Brunswick Ma	USA	    2
Brussel	NA	    1
Buetzow	NA	    2
Buxtehude	NA	    2
Caen	France	    1
Caes aug	NA	    1
Calissii	NA	    2
Calmar	NA	   39
Calmara christoffer guenter anno m dc xxxii	NA	    1
Calmar år lorentz lindeblads änka	NA	    1
Calmar carl fredr bergs boktryckeri	NA	    1
Calmar c f berg år	NA	    1
Calmar c f bergs boktryckeri	NA	    1
Calmar christoff guenther	NA	    1
Calmar christopher guenter anno m dc xxxv	NA	    1
Calmar christopher guenther	NA	    1
Calmar christopher guenther anno	NA	    1
Calmar christopher guenther anno m dc xxxi	NA	    1
Calmar christopher guenther anno m dc xxxii	NA	    1
Calmar christophero guenther	NA	    1
Calmar efter original magnus petersson	NA	    1
Calmar hoos christopher guenther anno m dc xxvii	NA	    1
Calmar hoos christoph guenther anno	NA	    1
Calmariae	NA	    3
Calmariae christoph guentheri anno m dc xxvii	NA	    1
Calmariae christophori gûntheri anno d julij	NA	    1
Calmariae christophori gûntheri d julij	NA	    1
Calmariae christophorus guentherus d aug	NA	    1
Calmariae exscripsit christopherus gunther anno m dc xxvi	NA	    1
Calmariae exscripsit christopherus gunther anno m dc xxvii	NA	    1
Calmar kongl gymn boktryckeriet	NA	    1
Calmar lars lindeblad år	NA	    1
Calmar lars lindeblad bekostnad	NA	    1
Calmar l lindeblad år kongl priviligierad boktryckare	NA	    1
Calmar magnus petersson	NA	    1
Calmar magnus petersson år	NA	    1
Cambridge	England	    1
Carls crona georg törn	NA	    1
Carls crona kongl amiralitets boktryckaren joan winqwist	NA	    1
Carls crona kongl amiralitets boktryckaren sal joan winqwists änckia	NA	    1
Carls crona kongl amiralitets boktryckeriet	NA	    1
Carlshamn	NA	    1
Carlshamn söderströms boktryckeri förlag torpare i asarums socken	NA	    1
Carlstad	Sweden	   19
Carlstad e höijer	NA	    1
Carlstad e wallencrona	NA	    1
Carlstad l horrn	NA	    1
Carlstad wallencrona	NA	   16
Caroli	NA	    1
Carolsadii caroli diderici schmidt	NA	    1
Cassel	France	    5
Cassel chez jerfmie estienne mdccliv	NA	    1
Catania	NA	    1
Cederholm elmens granbergs tryckeri	NA	    1
Celle	Germany	    1
Charlottenburg	NA	    4
Chemnitz bei karl gottlieb hofmann	NA	    1
Chra	NA	    1
Christianiae	NA	    1
Cksteinska boktryckeriet	NA	    2
Cksteinska tryckeriet	NA	    1
Coblentz se trouvent dans toutes les capitales de l europe m dcc xcii	NA	    1
Cölln	NA	    2
Cölln bey peter marteau	NA	    1
Cölln verlag vnd truckerey wilhelm friessems buchhändlers im ertz engel gabriel tranckgassen anno m dc lxiv	NA	    1
Cöln	NA	    1
Cologne	Germany	   18
Conimbricae	NA	    1
Con licencia casa de domingo de lago	NA	    1
Constantz	NA	    1
Copenhagen	Denmark	  348
Copenhagen leipzig	NA	    2
Copenhague geneve	NA	    1
Cosmopoli	NA	    1
Coswig	NA	    2
Cracoviae	NA	    8
Cracoviae officina typographica lazari anno domini	NA	    1
Cristianstad	NA	    1
Cum gratia privilegio christoff reusner	NA	    1
Cum gratia privil sacr regiae majest sveciae rjga verlegung georg matth möller	NA	    1
Dalarö	NA	    1
Dantisci	NA	    1
Dantisci molybdographia guillemothanae anno mdiix	NA	    1
Dantzig	Poland	    2
Danzic	NA	    1
Daselbst ben johann franz struck königl preuss privil buchdrucker	NA	    1
Daselbst durch chr reusner	NA	    1
Daselbst durch chr reusner den eltern anno m dc xxxi	NA	    1
De l imprimerie de charles rue de thionville n⁰	NA	    1
De l imprimerie royale	NA	    3
De l imprimerie royale mdcclxii	NA	    1
Dessau	Germany	    4
Deutschland	NA	    1
Deux	NA	    3
Deventer	Netherlands	    2
Diesem ten jahr	NA	    1
Dijon	France	    2
Directeur carl gustav berling	NA	    1
Directeuren carl gustav berling	NA	    3
Dordrecht	Netherlands	    1
Dörpath liefflandt durch vnd verlegung jacob beckern	NA	    1
Dorpatu	NA	    1
Douai	France	    1
Dresde	NA	    2
Dresden	Germany	    4
Dublin	Ireland	    4
Dunkerque	NA	    1
Durch caspar holwein königl schwed buchdrukker	NA	    1
Durch georg hantsch	NA	    1
Durch georg hantsch königl buchdr	NA	    1
Edinburgh	Scotland	    2
Elbingen	Germany	    3
Eleuteropoli eg freistadt	NA	    1
Erffurdt bey georg hertzen im m dc xxxii jahr	NA	    1
Erfordiae heringii acad typogr	NA	    1
Erfurt	Germany	    4
Erlangen	Germany	    5
Eschillus matthiae	NA	    1
Euchario lauringer åhr	NA	    2
Falun	Sweden	  438
Falunae	NA	    1
Filipstad	NA	    1
Finland	NA	    1
Firenze	Italy	    6
Firenzi	NA	    1
Flensburg leipzig	NA	    2
Florence	Italy	    1
Florentiae	NA	    2
Folgends abgesetzet des seligen hinterlassenen druckerey	NA	    1
Förr detta grefingska tryckeriet	NA	    6
Förr detta grefinska tryckeriet	NA	    1
Förr thetta grefingska tryckeriet	NA	    5
Forssa	Finland	    1
