name;synonyme
Åkarp;akarp
Akarp;akarp
Gdańsk;dantzig
Dantzig;dantzig
Finspång;finspang
Finspang;finspang
Gießen;giessen
Giessen;giessen
Lübeck;lubecae
Lybeck;lubecae
Lübeck;lubeck
Lybeck;lubeck
Lübeck;luebeck
Lybeck;luebeck
Lübeck;lybec
Lybeck;lybec
Lübeck;lybeck
Lybeck;lybeck
Reykjavik;reykjiavik
Reykjavík;reykjiavik
Skellefteå;skelleftea
Skelleftea;skelleftea
Västerås;västeras
Västeras;västeras
Västeras numr;västeras
Västeras per kraft;västeras
Västerås;vesteras
Västeras;vesteras
Västerås;wästeraas
Västeras;wästeraas
