Name	Count
<s >	1
å	1
å stockho	1
Aàbo chez	1
Aachen liege	1
Ab anno	1
Aboae abo	1
Aboae åbo	1
Abr habereegr gub car bokt	1
Abr habereger gub car bokt	1
Aes gravenhage	1
åland	1
Albona	1
Alla franechera	1
Altdorffii iod gvil kohlesii r s	1
Altdorfii	1
Altefähr	1
Altonà	1
Altona bey	1
Amberg	1
Amsteld	1
Amsterdam haye stockholm	1
Amsterdam paris	1
Amsterdam rotterdam	1
Amsterdam upsala	1
Amsterodami hamburgi	1
änkia	1
Anno	1
Arhusiaeq	1
Aros	1
Arosia arosiensis	1
Arosia västerås	1
Arosiae arosiensis	1
Artern	1
Atrebati	1
Augspurg	1
Aureliae allobrogum	1
Barhöft	1
Basilea spese	1
Bataviae	1
Bekostat borghare wästeråhrs wästeråhrs anno	1
Belitz	1
Berlin greifswald	1
Berlin stralsund	1
Berlin stralsund greifswald	1
Berlingska	1
Berolini	1
Berolini ge reimerum	1
Boetio cons booktr	1
Boizenburg	1
Boktryckerj enkia hen	1
Bologne	1
Bookd anno	1
Booktr	1
Booktryck	1
Booktryckerijet enckia	1
Booktrycki are	1
Borås	1
Brandenburg jahr	1
Brest	1
Bruessel	1
Brunae	1
Brunsberg	1
Brunsbergae	1
Brussel	1
Buxtehude	1
Caes	1
Calissii	1
Calmar	1
Calmar änka	1
Calmar anno	1
Calmar bekostnad	1
Calmar cf	1
Calmar christopher	1
Calmar christopher anno	1
Calmar efter original	1
Calmar priviligierad boktryckare	1
Calmara anno	1
Calmariae	1
Calmariae anno	1
Calmariae exscripsit anno	1
Calmariae guntheri anno julij	1
Calmariae guntheri julij	1
Carlshamn	1
Carlshamn söderströms förlag torpare	1
Carlstad e	1
Carlstad g	1
Carlstad horrn	1
Carolsadii	1
Catania	1
Cederholm tryckeri	1
Charlottenburg	1
Chemnitz	1
Chra	1
Christi	1
Christianiae	1
Cksteinska	1
Coblentz se trouvent dans toutes les capitales europe	1
Cölln	1
Cölln peter	1
Cölln verlag vnd truckerey buchhändlers im ertz engel anno	1
Cöln	1
Conimbricae	1
Cons typ anno	1
Constantz	1
Copenhagen leipzig	1
Copenhague geneve	1
Cosmopoli	1
Coswig	1
Cracoviae	1
Cracoviae typographica lazari anno domini	1
Cristianstad	1
Cum gratia privilegio	1
Cum gratia sacr sveciae rjga verlegung	1
