Name	Count
Total count: 	7297
<S.a.>	2542
s.a.	1938
[s.a.]	 208
u.å.	  87
[18-?]	  72
[19??]	  59
[S.a.]	  56
[16??]	  44
[1---]-	  34
[1---]	  30
[19--]	  30
[s.n.]	  28
[18--]-	  23
S.a.	  21
[190-?]	  20
[17--?]	  17
[189?]	  17
[190?]	  15
[19--?]	  14
[19--]-	  14
[191?]	  13
[192-?]	  13
[191-?]	  11
[18--?]	  10
[193?]	  10
[16--?]	   8
1770-talet 1780-talet	   8
[189-?]	   8
[19-?]	   8
[192?]	   8
[194-?]	   8
[18--]	   7
[188-?]	   7
[194?]	   7
[17--]	   6
[19--?]-	   6
193-?]	   6
u. å. [16??]	   6
[185-?]	   5
[186?]	   5
[187?]	   5
190-?]	   5
1904-1905;1904	   5
1760 1770-talet	   4
1770 1780-talet	   4
[18??]-	   4
18??-	   4
[183?]	   4
[185?]	   4
[188?]	   4
19??	   4
193?	   4
[195-?]	   4
[s.a]	   4
ឃ	   3
ថ	   3
[16??].	   3
[17--]-	   3
1720 1730-talet	   3
1750-talet 1760-talet	   3
[179-?]	   3
[18??]	   3
[19??]-	   3
19??-	   3
[19--]-[19--]	   3
[192-]	   3
[193-?]	   3
s.a. [190?]	   3
Tryckt i åhr. [16??]	   3
[u.å.]	   3
u. å., [16??]	   3
u. å.,;[16??]	   3
᝹	   2
ឈ	   2
ធ	   2
ᠥ	   2
ᘶ	   2
ᙵ	   2
ᚇ	   2
ᚒ	   2
[1----]-	   2
[1---?]	   2
[1---?]-	   2
[1---]-[19--]	   2
[166?]	   2
[168?]	   2
[169?]	   2
17--?]	   2
[170-?]	   2
1705 1698	   2
1740 1750-talet	   2
1745 0	   2
1750 1760-talet	   2
1775 1776 1777	   2
1780 1790-talet	   2
[18--?]-	   2
[182-?]	   2
[184?]	   2
[186-?]	   2
1860-1876;1880	   2
1871-1873;1871	   2
1871-1873;1872	   2
18[76-]1877	   2
[189-?]-	   2
[189-]	   2
1891-[1---]	   2
1896-1899;1895	   2
1897-1898;1897	   2
19--	   2
[190-]	   2
[1905-] 1906	   2
[191-?]-	   2
[191-]	   2
1921-1922;1921-1922;1922	   2
1939-1963;1955	   2
1949-1955;1949;1949-1955	   2
[195?]	   2
1950, cop. 1946	   2
1951, cop. 1950	   2
1952, cop. 1950	   2
1953-1955;1955	   2
1953, cop. 1939	   2
62 A y (Br.) FOL.	   2
u. å.	   2
u.å. [16??]	   2
u.å.,;[16??]	   2
[----]	   1
ᜤ	   1
ᜰ	   1
ᜳ	   1
᜵	   1
ᝅ	   1
᝙	   1
ᝠ	   1
᝴	   1
ក	   1
ឆ	   1
ជ	   1
ន	   1
᠃	   1
᠕	   1
ᠳ	   1
ᕁ	   1
ᕩ	   1
ᖐ	   1
ᙘ	   1
ᙨ	   1
ᙲ	   1
ᙹ	   1
ᚃ	   1
ᚅ	   1
ᚈ	   1
ᚉ	   1
ᚓ	   1
ᚔ	   1
ᚖ	   1
ᚗ	   1
ᚘ	   1
ᚙ	   1
ᜉ	   1
1094	   1
[1---] - [1----]	   1
[1---]-[1---]	   1
1(1863) - 5(1888)	   1
[1---?]-[1930?]	   1
12- 13 Köbenhavn 1946, Stockholm 1949	   1
( 1-2)1835-1836	   1
129	   1
1348	   1
1530 (eg. 1630).	   1
[16--??]	   1
1619 [på tit.-bl. 1618]	   1
1620,;(i slutskriften:) 1621	   1
1626, 1625	   1
1632 (eg: 1642)	   1
1635 (eg: ca. 1640).	   1
1635 (eg: ca. 1660).	   1
[163l].	   1
1641, 31 decemb.	   1
1642-40.	   1
1643 (eg: ca. 1660).	   1
1644, 1648, 1649	   1
1648 (eg: ca. 1660).	   1
1649 (eg: ca. 1660).	   1
1652 (eg: ca. 1660).	   1
1665 (årtalet ändr. fr. 1662 ?).	   1
1667, 1668, 1669	   1
166l	   1
166l.	   1
1674, 1673	   1
1685, 1683	   1
[1690-talet?];u. å. [1690-talet].	   1
1697, 1696	   1
[17--?]-	   1
[17--?].	   1
[17??]	   1
1700 1780-talet	   1
1700-talet 1800-talet	   1
1705 1689	   1
1706 1707 1715	   1
1708 1709 1710 1711 1712 1713 1714 1715 1716 1717 1718 1719	   1
1708, 1730-talet	   1
1710 1720-talet	   1
1717 1741 1730-talet	   1
1720- 1696	   1
1724 1720-talet	   1
1725 1697	   1
1725 1740-talet	   1
[173-?]	   1
1730 1731 1733 1734	   1
1730 1740 1750-talet	   1
1730 1740-talet	   1
1730-talet 1740-	   1
1731 1631	   1
[173?-174?]	   1
1734 1743 1745	   1
1738 1739 1740	   1
1740-talet 1730-	   1
1740-talet 1750-	   1
1740-talet 1750-talet	   1
1741-42 1700-talet	   1
1743 1745 1746	   1
1746 0	   1
[175-?]	   1
[175?]	   1
1750-1760-talet	   1
1750-talet 1760-	   1
1750-talet, 1760-talet	   1
1751 1800-	   1
1752 1753 1754	   1
1756 1755	   1
1758 1760 1770-talet	   1
[176?]	   1
1760-talet 1770-	   1
1760-talet 1770-talet	   1
1762 1825 1827	   1
[177?]	   1
1770-1780-talen	   1
1770-talet 1780-	   1
1774 1780 1793	   1
1775-1761	   1
1775 1780 1790	   1
1776 1779 1785	   1
1779 1780 1783	   1
[178-?]	   1
1781:1-13	   1
1787-1782	   1
[179?]	   1
179-?]	   1
179?	   1
1792 1793 1795	   1
1793-1795 ; 1920-	   1
