Name	Count
Total count: 	371287
	192324
Bonnier	 13585
Sverige	 11627
Norstedt	  6817
Kongl. tryckeriet	  5063
Wahlström & Widstrand	  3204
Förf	  2912
Gleerup	  2684
Geber	  2425
Natur & Coultur	  2308
Åhlen & Åkerlund	  2106
Lindblad	  2091
Almqvist & Wiksell	  2019
B. Wahlström	  1902
Tiden	  1787
Diakonistyr	  1398
Utg	  1156
Söderström	  1150
Lindqvist	  1125
Hökerberg	  1102
Ljus	   956
Schildt	   895
Fritze	   857
Nordiska bokhandel	   838
s.n	   837
Beijer	   827
Skoglund	   744
förf	   697
Svenska kyrkans diakonistyrelse	   690
Filadelfia	   659
Seelig	   645
Berling	   617
Svenska missionsförb	   616
Fören	   613
Fosterl.-stift	   600
Fosterlandsstift	   564
Svenska bok	   550
Dahlberg	   520
Harrier	   517
Nordiska bokhandel i distr	   505
Raben & Sjögren	   494
Edman	   491
Fram	   490
Fritzes bokf	   480
Chelius	   478
Roman	   477
Lindarna	   474
Svenska andels	   462
Gleerupska universitetsbokhandel	   455
Forum	   436
Centraltr	   429
Arbetarkultur	   428
Albert Bonnier	   423
A.V. Carlson	   418
Lundeqvistska bokhandel	   412
LT	   399
Saxon & Lindström	   390
Folket i bild	   388
Björck & Börjesson	   382
Örebro missionsfören	   381
Framtiden	   378
C.W.K. Gleerup	   373
Wettergren & Coerber	   373
Nordiska	   371
Nils-Georgs musik	   369
Fahlcrantz	   365
Svensk läraretidning	   351
Malmgren	   347
Gehrmans musik	   340
P.A. Norstedt & Söner	   337
Mattsson	   328
Nordiska rotogravyr	   322
Hall	   317
Magnus Bergvall	   316
Koop. förb	   315
Häggström	   306
O. Eklund	   297
Frenckell	   296
Southern Music	   295
utg	   293
Gumpert	   291
Fahlcrantz & Gumälius	   281
Holmqvists boktr	   269
Werner	   269
 tryckeriet	   255
Samson & Wallin	   247
B.-M:s bok	   246
Västra Sverige	   242
Augustana Book Concern	   239
Askerberg	   237
Förb	   237
Flodin	   236
Meden	   236
Keyser	   228
Palmqvist	   216
Fritzes bokhandel	   214
Akademiska bokhandel	   209
Hierta	   209
Wankijff	   207
Fröleen	   199
Radiotjänst	   199
Exp	   197
Evangeliipress	   195
Åhlen & söner	   194
Nationalmuseum	   194
Eklund	   192
Förf:n	   191
Appelberg	   190
Federativ	   188
Adolf Johnson	   186
Nordisk rotogravyr	   185
Norblads bokhandel	   184
Sörlin	   184
Bille	   181
Ed. Sylvain	   181
Meurer	   181
Holmqvist	   180
Nordström	   176
Reuter & Reuter	   175
Lindh	   174
S. Flodin	   174
Beckman	   173
Elander	   173
Idun	   171
Wahlström	   170
Svenska alliansmissionen	   169
Salvius	   168
H. Ohlsson	   164
Nordin & Josephson	   161
I. Häggström	   160
Nordiska musik	   160
Nutiden	   157
Ehlin	   155
Seligmann	   155
Schultz	   154
Gleerupska bokhandel	   153
Univ	   153
Missionsförb	   150
Sveriges kristliga studentrörelse	   150
Kooperativa förb	   149
Svenska allmoge	   148
Utrikespolitiska institutet	   148
Almqvist & Wiksell/Geber	   146
Munksgaard	   146
Edlund	   144
Kooperativa	   141
Otava	   140
Svenska nykterhets	   140
Bohlin	   138
Johnson	   138
Marcus	   138
Horrn	   137
Nordiska museet	   137
Looström & Co	   136
Pingvin	   136
C.E. Fritzes bokf.-a.-b	   135
Pehrsson	   134
Nationaltemplarorden	   133
C.E. Fritzes hofbokhandel	   132
Esselte	   132
Svenska tr.-a.-b	   131
Thule	   131
Wilhelmsson	   130
Gummesson	   129
Kooperativa s bok	   127
Adolf Bonnier	   125
Allhem	   124
K. boktr	   124
Hansson	   123
Lagerström	   122
Ehrling & Lövenholm	   121
Frälsningsarmens högqvarter	   120
Lindfors	   120
Gyldendal	   119
Olofsson Helsing	   119
Reusner	   119
Carlbohm	   118
Vårt hem	   118
Huldberg	   116
Schmidt	   115
