original	polished	Count
Total count: 	581	
[s.n.]	sn	223
[Kungl. tryckeriet]	kungl	156
s.n.	sn	 21
[Kungl. tryckeriet].	kungl	  8
[s.n.].	sn	  7
[N. Wankijf]	n wankijf	  3
Groth & Petré	groth petre	  3
Curt?	curt	  2
Fougt, Kongl. Boktryckare	fougt	  2
Kungl. tryckeriet	kungl	  2
in Anton Ferdinand Rösens Buchh.	anton ferdinand rösens buchh	  2
Petre och Abrahamsson	petre abrahamsson	  2
Tr. hos Carl Delén	carl delen	  2
[s.n]	sn	  2
Apud viduam Henrici Merckell	henrici merckell	  2
Libr. de la viuda e hijo de Quiroga	libr de la viuda e hijo de quiroga	  1
Librería de la viuda é hijos de Quiroga	libreria de la viuda e hijos de quiroga	  1
Apud Petrum Le Petit, Regis typographum ...	petrum le petit regis typographum	  1
tryckt hos Fr. Cederborgh & Comp	fr cederborgh comp	  1
printed for T. Becket and P.A. de Hondt	becket pa de hondt	  1
Wiborg & Comp.	wiborg comp	  1
[S.n.]	sn	  1
s.n.] Anno M. DC. XLVII.	anno m dc xlvii	  1
apud Gerbrandum Schagen	gerbrandum schagen	  1
Kumblinske Tryckeriet	kumblinske	  1
The Society	society	  1
Imprimerie royale, M. DCCXXXVIII.	m dccxxxviii	  1
Kongl. priviligierade nottryckeriet	priviligierade nottryckeriet	  1
Matteo Capcasa (di Codeca)	matteo capcasa di codeca	  1
Ex officina directoris Caroli Gustavi Berling, reg. acad. Carol. typograph	directoris caroli gustavi berling reg carol typograph	  1
tryckt i Kongl. finska boktryckeriet hos Joh. Arv. Carlbomm	finska joh arv carlbomm	  1
[Gjörwell]	gjörwell	  1
[Anders Odel]	anders odel	  1
Carl C. Gjörwell	carl c gjörwell	  1
Tr. hos Nyström och Stolpe	nyström stolpe	  1
Gjörwell, C. C.	gjörwell c c	  1
J.G. Lange	jg lange	  1
Joh. Sam. Ekmanson	joh sam ekmanson	  1
Adolf Rusch, for Anton Koberger at Nuremberg,;Johann Amerbach, for Adolf Rusch and Anton Koberger]	adolf rusch anton koberger nurembergjohann amerbach adolf rusch anton koberger	  1
L'éditeur	lediteur	  1
Finska boktryckeriet,;Nordström	finska boktryckerietnordström	  1
Wennberg & Nordström	wennberg nordström	  1
tryckt uti Kongl. tryckeriet, hos directeuren Pet. Momma.	directeuren pet momma	  1
[Stockholm]	stockholm	  1
[Kungliga tryckeriet]	kungliga	  1
[Boëtius Hagen]	boëtius hagen	  1
Gedruckt bey Johann Brendeken, Königl. Acad. Buchdruckern	johann brendeken buchdruckern	  1
[s.l.]	sl	  1
[Habereger]	habereger	  1
K. Booktr. hos Sahl. Wankijfs Änka	k wankijfs änka	  1
Kongl. Booktr., Wankijffs	wankijffs	  1
Wankijff, Kongl. Booktr.	wankijff	  1
[Georg Richolff]	georg richolff	  1
[Lars Salvius]	lars salvius	  1
Kongl. Tryckeriet, Momma	momma	  1
Kongl. tryckeriet, Momma	momma	  1
Kongl. Slotts-Cancellier	slotts-cancellier	  1
tryckt uti thet Kongl. tryckeriet.	thet	  1
Kongl. tryckeriet, Werner	werner	  1
Kongl. Boktryckeriet, Werner	werner	  1
[kungl. tryckeriet]	kungl	  1
[Kungl. Tryckeriet]	kungl	  1
Kungl. Vetenskapsakademin	kungl vetenskapsakademin	  1
J.C.Frenkell & Filius	jcfrenkell filius	  1
Apud Joh. Fred. Edman	joh fred edman	  1
Manoel António Monteiro	manoel antonio monteiro	  1
In Kommission in der Haly'schen Musikhandlung	kommission haly'schen musikhandlung	  1
P. Sohm aux dépens de J. C. Holmberg	p sohm aux depens de c holmberg	  1
Typis Schultzianis	schultzianis	  1
Harvey & Darton	harvey darton	  1
litteris Joh. Fr. Edman	joh fr edman	  1
printed for Robert Baldwin ... sold also by William Blackwood, Edinburgh, and John Cumming, Dublin	robert baldwin also william blackwood edinburgh john cumming dublin	  1
[B. Trinius]	b trinius	  1
Tryckt hos Henr. Fougt, riddare af kongl. W. o. och kongl. boktryckare	henr fougt riddare w o	  1
Almqvist & Wiksell	almqvist wiksell	  1
hos Palmblad & Co	palmblad co	  1
Litteris Berlingianis	berlingianis	  1
apud Ioann. Ianssonium	ioann ianssonium	  1
Migneret, Desenne	migneret desenne	  1
Em. Bruzelius	em bruzelius	  1
Tryckt uti Kongl. Tryckeriet, Hos Directeuren Pet. Momma.	directeuren pet momma	  1
tryckt hos Johan Fr. Edman	johan fr edman	  1
Palmblad & C.	palmblad c	  1
[Johan Georg Traufold]	johan georg traufold	  1
Delén	delen	  1
Tryckt hos Carl Stolpe	carl stolpe	  1
ex officina Berlingiana	berlingiana	  1
Åbo tidnings och tryckeri	abo tidnings tryckeri	  1
Zeipel och Palmblad	zeipel palmblad	  1
C.J. Holmberg	cj holmberg	  1
Tyis Ludovici Decreaux, directoris officinæ typographicæ Lundensis	tyis ludovici decreaux directoris officinae typographicae lundensis	  1
Tryckt i Frenckellska boktryckeriet	frenckellska	  1
trykt udi det Kongel. Mäysenhuses Bogtrykkerie af G.G. Salikath	udi det kongel mäysenhuses bogtrykkerie gg salikath	  1
J. Hatchard	hatchard	  1
Paa Hofboghandler J. H. Schubothes Forlag, trykt hos Andreas Seidelin.	paa hofboghandler h schubothes forlag andreas seidelin	  1
Printed For J. Johnson, St. Paul's Church-yard	johnson st pauls church-yard	  1
Carlbohm och Frenckell	carlbohm frenckell	  1
Ex officina Mölleri, aulæ typographi.	mölleri aulae typographi	  1
Ex officina Mölleri	mölleri	  1
Joh. Friedr.Hartknoch	joh friedrhartknoch	  1
Sumtibus Bibliopolii Mummiani	bibliopolii mummiani	  1
Typis Ludovici Decreaux	ludovici decreaux	  1
tryckt hos Carl Delén	carl delen	  1
tryckt hos direct. Berling	berling	  1
[Kungl. Vetenskapsakademien]	kungl vetenskapsakademien	  1
W. Fabian Holmgrén	w fabian holmgren	  1
Gotlands läns hushållningssällskap	gotlands hushallningssällskap	  1
R. Aitken & Son	r aitken son	  1
Typis Frenckellianis	frenckellianis	  1
Vetenskapsakademien.	vetenskapsakademien	  1
Joh. Pehr Lundström	joh pehr lundström	  1
typis Frenckellianis.	frenckellianis	  1
Apud Mart. Christoph. Schwechtenium	mart christoph schwechtenium	  1
imprimebat Johannes Vogelius, Academiæ typogr.	johannes vogelius academiae	  1
[Stephan Mölleman]	stephan mölleman	  1
s.n.]	sn	  1
[Daniel Kempe].	daniel kempe	  1
[Petrus Hansson,]	petrus hansson	  1
in officinâ typographicâ imprimebat Johannes Vogelius, Academiæ Typogr.	typographica johannes vogelius academiae	  1
literis Acad	literis	  1
[Henr. Keyser]	henr keyser	  1
Rodwell and Martin	rodwell martin	  1
J. Murray	murray	  1
Wilkie and Robinson	wilkie robinson	  1
printed for J. Johnson ...	johnson	  1
Tryckt hos Lor. Ludv. Grefing ...	lor ludv grefing	  1
Tr.: Marquard	marquard	  1
Norrköpings tidningars AB	norrköpings tidningars	  1
Almqvist and Wiksell/Geber	almqvist wiksell/geber	  1
Almqvist och Wiksell	almqvist wiksell	  1
Almquist and Wiksell	almquist wiksell	  1
Ed. Klincksieck	ed klincksieck	  1
C. Mùller	c muller	  1
tryckt hos Johann Köhler	johann köhler	  1
Joh. Bæckström	joh baeckström	  1
Arborén	arboren	  1
tryckeriet 1757.	tryckeriet	  1
Henric Fougt, 1772. Stora Nygatan, huset n:o 104.	henric fougt stora nygatan huset no	  1
zu bekommen bey Lorentz Ludwig Grefing.	bekommen lorentz ludwig grefing	  1
Tryckt på bokhandlaren P.G. Bornwassers bekostnad	pa bokhandlaren pg bornwassers bekostnad	  1
hos Carl Stolpe. [1771.]	carl stolpe	  1
Antiq. archivi förlag	antiq archivi förlag	  1
Nyström och Stolpe	nyström stolpe	  1
tryckt hso direct. Lars Salvius, 1771.	hso lars salvius	  1
Författaren	Fischerström, Johan (1735-1796)	  1
Henrik A. Nordström	henrik nordström	  1
[Alströmer]	alströmer	  1
tryckt hos Anders Biörkman.	anders biörkman	  1
tryckt hoos Christoff Brendeken, kongl. gymn. boocktr.	christoff brendeken boocktr	  1
Kongl. acad. bokhandeln	bokhandeln	  1
Tryckt hos Lars Salvius	lars salvius	  1
[J.H. Werner]	jh werner	  1
med Joh. L. Horrns, kongl. antiquit archiv. boktr. bekostnad	joh l horrns antiquit archiv bekostnad	  1
Sumptibus & typis Joh. L. Horrn, reg. antiq. archiv. typogr.	joh l horrn reg antiq archiv	  1
Dejrich och Dahlberg	dejrich dahlberg	  1
M. G. Anckarsvärd :;T. Thersner	m anckarsvärd thersner	  1
Tr.: Struck	struck	  1
J.F. Unger	jf unger	  1
Joh. Chr. Krieger	joh chr krieger	  1
