Name	Count
Total count: 	1166
[s.n.]	648
Frälsningsarméns högkvarter	115
Frälsningsarmén	 48
s.n.	 45
Fören. för svensk undervisningshistoria :;Gleerup [distributör]	 21
Industriens upplysningstjänst	 21
Fören. för svensk undervisningshistoria	 18
Folkupplysningsföretaget	 15
Folkupplysningsföretagets förl.	 10
s.n.]	 10
Forsner	  9
[S.n.]	  7
Riksförb. för sexuell upplysning	  7
Folkupplysningsföretagets förlag	  6
Frälsningsarméns studieförb.	  6
Centralförbundet för nykterhetsundervisning	  5
Postverkets undervisningsanstalt	  5
Frälsningsarméns handelsdepartement	  4
Postverkets undervisningsanst	  4
Statens läroboksnämnd	  4
[Fören. Merkantil upplysn.]	  3
Folkhushållningskommissionens upplysningsavdelning	  3
Föreningen för matematisk-naturvetenskaplig undervisning	  3
Korsnäs AB	  3
Malmö stads skolor för yrkesundervisning	  3
Sydsv. Dagbl. Snällposten	  3
[Arbetarskyddsnämnden]	  2
[Barnavårdsnämnden]	  2
[Frälsningsarméns högkvarter]	  2
[s.n]	  2
Byggnadsnämndsförb.	  2
Elektr. svetsnings-ab.	  2
Forsner [Seelig]	  2
I. Forsner	  2
Kassner musik	  2
Kôersners förlagsaktieb	  2
Postverkets undervisningsanstalt i distr.	  2
Samhällsnyttan	  2
Söndagsnisse-Strix	  2
Sv. frälsningsarmén	  2
Sydsv. Dagbladet Snällposten	  2
[Brandstodsnämnden]	  1
[Centralförb. för nykterhetsundervisning]	  1
[Domkyrkans visningskassa i distr.]	  1
[Frälsningsarmén]	  1
[Frälsningsarméns handelsdepartement]	  1
[Hälsovårdsnämnden.]	  1
[Jordbrukets upplysningsnämnd]	  1
[Riksskogstaxeringsnämnden]	  1
[s.n.9	  1
[sn]	  1
[Statens järnvägars undervisningskurser]	  1
[Steneby skola för yrkesundervisning]	  1
[Stockholms stads skolor för yrkesundervisning]	  1
[Th. Laurin]	  1
Aktieägarens upplysningsbyrå :;[Seelig]	  1
Arbetarskyddsnämnden	  1
Byggnadsnämnden	  1
Byrån för tidningsnyheter distr.	  1
Canadas statsjärnvägars upplysningsbyrå	  1
Carl Reissner	  1
Centralförb. för nykterhetsundervisning	  1
Centralförb. för nykterhetsundervisning förl.	  1
Christofer Reusner	  1
D.K.S.N:s förl.	  1
Det norske oplysningskontor	  1
Éditions S.N.E.P.-Illustration	  1
Elektriska svetsnings-AB	  1
Elektriska svetsnings-aktiebolaget	  1
Ersns & Sohn	  1
Fastighetsägarnas upplysningsbyrå	  1
Folkupplysnings-sällskapet	  1
Folkupplysnings-sällskapets förl.	  1
Folkupplysningsföretagets förl.c 1898	  1
Folkupplysningssällskapet	  1
Föreläsningsförbundens riksorganisation	  1
Föreläsningsförbundets riksorganisation	  1
Fören. f. främjande av nykterhetsnämndernas verksamhet	  1
