Name	Count
Total count: 	5026
Sverige	566
Uppland	168
Dalarna	162
Karlskrona	148
Stockholm	133
Sweden	112
Uddevalla	 97
Bohuslän	 62
Finland	 54
Göteborg	 42
Blekinge	 40
Dalarna;Falun	 40
Växjö	 35
Marstrand	 33
Scandinavia	 33
Tyskland	 33
Norrköping	 30
Strömstad	 30
Norrland	 29
Tornedalen	 28
Härnösand	 26
Västerås	 25
Gotland	 24
Lysekil	 22
Norden	 22
Skåne	 21
Denmark	 19
Norway	 19
Danmark	 18
Sölvesborg	 17
Sundsvall	 17
Malmö	 16
Falun	 15
Kalmar	 15
Ryssland	 15
Småland	 15
Västerbotten;Norrland	 15
Egypten	 14
Frankrike	 14
Helsingborg	 14
Norge	 14
Ronneby	 14
Förenta staterna	 13
Jönköping	 13
Sovjetunionen	 13
Värmland	 13
Europa	 12
Skandinavien	 12
Uppsala	 12
Uppsala;Uppland	 12
Gävle	 11
Karlshamn	 11
Lappland;Norrland	 11
Luleå	 11
Östergötland	 11
France	 10
Jämtland;Norrland	 10
Kungälv	 10
Lappland	 10
Mora	 10
Örebro	 10
Falköping	  9
Hagaberg;Jönköpings län	  9
Ljungby	  9
Medelpad	  9
Orsa	  9
Alvesta	  8
Dalarna;Ludvika	  8
Europe	  8
Italien	  8
Kristianstad	  8
Kristinehamn	  8
Lund	  8
Spanien	  8
Åland	  7
Ångermanland	  7
Argentina	  7
Borås	  7
Gästrikland	  7
Great Britain	  7
Greece	  7
Härjedalen;Norrland	  7
Kina	  7
Latinamerika	  7
Öckerö	  7
Storbritannien	  7
Uppvidinge	  7
Visby	  7
Abisko;Kiruna	  6
Afrika	  6
Älmhult	  6
Älvdalen	  6
Dalarna;Borlänge	  6
Eskilstuna	  6
Grekland	  6
Hedemora	  6
Indien	  6
Island	  6
Jämtland	  6
Kiruna	  6
Norrbotten	  6
Orust	  6
Sverige;Sverige	  6
Sydamerika	  6
Vadstena	  6
Ystad	  6
Antarktis	  5
Arjeplog	  5
Backamo	  5
Boden	  5
Dalarna;Rättvik	  5
Delaware	  5
Drottningholm	  5
Estland	  5
Europe, Northern	  5
Germany	  5
Härjedalen	  5
Helsingfors	  5
Hönö	  5
Kvikkjokk	  5
Lidköping	  5
Livonia	  5
Ljungskile	  5
Lyckeby	  5
Malmberget	  5
Norrbotten;Luleå;Stockholm;Norrland	  5
Orust;Tjörn	  5
Rom	  5
Romerska riket	  5
Smögen	  5
Sun	  5
Sundbyberg	  5
Sverige;Dalarna	  5
Sverige;Finland	  5
Trollhättan	  5
Turkiet	  5
Umeå	  5
Västerbotten;Lappland;Norrland	  5
Västergötland	  5
Västernorrlands län	  5
Åbo	  4
Allbo	  4
America	  4
Amerika (kontinent)	  4
Asien	  4
Blekinge;Karlskrona	  4
Bohuslän;Göteborg	  4
Borlänge	  4
Dalarna;Hedemora	  4
Dalarna;Malung	  4
Dalarna;Mora	  4
Dalarna;Orsa	  4
Dalarna;Smedjebacken	  4
Dalsland	  4
Egypten;Sudan	  4
Etiopien	  4
Förenta staterna;Förenta staterna;Sverige	  4
Förenta staterna;Sverige	  4
Gällivare	  4
Grebbestad	  4
Halmstad	  4
Iran	  4
Italy	  4
Japan	  4
Karlshamn;Karlshamn	  4
Koster;Kosteröarna	  4
Lappland (Sverige)	  4
Lessebo	  4
Lettland	  4
Linköping	  4
Mjällby (Blekinge)	  4
Motala	  4
Munkedal	  4
Nasafjäll	  4
Nättraby	  4
Norrland;Västerbottens län	  4
Norsjö	  4
Nya Sverige	  4
Nyköping	  4
Östafrika	  4
Piteå	  4
Polen	  4
Sala	  4
Skellefteå	  4
Skövde	  4
Stockholm;Stockholm	  4
Uppland;Uppland	  4
Västerbotten	  4
Venedig	  4
Abisko nationalpark	  3
Alingsås	  3
Ångermanland;Norrland	  3
Arboga	  3
Argentina;Chile	  3
Augerum	  3
Bohuslän;Göteborg;Bohuslän	  3
Bromma	  3
Bulgarien	  3
Centralamerika	  3
Dalarna;Älvdalen	  3
Dalarna;Avesta	  3
Dalarna;Gagnef	  3
Dalarna;Leksand	  3
Dragsmark	  3
Earth	  3
Ekenäs	  3
England	  3
Estland;Estland	  3
Fagervik;Degerby	  3
Falun;Stora Kopparberget	  3
Finspång	  3
Förenta staterna;Kuba	  3
Gammelstad	  3
Gotland (Sweden)	  3
