Name	Count
Total count: 	45905
Kyrkor	650
Lantbruk	603
Nykterhetsrörelsen	509
Matlagning	390
Betänkande	348
Avdelningshistoriker	338
Historia	314
Samer	280
Ekonomiska förhållanden	259
Husdjur	227
Nationalekonomi	197
Geografi	191
Sverige	178
Hushåll	166
Svenska språket	150
Uppbyggelselitteratur	143
Skogar	136
Skogsbruk	136
Jordbrukslära	135
Pojkar	135
Trädgårdsskötsel	128
Ungsocialistisk utgivning 1895-1934	126
Arkeologi	125
Botanik	125
Vapen	125
Livsmedel	123
Geologi	122
Handel	121
Fjällen	119
Växtodling	119
Konstnärer	115
Fiske	114
Försäkring	111
Bakning	108
Militärhistoria	107
Arbete	104
Folkskolan	103
Järnvägar	102
Bibliotek	101
Åkerbruksväxter	 98
Lantbruksekonomi	 98
Skådespelare	 96
Jordbruk	 94
Flickor	 93
Jakt	 93
Folkbildning	 92
Predikningar	 92
Fackliga organisationer	 88
Kristendom	 88
Reseskildringar	 87
Lärare	 86
Präster	 86
Medelklassen	 85
Engelska språket	 84
Hästar	 83
Arkitektur	 81
Bergsbruk	 81
Etnobotanik	 81
Läroverk	 80
Matematik	 80
Bönder	 79
Sociala skillnader	 77
Konsthantverk	 76
Fattigdom	 74
Företag	 73
Politik	 73
Vattenkraft	 73
Kvinnor	 71
Älvar	 69
Insekter	 68
Kemi	 68
Män	 67
Skolan	 66
Socialism	 66
Sparbanker	 66
Brännvin	 65
birds	 64
Franska resenärer	 64
Kommunism	 64
Kyrkohistoria	 64
Näringsliv	 64
Nötkreatur	 64
Matriklar	 63
Syndikalism	 63
Bibliotekskataloger	 60
Försäkringsföretag	 60
Vattenkraftverk	 60
Almanackor	 59
Hemkonservering	 59
Hushållningssällskap	 59
Naturvetenskap	 59
Resenärer	 59
Spannmål	 59
Arbetare	 58
Biografier	 57
English language	 57
Folkhögskolor	 57
Fotografi	 57
Lantbruksskolor	 57
Slott	 56
Arbetarrörelsen	 55
Idrottsföreningar	 54
Kriminalitet	 54
Militärväsen	 54
Potatis	 54
Teknikhistoria	 53
Alkoholfrågor	 52
Lantbruksundervisning	 52
Soldater	 52
sweden	 52
Trettioåriga kriget 1618-1648	 52
Fysik	 51
Landsbygd	 50
Svensk matlagning	 50
Utställningar	 50
Vildmark	 50
Biografi	 49
Djursjukdomar	 49
Växtgeografi	 49
Idrott	 48
Skolor	 48
Järnvägstrafik	 47
Medicin	 47
Nybyggare	 46
Ortnamn	 46
Ansvar	 45
Arbetsmarknadskonflikter	 45
Brännerier	 45
Eddadiktning	 45
Industriutställningar	 45
Lantbruksbyggnader	 45
Norr – söder	 45
Självbiografier	 45
Skönlitteratur	 45
Andra världskriget 1939-1945	 44
Renar	 44
Ceremonier	 43
Insamlingar	 43
Norr - söder	 43
Pjästexter	 43
Skatter	 43
Teater	 43
Turister	 43
Veterinärmedicin	 43
Elkraft	 42
Vin	 42
Brandförsvar	 41
Floror	 41
Huslig ekonomi	 41
Teknik	 41
Bibliografi	 40
Fattigvård	 40
Indelningsverket	 40
Arbetarklassen	 39
Familjeliv	 39
Lantbruksmaskiner	 39
Lantbruksmöten	 39
Tjänstefolk	 39
Banker	 38
Brittiska resenärer	 38
Fåglar	 38
Medicinalväxter	 38
Rättsfall	 38
Stars	 38
Sweden	 38
Syskon	 38
Jordförbättring	 37
Kooperation	 37
Kulturhistoria	 37
Museer	 37
Skjutvapen	 37
Stad – land	 37
Ungdomar	 37
Drycker	 36
Jordbrukspolitik	 36
Runinskrifter	 36
Döda föräldrar	 35
Rösträtt	 35
Växter	 35
