Name	Count
Total count: 	601
Acta pædiatrica Scandinavica	2
Allmän hälso- och sjukvård	2
Från stad och bygd i Medelpad	2
138-153 = Meddelande från Lunds observatorium	1
99-0444503-6	1
Å & Å-kontakt	1
ÅÅinformation	1
Aarbøger for nordisk oldkyndighed og historie	1
Åbo nya tidningar	1
Acta Academiae Aboensis. Ser. A. Humaniora	1
Acta Academiae Regiae Gustavi Adolphi	1
Acta chirurgica. Supplement	1
Acta neurologica Scandinavica;Acta psychiatrica Scandinavica	1
Acta ophthalmologica Scandinavica	1
Acta Orthopaedica. Supplementum	1
Acta pathologica, microbiologica et immunologica Scandinavica. Section A. Supplement;Acta pathologica, microbiologica et immunologica Scandinavica. Section B. Supplement;Acta pathologica, microbiologica et immunologica Scandinavica. Section C. Supplement	1
Acta physiologica Scandinavica	1
Acta polytechnica Scandinavica	1
Acta Polytechnica Scandinavica, Chemistry Including Metallurgy Series	1
Acta polytechnica Scandinavica. Electrical engineering series	1
Acta polytechnica Scandinavica. Mechanical engineering series	1
Acta polytechnica. Physics including nucleonics series	1
Acta psychiatrica et neurologica Scandinavica	1
Acta psychiatrica et neurologica Scandinavica. Supplementum	1
Acta Regiae Societatis scientiarum et litterarum Gothoburgensis. Botanica;Acta Regiae Societatis scientiarum et litterarum Gothoburgensis. Geophysica;Acta Regiae Societatis scientiarium et litterarum Gothoburgensis. Zoologica	1
Acta Seminarii neotestamentici Upsaliensis	1
Acta Societatis linguisticae Upsaliensis	1
Acta tuberculosea et pneumologica Scandinavica. Supplementum	1
Acta Universitatis Lundensis. Sectio 1. Theologica, juridica, humaniora	1
Acta universitatis Lundensis. Sectio 2, Medica, mathematica, scientiae rerum naturalium	1
Acta Universitatis Upsaliensis	1
Adresskalender över Sveriges skolkommuner	1
AGA-gasetten	1
Aika (Helsingfors, 1906);Valvoja-Aika	1
Aktstycken / utgivna av Kungl. Utrikesdepartementet. Ny serie. I:A;Aktstycken / utgivna av Kungl. Utrikesdepartementet. Ny serie. I:B;Aktstycken / utgivna av Kungl. Utrikesdepartementet. Ny serie. I:C;Aktstycken / utgivna av Kungl. Utrikesdepartementet. Ny serie. I:D;Aktstycken / utgivna av Utrikesdepartementet. Ny serie. I:E;Aktstycken / utgivna av Kungl. Utrikesdepartementet. Ny serie. II	1
Aktuellt från Bonnierföretagen	1
Alingsås församlingsblad	1
Allers mönster-tidning	1
Allmän järnvägsstatistik	1
Allmän järnvägsstatistik;Sveriges järnvägar	1
Allmänna journalen	1
Allmänna sjukkassor	1
Allmänna tidningar	1
Allmänna valen. Del 2, Kommunala valen	1
Almänna tidningar innehållande tillika Svea Rikes annaler	1
American documentation	1
Anglo-Swedish year book	1
Apotekarsocietetens årsberättelse	1
Arbetslösas härold	1
Årbok / Forening til norske fortidsminnesmerkers bevaring	1
Årbok / Universitetets oldsaksamling;Skrifter / Universitetets kulturhistoriske museer	1
Archiv für Urheber- und Medienrecht	1
Arkif för landtmän och trädgårdsodlare	1
Arkiv för botanik	1
Arkiv for matematik, astronomi och fysik	1
Arkiv för zoologi	1
Årsberättelse / Riksföreningen för svenskhetens bevarande i utlandet	1
Årsberättelse om framstegen i kemi	1
Årsbok	1
Årsbok - Kungl. Svenska segelsällskapet	1
Årsbok / Hallands-Göteborgs och Bohus läns jaktvårdsföreningar	1
Årsbok / Kronobergs läns jaktvårdsförening	1
