"","catalog","author","title","town","from","till","publisher"
"1","fennica","Salminen, Väinö","Länsi-Inkerin häärunot","Hull",1917,1917,"Karisto"
"2","fennica","Salminen, Väinö","Länsi-Inkerin häärunot","Hull",1917,1917,"Tekijä"
"3","kungliga","Salminen, Väinö","Länsi-Inkerin häärunot","Hestra",1917,1917,"Bro"
"4","fennica",NA,"Rasputin",NA,1917,1917,"Akseli Kivialho"
"5","fennica",NA,"Rasputin","Wittenberg",1917,1917,"Uurånsåren osuuskauppa"
"6","fennica","Zancka, Herman Theodor Von","Rasputin","Hull",1917,1917,"Akateeminen kirjakauppa, jakaja"
"7","fennica","Vuorela, K","Rasputin",NA,1917,1917,"Akseli Kivialho"
"8","fennica",NA,"Rasputin",NA,1917,1917,"Pietarsåren työväenyhdistys"
"9","kungliga",NA,"Rasputin",NA,1917,1917,""
"10","fennica","Harmaja, Leo","Gööteporin järjestelmä Suomessa","Hull",1907,1907,"s.n"
"11","fennica","Harmaja, Leo","Gööteporin järjestelmä Suomessa","Hull",1907,1907,""
"12","kungliga","Harmaja, Leo","Gööteporin järjestelmä Suomessa","Hernösand öhrling",1907,1907,""
"13","fennica","Johansson, A W","Studier över Ålands klimat med särskild hänsyn till temperaturen","Helsinki",1917,1917,"Hagelberg"
"14","fennica","Johansson, A W","Studier över Ålands klimat med särskild hänsyn till temperaturen","Helsinki",1917,1917,"SONR"
"15","kungliga","Johansson, A W","Studier över Ålands klimat med särskild hänsyn till temperaturen","Helsingsissä",1917,1917,""
"16","fennica","Enckell, Karl","Om arbetsintensiteten å Mustiala eg ... ms åker-cirkulationer åren 1899-1906","Helsinki",1908,1908,""
"17","fennica","Enckell, Karl","Om arbetsintensiteten å Mustiala eg ... ms åker-cirkulationer åren 1899-1906","Helsinki",1908,1908,"Otto Wigand"
"18","kungliga","Enckell, Karl","Om arbetsintensiteten å Mustiala eg ... ms åker-cirkulationer åren 1899-1906","Helsingsissä",1908,1908,"Blacqvood & Sons"
"19","fennica",NA,"Ungdomsrörelsen i svenska Nyland 1889-1914","Helsinki",1915,1915,"s.n"
"20","fennica",NA,"Ungdomsrörelsen i svenska Nyland 1889-1914","Helsinki",1915,1915,"Finlands Svenska Ungdoms"
"21","kungliga",NA,"Ungdomsrörelsen i svenska Nyland 1889-1914","Helsingsissä",1915,1915,""
"22","fennica","D'annunzio, Gabriele","Elden","Helsinki",1901,1901,"s.n"
"23","fennica","D'annunzio, Gabriele","Elden","Helsinki",1901,1901,""
"24","kungliga","D'annunzio, Gabriele","Elden","Stockholm falun uppsala",1901,1901,"Norstedt"
"25","fennica","Oker-blom, Max","Tuberkulosen","Helsinki",1911,1911,"Finska Missionssällskap"
"26","fennica","Oker-blom, Max","Tuberkulosen","Helsinki",1911,1911,"Veckans Krönikas redaktion"
"27","kungliga","Oker-blom, Max","Tuberkulosen","Helsingsissä",1911,1911,""
"28","fennica","Nyström, Maria","Dramatiska stycken","Leipzig",1903,1903,"Kustannusliike Aura"
"29","fennica","Nyström, Maria","Dramatiska stycken","Leipzig",1903,1903,""
"30","kungliga","Nyström, Maria","Dramatiska stycken","Københaven",1903,1903,""
"31","fennica","Helenius-seppälä, Matti","Alkoholförbudet i Ryssland och Finland","Suomussalmi",1915,1915,"Työnjuhlatoimikunta"
"32","fennica","Helenius-seppälä, Matti","Alkoholförbudet i Ryssland och Finland","Suomussalmi",1915,1915,"Elämä osuuskunta"
"33","kungliga","Helenius-seppälä, Matti","Alkoholförbudet i Ryssland och Finland","Stockholm falun uppsala",1915,1915,"Nya"
"34","fennica","Karlsson, Gustaf Calixtus","Några synpunkter att beakta vid ord ... t af kyrkans undervisande verksamhet","New York NY",1900,1900,"s.n"
"35","fennica","Karlsson, Gustaf Calixtus","Några synpunkter att beakta vid ord ... t af kyrkans undervisande verksamhet","New York NY",1900,1900,"Yrjö Weilin"
"36","kungliga","Karlsson, Gustaf Calixtus","Några synpunkter att beakta vid ord ... t af kyrkans undervisande verksamhet","Mexiko",1900,1900,""
"37","fennica","Nylander, John William","Bland frivillige","Helsinki",1898,1898,"Yrjö Weilin"
"38","fennica","Nylander, John William","Bland frivillige","Helsinki",1898,1898,"Vihtori Kosonen"
"39","kungliga","Nylander, John","Bland frivillige","Helsingsissä",1898,1898,""
"40","fennica","Reuter, O M","Nya dikter","Helsinki",1898,1898,"s.n"
"41","fennica","Reuter, O M","Nya dikter","Helsinki",1898,1898,"Helsingfors Stadsfullmäktige"
"42","kungliga","Reuter, Odo Morannal","Nya dikter","Helsingsissä",1898,1898,"Statens historiska museum"
"43","fennica","Mustakallio, Jooseppi","Mitt besök hos konung Kambonde","Helsinki",1900,1900,"Lutherilainen Evankeliumi-yhtiö"
"44","fennica","Mustakallio, Jooseppi","Mitt besök hos konung Kambonde","Helsinki",1900,1900,""
"45","kungliga","Mustakallio, Joos","Mitt besök hos konung Kambonde","Helsingsissä",1900,1900,""
"46","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"Suomalainen Tiedeakatemia"
"47","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"Finska Kyrkohistoriska Samfundet"
"48","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"s.n"
"49","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki",1900,1900,"Kloström"
"50","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki turku",1900,1900,"Lindqvist"
