Published_in	Published_from	Published_till	Count
NA	NA	NA	354274
NA	1723	1791	287
NA	1761	1828	266
NA	1731	1811	202
NA	1730	1815	184
NA	1750	1812	138
NA	1870	1941	128
NA	1772	1834	117
NA	1759	1808	112
NA	1723	1789	108
NA	1904	1967	100
NA	1854	1946	93
NA	1769	1856	87
NA	1754	1821	86
NA	1754	1810	86
NA	1887	1960	85
NA	1755	1821	81
NA	1794	1875	80
NA	1772	1832	79
1795	NA	NA	76
NA	1704	1767	74
NA	1908	1973	74
NA	1895	1974	74
NA	1709	1789	74
NA	1575	1647	72
NA	1908	1983	72
NA	1676	1732	71
NA	1881	1974	70
NA	1698	1768	70
NA	1757	1826	69
NA	1710	1783	69
NA	1904	1997	67
NA	1911	2002	67
NA	1888	1983	67
NA	1682	1753	67
NA	1898	1975	66
NA	1706	1773	66
NA	1922	1976	65
NA	1688	1741	65
NA	1778	1854	65
NA	1764	1850	62
NA	1858	1940	61
NA	1874	1960	61
NA	1866	1928	59
1890	NA	NA	59
NA	1767	1826	58
NA	1901	1997	57
NA	1777	1831	57
NA	1870	1947	56
NA	1894	1973	56
NA	1725	1776	56
NA	1860	1943	55
NA	1892	1979	55
NA	1483	1546	54
NA	1914	1988	53
NA	1729	1790	53
NA	1685	1759	53
NA	1852	1918	52
NA	1763	1844	52
NA	1864	1931	52
NA	1787	1841	51
NA	1761	1812	50
NA	1785	1850	49
NA	1799	1859	49
NA	1912	1967	49
NA	1886	1973	48
NA	1902	1993	48
NA	-1791	-1791	48
NA	1892	1974	47
NA	1901	1988	47
NA	1911	1994	47
NA	1879	1965	46
NA	1887	1970	46
NA	1735	1798	46
NA	1750	1829	46
NA	1772	1830	46
NA	-1769	-1769	45
NA	1755	1824	45
NA	1807	1877	44
NA	1888	1965	44
NA	1764	1833	44
NA	1741	1823	44
NA	1912	2011	44
NA	1747	1822	43
NA	1843	1925	41
NA	1885	1957	41
NA	1882	1953	41
NA	1716	1789	41
NA	1890	1976	41
NA	1851	1938	40
NA	1837	1907	40
NA	1855	1944	40
NA	1910	1992	40
NA	1771	1823	40
NA	1916	1959	39
NA	1824	1912	39
