Corporate_name	Count
NA	376903
Universitetet. Befordringsfrågor (Lund)	158
Sverige.	124
Universitetet.	107
Universitet.	81
Universitet. Befordringsfrågor (Lund)	51
Stockholms högskola.	38
Nationalmuseum	32
Goodtemplarorden.	27
Nordiska museet (Stockholm)	21
Sverige	20
Svenska kyrkan.	19
Universitet (Uppsala)	19
Universitetet. Helsingfors.	19
Stockholms högskola	18
Kungl. biblioteket	18
Universitetsbiblioteket (Uppsala)	17
Svenska Läkaresällskapet	17
Karolinska institutet.	16
Lunds universitet. Befordringsfrågor	16
Utställning 1923. Jubileumsutställningen. Göteborg.	16
Tekniska högskolan (Stockholm)	15
Göteborgs högskola. Befordringsfrågor.	15
Nationernas förbund.	15
Svenska frimurare orden.	14
Folkbiblioteket.	14
Augustanasynoden.	14
Nobelstiftelsen	13
Sockenbiblioteket.	13
Förenta nationerna.	12
Kungl. Vetenskapsakademien	12
Uppsala universitet	11
Kungl. Vitterhets historie och antikvitets akademien	11
Handelshögskolan (Stockholm)	11
Svenska Röda korset	11
Sveriges allmänna Konstförening	11
Svenska Konstnärernas förening	11
Universitetet. Befordringsfrågor. Helsingfors.	11
Församlingsbiblioteket.	11
Svenska kyrkan	11
Riksdagsbiblioteket	10
Uppsala universitet.	10
Stadsfullmäktige (Åbo)	10
Svenska vattenkraftföreningen	10
Stora Kopparbergs bergslags aktiebolag	10
Skansen	10
Malmö museum	10
Universitetet (Lund)	10
Åbo akademi.	9
Svea livgarde	9
Nationaltemplarorden.	9
Bergmästaregården.	9
Bohusläns regemente	9
Nordiska museet	8
Svenska järnvägsmannaförbundets.	8
Uppsala Universitet.	8
Karolinska institutet (Stockholm)	8
Högskola (Stockholm)	8
Lunds universitet.	8
Skånes konstförening	8
Sandvikens jernverk	8
Finland.	8
Skandinaviska museiförbundet	8
Västerbottens regemente	7
Svenska Teknologföreningen	7
Statens historiska museum	7
HSB	7
Föreningen Svenska konstnärinnor	7
Karlskrona grenadjärregemente.	7
Kommunbiblioteket.	7
Finska konstföreningen	7
Kungl. Akademien för de fria konsterna.	7
Förbundet Soldaternas vänner.	6
Svenska järnvägsmannaförbundet.	6
Vattenfallsstyrelsen	6
Svenska pappersindustriarbetareförbundet.	6
Svea trängkår	6
Sveriges utsädesförening (Svalöv)	6
Karlberg. Kungl.Krigsskolan (Stockholm)	6
Karlberg. Kungl. krigsskolan (Stockholm)	6
Samfundet S.H.T.	6
Aktiebolaget Separator	6
Rörstrand	6
Utställningen Bygge och bo.	6
Lucianus	6
Göteborgs högskola.	6
Centralanstalten för försöksväsendet på jordbruksområdet	6
Utställning 1903. Helsingborg.	6
Godtemplarorden.	6
De skandinaviske Brygmesterkurser	6
Nordiska parlamentariska kommittén för friare samfärdsel m. m.	5
Svenska handelsarbetareförbundet.	5
Kalmar nation (Uppsala universitet)	5
Södra skånska infanteriregementet	5
Samfundet S.H.T. (Stockholm)	5
Odd Fellow-orden (Stockholm)	5
Naturhistoriska riksmuseet (Stockholm)	5
Kungliga operan	5
K.F.U.M:s.	5
K.F.U.M. (Malmö)	5
S.H.T.	5
Helsingfors universitet.	5
