orig	mod	comp	total
Bonnier	Bonnier	Bonnier	13633
Boniers	Bonnier		0
Bonner	Bonnier		0
Bonniers	Bonnier	Bonniers	0
Bonnniers	Bonnier		0
Norstedt	Norstedt	Norstedt	6869
Norsted	Norstedt		0
Norsteds	Norstedt		0
Norstedt i	Norstedt		0
Norstedts	Norstedt	Norstedts	0
Kungliga	Kungliga	Kungliga	5331
författare	författare	författare	3834
författare &	författare		0
författaree	författare		0
Wahlström & Widstrand	Wahlström & Widstrand	Wahlström & Widstrand	3240
Wahlströ & Widstrand	Wahlström & Widstrand		0
Wahlström & Widestrand	Wahlström & Widstrand		0
Wahlström & Widstrand 15	Wahlström & Widstrand		0
Wahlström & Widstrand distr	Wahlström & Widstrand		0
Wahlström & Wistrand	Wahlström & Widstrand		0
Wahlströn & Widstrand	Wahlström & Widstrand		0
Wahlstöm & Widstrand	Wahlström & Widstrand		0
Wahltröm & Widstrand	Wahlström & Widstrand		0
Walström & Widstrand	Wahlström & Widstrand		0
Whalström & Widstrand	Wahlström & Widstrand		0
Gleerup	Gleerup	Gleerup	2699
Gleerup 	Gleerup		0
Gleerup?	Gleerup		0
Gleerups	Gleerup	Gleerups	0
Glereup	Gleerup		0
Glerup	Gleerup		0
Glerups	Gleerup		0
Geber	Geber	Geber	2430
Geberg	Geber		0
Gebergs	Geber		0
Gebers	Geber	Gebers	0
Natur & Coultur	Natur & Coultur	Natur & Coultur	2324
Natir & Coultur	Natur & Coultur		0
natur & Coultur	Natur & Coultur		0
Natur & Coultur 	Natur & Coultur		0
Almqvist & Wiksell	Almqvist & Wiksell	Almqvist & Wiksell	2124
Allmqvist & Wiksell	Almqvist & Wiksell		0
Almkvist & Wiksell	Almqvist & Wiksell		0
Almqbist & Wiksell	Almqvist & Wiksell		0
Almquist & Wiksell	Almqvist & Wiksell	Almqvist & Wiksell	0
Almquist and Wiksell	Almqvist & Wiksell		0
Almqvist % Wiksell	Almqvist & Wiksell		0
Almqvist & Wicksell	Almqvist & Wiksell	Almqvist & Wicksell	0
Almqvist & wiksell	Almqvist & Wiksell		0
Almqwist & Wiksell	Almqvist & Wiksell		0
Almqvist & Wiksell 	Almqvist & Wiksell		0
Almqvist & Wiksell distr	Almqvist & Wiksell		0
Almqvist & Wiksells	Almqvist & Wiksell	Almqvist & Wiksells	0
Almqvist & Wiksells bok	Almqvist & Wiksell		0
Almqvist & Wiksells bok-	Almqvist & Wiksell		0
Almqvist & Wikssell	Almqvist & Wiksell		0
Almqvist & Wisells	Almqvist & Wiksell		0
Almqvist 6 Wiksell	Almqvist & Wiksell		0
Alqvist & Wiksell	Almqvist & Wiksell	Alqvist & Wiksell	0
Lindblad	Lindblad	Lindblad	2095
Linbdlad	Lindblad		0
Lindblads	Lindblad	Lindblads	0
Åhlén & Åkerlund	Åhlen & Åkerlund	Åhlen & Åkerlund	2055
Åhl'en & Åkerlund	Åhlen & Åkerlund	Åhl'en & Åkerlund	0
Åhlén & Akerlund	Åhlen & Åkerlund	Åhlen & Akerlund	0
Åhlèn & Åkerlund	Åhlen & Åkerlund		0
Åhlén & Åkerlunds	Åhlen & Åkerlund		0
Åhlén & Åkeslund	Åhlen & Åkerlund		0
B. Wahlström	B. Wahlström	B. Wahlström	1902
B. Wahlströms	B. Wahlström	B. Wahlströms	0
B. Wahlstöm	B. Wahlström		0
Tiden	Tiden	Tiden	1789
Tidens	Tiden	Tidens	0
utgivare	utgivare	utgivare	1480
Diakonistyrelse	Diakonistyrelse	Diakonistyrelse	1443
Diakonstyrelse	Diakonistyrelse		0
Fritze	Fritze	Fritze	1404
Fritze's	Fritze		0
Fritzes	Fritze	Fritzes	0
Nordiska bokhandel	Nordiska bokhandel	Nordiska bokhandel	1338
Nordiska bohandeln	Nordiska bokhandel		0
Nordiska bokhand	Nordiska bokhandel	Nordiska bokhand	0
Nordiska bokhandel 	Nordiska bokhandel	Nordiska bokhandel	0
Nordiska bokhandeln	Nordiska bokhandel	Nordiska bokhandeln	0
Nordiska bokhandeln i	Nordiska bokhandel		0
fosterlands-stiftelse	fosterlands-stiftelse	fosterlands-stiftelse	1153
Fosterlands-stiftelse	fosterlands-stiftelse	Fosterlands-stiftelse	0
fosterlands stiftelse	fosterlands-stiftelse		0
fosterlandsstiftelse	fosterlands-stiftelse		0
Fosterlandsstiftelse	fosterlands-stiftelse	Fosterlandsstiftelse	0
Söderström	Söderström	Söderström	1151
: Söderström	Söderström		0
Söderströms	Söderström		0
Söderstöm	Söderström		0
Södeström	Söderström		0
Hökerberg	Hökerberg	Hökerberg	1137
Hökerbergs	Hökerberg	Hökerbergs	0
Lindqvist	Lindqvist	Lindqvist	1130
Lindkvist	Lindqvist		0
Lindquist	Lindqvist		0
Lindqvists	Lindqvist		0
Ljus	Ljus	Ljus	966
Ljus'	Ljus		0
s.n	s.n	s.n	935
Schildt	Schildt	Schildt	895
Schild	Schildt		0
Schilds	Schildt		0
Schildts	Schildt	Schildts	0
Beijer	Beijer	Beijer	831
Beijers	Beijer	Beijers	0
Bejer	Beijer	Bejer	0
Breijer	Beijer		0
förening	förening	förening	776
sförening	förening	sförening	0
Skoglund	Skoglund	Skoglund	752
Skoglunds	Skoglund	Skoglunds	0
Svenska	Svenska	Svenska	748
Swenska	Svenska		0
Svenska-	Svenska		0
Svenska -	Svenska	Svenska -	0
Svenska .-	Svenska		0
Svenska tr-	Svenska		0
Svenska kyrkans diakonistyrelse	Svenska kyrkans diakonistyrelse	Svenska kyrkans diakonistyrelse	692
Svenska kyrkans diakoniststyrelse	Svenska kyrkans diakonistyrelse		0
Svenska kyrkans diakonistyr.	Svenska kyrkans diakonistyrelse	Svenska kyrkans diakonistyr.	0
Svenska kyrkans diakonistyr:	Svenska kyrkans diakonistyrelse	Svenska kyrkans diakonistyr:	0
Svenska kyrkans Diakonistyrelse	Svenska kyrkans diakonistyrelse		0
Svenska kyrkans diakonistyrelses	Svenska kyrkans diakonistyrelse		0
Svenska kyrkans diakonistyrlese	Svenska kyrkans diakonistyrelse		0
Svenska kyrkans diakonistyörelse	Svenska kyrkans diakonistyrelse		0
Svenska kyrkans diakonostyrelse	Svenska kyrkans diakonistyrelse		0
Svenska kyrkans diakonsityr.	Svenska kyrkans diakonistyrelse		0
Svenska kyrkans diakonstyr:	Svenska kyrkans diakonistyrelse		0
Svenska kyrkans diakonstyrelse	Svenska kyrkans diakonistyrelse		0
Seelig	Seelig	Seelig	664
Selig	Seelig		0
Filadelfia	Filadelfia	Filadelfia	663
Filadefia	Filadelfia		0
Filadelhia	Filadelfia		0
Fildelfia	Filadelfia		0
Svenska missionsförbund	Svenska missionsförbund	Svenska missionsförbund	627
Svenska mission-förb:	Svenska missionsförbund		0
Svenska mission-förbund	Svenska missionsförbund	Svenska mission-förbund	0
Svenska mission förbund	Svenska missionsförbund		0
Svenska missions-förbund	Svenska missionsförbund	Svenska missions-förbund	0
Svenska missions.-förbund	Svenska missionsförbund		0
Svenska missionsförb:	Svenska missionsförbund	Svenska missionsförb:	0
Dahlberg	Dahlberg	Dahlberg	530
Dalberg	Dahlberg		0
Harrier	Harrier	Harrier	518
Harriers	Harrier	Harriers	0
Harries	Harrier		0
Fram	Fram	Fram	490
Frams	Fram		0
Centraltr	Centraltr	Centraltr	489
Cental	Centraltr		0
Central	Centraltr	Central	0
Central-	Centraltr	Central-	0
Central-tr	Centraltr	Central-tr	0
Chelius	Chelius	Chelius	478
Roman	Roman	Roman	477
Lindarna	Lindarna	Lindarna	474
kooperativa förbund	kooperativa förbund	kooperativa förbund	468
Kooperat. förbund	kooperativa förbund		0
kooperativa förb:	kooperativa förbund		0
Kooperativa förb:	kooperativa förbund	Kooperativa förb:	0
Kooperativa förbund	kooperativa förbund	Kooperativa förbund	0
kooperativaförbund	kooperativa förbund		0
Kooprativa förbund	kooperativa förbund		0
Kopperativa förbund	kooperativa förbund		0
Svenska andels	Svenska andels	Svenska andels	460
Svenska andelse	Svenska andels		0
Svenska andes	Svenska andels		0
Svenska handels	Svenska andels		0
Gleerupska universitetsbokhandel	Gleerupska universitetsbokhandel	Gleerupska universitetsbokhandel	453
Gleerupska universitets bokhandel	Gleerupska universitetsbokhandel	Gleerupska universitets bokhandel	0
Gleerupska universitets bokhandeln	Gleerupska universitetsbokhandel		0
Gleerupska universitetsbok	Gleerupska universitetsbokhandel		0
Gleerupska universitetsbokhandel, i	Gleerupska universitetsbokhandel		0
Gleerupska universitetsbokhandel?	Gleerupska universitetsbokhandel		0
Gleerupska universitetsbokhandeln	Gleerupska universitetsbokhandel	Gleerupska universitetsbokhandeln	0
Rén & Sjögren	Ren & Sjögren	Ren & Sjögren	443
R'en & Sjögren	Ren & Sjögren		0
Rén & Sjogren	Ren & Sjögren		0
Rén & Sjögren, Vi	Ren & Sjögren		0
Rén & Sjögren/Vi	Ren & Sjögren	Ren & Sjögren/Vi	0
Forum	Forum	Forum	437
A.V. Carlson	A.V. Carlson	A.V. Carlson	433
A.V. Carlson-	A.V. Carlson		0
A.V. Carlsons-	A.V. Carlson		0
A.V. Carlsons -	A.V. Carlson		0
A.V. Carlsson	A.V. Carlson	A.V. Carlsson	0
A.V. Carlsson-	A.V. Carlson		0
Holmquist	Holmqvist	Holmqvist	433
Holmquist.	Holmqvist		0
Holmquists	Holmqvist		0
Holmqvists	Holmqvist		0
Arbetarkultur	Arbetarkultur	Arbetarkultur	431
Nordiska	Nordiska	Nordiska	424
Nordisk	Nordiska	Nordisk	0
Nordiska -	Nordiska	Nordiska -	0
Nordiska s-	Nordiska		0
Nordiske	Nordiska	Nordiske	0
Folket i bild	Folket i bild	Folket i bild	390
Folket i Bild	Folket i bild	Folket i Bild	0
