"","catalog","author","title","town","from","till","publisher"
"1","fennica","Salminen, Väinö","Länsi-Inkerin häärunot","Hull",1917,1917,"Karisto"
"2","fennica","Salminen, Väinö","Länsi-Inkerin häärunot","Hull",1917,1917,"Tekijä"
"3","kungliga","Salminen, Väinö","Länsi-Inkerin häärunot","Hestra",1917,1917,"Bro"
"4","fennica","Harmaja, Leo","Gööteporin järjestelmä Suomessa","Hull",1907,1907,"s.n"
"5","fennica","Harmaja, Leo","Gööteporin järjestelmä Suomessa","Hull",1907,1907,""
"6","kungliga","Harmaja, Leo","Gööteporin järjestelmä Suomessa","Hernösand öhrling",1907,1907,""
"7","fennica","Johansson, A W","Studier över Ålands klimat med särskild hänsyn till temperaturen","Helsinki",1917,1917,"Hagelberg"
"8","fennica","Johansson, A W","Studier över Ålands klimat med särskild hänsyn till temperaturen","Helsinki",1917,1917,"SONR"
"9","kungliga","Johansson, A W","Studier över Ålands klimat med särskild hänsyn till temperaturen","Helsingsissä",1917,1917,""
"10","fennica","Enckell, Karl","Om arbetsintensiteten å Mustiala eg ... ms åker-cirkulationer åren 1899-1906","Helsinki",1908,1908,""
"11","fennica","Enckell, Karl","Om arbetsintensiteten å Mustiala eg ... ms åker-cirkulationer åren 1899-1906","Helsinki",1908,1908,"Otto Wigand"
"12","kungliga","Enckell, Karl","Om arbetsintensiteten å Mustiala eg ... ms åker-cirkulationer åren 1899-1906","Helsingsissä",1908,1908,"Blacqvood & Sons"
"13","fennica","D'annunzio, Gabriele","Elden","Helsinki",1901,1901,"s.n"
"14","fennica","D'annunzio, Gabriele","Elden","Helsinki",1901,1901,""
"15","kungliga","D'annunzio, Gabriele","Elden","Stockholm falun uppsala",1901,1901,"Norstedt"
"16","fennica","Oker-blom, Max","Tuberkulosen","Helsinki",1911,1911,"Finska Missionssällskap"
"17","fennica","Oker-blom, Max","Tuberkulosen","Helsinki",1911,1911,"Veckans Krönikas redaktion"
"18","kungliga","Oker-blom, Max","Tuberkulosen","Helsingsissä",1911,1911,""
"19","fennica","Nyström, Maria","Dramatiska stycken","Leipzig",1903,1903,"Kustannusliike Aura"
"20","fennica","Nyström, Maria","Dramatiska stycken","Leipzig",1903,1903,""
"21","kungliga","Nyström, Maria","Dramatiska stycken","Københaven",1903,1903,""
"22","fennica","Helenius-seppälä, Matti","Alkoholförbudet i Ryssland och Finland","Suomussalmi",1915,1915,"Työnjuhlatoimikunta"
"23","fennica","Helenius-seppälä, Matti","Alkoholförbudet i Ryssland och Finland","Suomussalmi",1915,1915,"Elämä osuuskunta"
"24","kungliga","Helenius-seppälä, Matti","Alkoholförbudet i Ryssland och Finland","Stockholm falun uppsala",1915,1915,"Nya"
"25","fennica","Karlsson, Gustaf Calixtus","Några synpunkter att beakta vid ord ... t af kyrkans undervisande verksamhet","New York NY",1900,1900,"s.n"
"26","fennica","Karlsson, Gustaf Calixtus","Några synpunkter att beakta vid ord ... t af kyrkans undervisande verksamhet","New York NY",1900,1900,"Yrjö Weilin"
"27","kungliga","Karlsson, Gustaf Calixtus","Några synpunkter att beakta vid ord ... t af kyrkans undervisande verksamhet","Mexiko",1900,1900,""
"28","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"Suomalainen Tiedeakatemia"
"29","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"Finska Kyrkohistoriska Samfundet"
"30","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"s.n"
"31","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki",1900,1900,"Kloström"
"32","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki turku",1900,1900,"Lindqvist"
"33","fennica","Heikel, Ivar A","Lagar, skatter och herrar","Helsinki",1899,1899,"Huvudstadsblad'in kirjapaino"
"34","fennica","Heikel, Ivar A","Lagar, skatter och herrar","Helsinki",1899,1899,"A.B. Ljus"
"35","kungliga","Heikel, Ivar A","Lagar, skatter och herrar","Helsingsissä",1899,1899,""
"36","fennica","Topelius, Zacharias","Gamla baron på Rautakylä","Helsinki",1897,1897,"sällskap för Finlands geografi"
"37","fennica","Topelius, Zacharias","Gamla baron på Rautakylä","Helsinki",1897,1897,""
"38","kungliga","Topelius, Zacharias","Gamla baron på Rautakylä","Helsingsissä",1897,1897,"Beijer"
"39","fennica","Runeberg, Johan Ludvig","Lyyrillisiä runoelmia","Stockholm",1885,1885,"Hjelt"
"40","fennica","Runeberg, Johan Ludvig","Lyyrillisiä runoelmia","Stockholm",1885,1885,""
"41","kungliga","Runeberg, Johan Ludvig","Lyyrillisiä runoelmia","Princeton newyork",1885,1885,"Lindqvist"
"42","fennica","Meurman, Agathon","Finland förr och nu","Helsinki",1890,1890,""
"43","fennica","Meurman, Agathon","Finland förr och nu","Helsinki",1890,1890,"Suomalaisen Kirjallisuuden Seura"
"44","kungliga","Meurman, Agathon","Finland förr och nu","Helsingsissä",1890,1890,""
"45","fennica","Weikkolin, Ida","'Resan från Finland till Afrika'","Helsinki",1888,1888,"Tytty Lagerstedt"
"46","fennica","Weikkolin, Ida","'Resan från Finland till Afrika'","Helsinki",1888,1888,"Helios"
"47","kungliga","Weikkolin, Ida","'Resan från Finland till Afrika'","Helsingsissä",1888,1888,""
"48","fennica","Allardt, Anders","En framtidsman","Laihia",1888,1888,"Bertrand"
"49","fennica","Allardt, Anders","En framtidsman","Laihia",1888,1888,"J. Cedervaller & Son"
