"","catalog","author","title","town","from","till","publisher"
"1","fennica","Chydenius, Anders","Pyhän Ramatun doctorin",NA,1786,1786,"S.n"
"2","fennica","Chydenius, Anders","Pyhän Ramatun doctorin",NA,1786,1786,"Londicer, Georg Wilhelm"
"3","fennica","Chydenius, Anders","Tal, hållit på afrättsplasen [sic] i Kronoby",NA,1786,1786,"Londicer, Georg Wilhelm"
"4","kungliga","Chydenius, Anders","Tal, hållit på afrättsplasen [!] i  ... ggos och steglades den 12 april 1786","å nyo uplagt gefle ernst peter sundqvist",1786,1786,""
"5","fennica","Maupertuis, Pierre Louis Moreau De","La figure de la terre, de´termine´e ... cercle polaire. Par M. de Maupertuis","Paris",1738,1738,"Imprimerie royale"
"6","fennica","Maupertuis, Pierre Louis Moreau De","La figure de la terre, determine´e  ... cercle polaire. Par M. de Maupertuis","Amsterdam",1738,1738,"Catuffe, Jean"
"7","fennica","Maupertuis, Pierre Louis Moreau De","Jordens figur, upfunnen af herrar d ... e Maupertuis. Öfversat af fransyskan","Suomussalmi",1738,1738,"Horrn, Johan Laurentius I"
"8","fennica","Maupertuis, Pierre Louis Moreau De","La figure de la terre, determine´e  ... s par ordre du roy au cercle polaire","Paris",1738,1738,"Chez de Bure l'ai^ne´ libraire, Quai des Augustins"
"9","fennica","Maupertuis, Pierre Louis Moreau De","La figure de la terre, determine´e  ... s par ordre du roi au cercle polaire","Amsterdam",1738,1738,"de l'Imprimerie royale"
"10","fennica","Maupertuis, Pierre Louis Moreau De","The figure of the earth, determined ... ius, professor of astronomy at Upsal","Montpellier",1738,1738,"chez Jean Catuffe"
"11","fennica","Maupertuis, Pierre Louis Moreau De","Jordens figur, upfunnen af herrar d ... a pol-cirkelen, giorda observationer","Suomussalmi",1738,1738,"T. Cox"
"12","fennica","Maupertuis, Pierre Louis Moreau De","The figure of the earth, determined ... ius, professor of astronomy at Upsal","Montpellier",1738,1738,"Anders J. Nordström"
"13","kungliga","Maupertuis, Pierre Louis Moreau De","Jordens figur, upfunnen af herrar d ...  Celsius, kongl. astron. professor i","Stockholm falun uppsala",1738,1738,""
"14","kungliga","Maupertuis, Pierre Louis Moreau De","Anecdotes physiques et morales",NA,1738,1738,""
"15","kungliga","Maupertuis, Pierre Louis Moreau De","The figure of the earth, determined ...  from the French of M. de Maupertuis","Leiden",1738,1738,""
"16","kungliga","Maupertuis, Pierre Louis Moreau De","La figure de la terre","Pforzheim verlag von dennig finck co",1738,1738,"Nycander"
"17","fennica","Salminen, Väinö","Länsi-Inkerin häärunot","Hull",1917,1917,"Karisto"
"18","fennica","Salminen, Väinö","Länsi-Inkerin häärunot","Hull",1917,1917,"Tekijä"
"19","kungliga","Salminen, Väinö","Länsi-Inkerin häärunot","Hestra",1917,1917,"Bro"
"20","fennica","Heikinheimo, Olli","Kaskiviljelyksen vaikutus Suomen metsiin","Hull",1915,1915,"Tekijä"
"21","fennica","Heikinheimo, Olli","Kaskiviljelyksen vaikutus Suomen metsiin","Hull",1915,1915,""
"22","fennica","Heikinheimo, Olli","Einige Beobachtungen u¨ber die Aufa ... itung und Verwahrung des Brennholzes","Helsinki",1915,1915,"C.J. Wikberg"
"23","fennica","Heikinheimo, Olli","Kaskiviljelyksen vaikutus Suomen metsiin","Hinnerjoki",1915,1915,"s.n"
"24","kungliga","Heikinheimo, Olli","Kasiviljelyksen vaikutus Suomen metsiin","Hestra",1915,1915,""
"25","fennica","Soininen, Mikael","Kansakoulun jatko-opetuksen uudistus","Hull",1911,1911,"Otava"
"26","fennica","Soininen, Mikael","Lyhyt kasvatus- ja opetusoppi","Hull",1911,1911,"Otava"
"27","fennica","Soininen, Mikael",NA,"Hull",1911,1911,"Otava"
"28","fennica","Soininen, Mikael","Historian oppikirja","Hull",1911,1911,"Otava"
"29","fennica","Soininen, Mikael","Historian oppikirja","Hull",1911,1911,"Beijer"
"30","fennica","Soininen, Mikael","Allmän pedagogik","Helsinki",1911,1911,""
"31","kungliga","Soininen, Mikael","Allmän pedagogik","Helsingsissä",1911,1911,"Götatr"
"32","fennica","Harmaja, Leo","Gööteporin järjestelmä Suomessa","Hull",1907,1907,"s.n"
"33","fennica","Harmaja, Leo","Gööteporin järjestelmä Suomessa","Hull",1907,1907,""
"34","kungliga","Harmaja, Leo","Gööteporin järjestelmä Suomessa","Hernösand öhrling",1907,1907,""
"35","fennica","Ingersoll, Robert","Luentoja","Hamburg",1907,1907,"Omalla kustannuksella"
"36","fennica","Ingersoll, Robert","Ajatuksen vapaus miehille, naisille ja lapsille","Stockholm",1907,1907,""
"37","fennica","Ingersoll, Robert","Ingersollin vastauksia papeille","Hamburg",1907,1907,"Väinämöisen kirjakauppa"
"38","fennica","Ingersoll, Robert","Luentoja","Hamburg",1907,1907,"Väinämöisen kirjakauppa"
"39","fennica","Ingersoll, Robert","Miten ihmiskunta on parannettava","Helsingborg",1907,1907,"Suomalaisen puolueen kanslia"
"40","fennica","Ingersoll, Robert","Mitä meidän pitää tekemän tullaksemme pelastetuiksi?","Hamburg",1907,1907,"Väinämöisen kirjakauppa"
"41","fennica","Ingersoll, Robert","Mitä on uskonto?","Stockholm",1907,1907,""
"42","fennica","Ingersoll, Robert","Mooseksen erehdyksiä","Hamburg",1907,1907,"Christian Evangeliska Barck"
"43","fennica","Ingersoll, Robert","Oikeoppinen kirkko","Chicago IL",1907,1907,"Huvudstadsblad'in kirjapaino"
"44","fennica","Ingersoll, Robert","Oikeaoppisuus","Hamburg",1907,1907,"Väinämöisen kirjakauppa"
