rejected_publication_place	Count
NA	7973
S.l.	1991
[S.l.]	493
[s.l.]	251
[S.l.	12
[S. l.]	11
[s.l]	11
[s. l.]	10
s.l.	9
S. l.	5
[S.l]	5
[S.l.] [s.n.]	3
[s.l.] : [s.n.]	3
[s.l.	2
S.L.	2
[S.n.] [s.l.]	2
S.l	2
s.l	1
1962-65 (0; 1-12)	1
1921	1
[s.l.] [s.n.] 1767	1
1873 [1-8]	1
[S.l.] [s.n] 1735.	1
1831-????	1
1928-1930	1
[-]	1
Tryckt aff Georg Hantsch, Kongl: Booktr.	1
1843-[1---]	1
[s.n.]	1
567 s.	1
[s.l.] [s.n] 1734.	1
'[s.l]'	1
[S.l., s.n.]	1
1919	1
260a	1
1760	1
[S.l.], [S.n.]	1
I	1
S. impr.	1
[s.l.] , [s.n.]	1
[S. impr.]	1
By	1
[1911]	1
[1905]	1
[1904]	1
[.S.l.]	1
[S:l.]	1
[S.n.]	1
[S.l.].	1
