Published_in	Published_from	Published_till	Count
NA	NA	NA	15950
1955	NA	NA	5176
1954	NA	NA	4766
1949	NA	NA	4764
1946	NA	NA	4749
1950	NA	NA	4632
1948	NA	NA	4632
1945	NA	NA	4571
1947	NA	NA	4557
1953	NA	NA	4374
1952	NA	NA	4331
1944	NA	NA	4259
1951	NA	NA	4208
1935	NA	NA	4059
1937	NA	NA	3984
1943	NA	NA	3859
1934	NA	NA	3844
1936	NA	NA	3842
1938	NA	NA	3820
1942	NA	NA	3813
1939	NA	NA	3777
1930	NA	NA	3610
1918	NA	NA	3564
1933	NA	NA	3539
1941	NA	NA	3538
1924	NA	NA	3477
1917	NA	NA	3465
1928	NA	NA	3461
1929	NA	NA	3425
1925	NA	NA	3421
1926	NA	NA	3414
1927	NA	NA	3383
1912	NA	NA	3368
1931	NA	NA	3339
1916	NA	NA	3328
1932	NA	NA	3297
1923	NA	NA	3240
1914	NA	NA	3141
1915	NA	NA	3122
1940	NA	NA	3097
1920	NA	NA	3094
1919	NA	NA	3075
1913	NA	NA	3034
1922	NA	NA	3002
1911	NA	NA	2900
1910	NA	NA	2899
1921	NA	NA	2860
1908	NA	NA	2585
1907	NA	NA	2542
1909	NA	NA	2488
1906	NA	NA	2288
1905	NA	NA	2057
1901	NA	NA	2014
1900	NA	NA	1925
1902	NA	NA	1912
1904	NA	NA	1869
1903	NA	NA	1841
1897	NA	NA	1389
1898	NA	NA	1352
1895	NA	NA	1301
1896	NA	NA	1296
1829	NA	NA	1292
1899	NA	NA	1289
1815	NA	NA	1242
1893	NA	NA	1233
1894	NA	NA	1214
1818	NA	NA	1188
1890	NA	NA	1183
1892	NA	NA	1183
1771	NA	NA	1171
1891	NA	NA	1164
1828	NA	NA	1139
1772	NA	NA	1107
1769	NA	NA	1096
1827	NA	NA	1091
1889	NA	NA	1057
1826	NA	NA	1025
1810	NA	NA	1013
1823	NA	NA	989
NA	1912	1912	986
1887	NA	NA	983
1819	NA	NA	976
1888	NA	NA	959
1820	NA	NA	955
1817	NA	NA	951
1813	NA	NA	949
1824	NA	NA	938
1809	NA	NA	895
1812	NA	NA	894
NA	1914	1914	872
1885	NA	NA	869
1814	NA	NA	860
1886	NA	NA	858
1822	NA	NA	852
1816	NA	NA	851
1882	NA	NA	851
NA	1915	1915	851
NA	1955	1955	850
NA	1913	1913	843
1883	NA	NA	839
1821	NA	NA	832
1884	NA	NA	831
1825	NA	NA	829
NA	1908	1908	829
1800	NA	NA	804
1880	NA	NA	803
NA	1917	1917	792
NA	1910	1910	791
1770	NA	NA	769
NA	1911	1911	759
NA	1916	1916	757
NA	1931	1931	747
1881	NA	NA	745
NA	1907	1907	744
NA	1952	1952	743
NA	1905	1905	740
1807	NA	NA	734
NA	1938	1938	730
1877	NA	NA	727
NA	1902	1902	724
NA	1909	1909	724
1806	NA	NA	723
1811	NA	NA	717
NA	1934	1934	716
1808	NA	NA	716
NA	1936	1936	712
NA	1904	1904	703
NA	1901	1901	703
NA	1906	1906	701
1878	NA	NA	696
NA	1918	1918	695
NA	1932	1932	691
1766	NA	NA	685
NA	1903	1903	684
NA	1954	1954	683
1799	NA	NA	681
NA	1930	1930	676
1801	NA	NA	673
1802	NA	NA	661
1879	NA	NA	659
NA	1920	1920	659
NA	1933	1933	653
NA	1923	1923	647
1792	NA	NA	645
NA	1935	1935	643
1876	NA	NA	642
NA	1937	1937	642
NA	1953	1953	630
NA	1900	1900	627
1872	NA	NA	625
NA	1945	1945	622
NA	1928	1928	618
NA	1943	1943	617
1875	NA	NA	617
1798	NA	NA	617
NA	1951	1951	615
1869	NA	NA	609
NA	1919	1919	607
1765	NA	NA	598
NA	1944	1944	598
NA	1927	1927	585
1768	NA	NA	585
1870	NA	NA	581
NA	1949	1949	581
NA	1929	1929	580
1804	NA	NA	578
NA	1946	1946	578
NA	1924	1924	577
1803	NA	NA	573
1874	NA	NA	571
1790	NA	NA	568
NA	1925	1925	567
1773	NA	NA	565
1805	NA	NA	565
1868	NA	NA	563
NA	1950	1950	561
NA	1926	1926	558
NA	1921	1921	557
NA	1922	1922	555
1793	NA	NA	550
1873	NA	NA	544
1788	NA	NA	544
1789	NA	NA	543
1832	NA	NA	541
1786	NA	NA	538
1797	NA	NA	536
1866	NA	NA	535
NA	1939	1939	533
1871	NA	NA	531
1767	NA	NA	528
1796	NA	NA	522
NA	1948	1948	522
NA	1942	1942	522
1865	NA	NA	510
1831	NA	NA	509
1833	NA	NA	502
1830	NA	NA	501
1795	NA	NA	501
1867	NA	NA	501
1774	NA	NA	499
1860	NA	NA	498
1794	NA	NA	498
NA	1941	1941	497
1756	NA	NA	495
1778	NA	NA	494
NA	1947	1947	489
1787	NA	NA	480
1791	NA	NA	475
1863	NA	NA	467
1782	NA	NA	461
1857	NA	NA	457
1851	NA	NA	453
1762	NA	NA	450
1844	NA	NA	444
1781	NA	NA	442
1862	NA	NA	437
1751	NA	NA	436
1861	NA	NA	435
1856	NA	NA	431
1864	NA	NA	425
1859	NA	NA	423
1785	NA	NA	418
1775	NA	NA	416
1776	NA	NA	416
1780	NA	NA	414
1779	NA	NA	410
NA	1897	1897	407
1843	NA	NA	405
1784	NA	NA	403
1761	NA	NA	402
1757	NA	NA	401
1847	NA	NA	395
1741	NA	NA	393
1852	NA	NA	391
1845	NA	NA	390
1840	NA	NA	389
NA	1898	1898	388
1854	NA	NA	386
1855	NA	NA	384
1748	NA	NA	383
1760	NA	NA	379
1783	NA	NA	372
1848	NA	NA	370
1846	NA	NA	370
1853	NA	NA	369
1777	NA	NA	367
NA	1899	1899	363
1849	NA	NA	362
1759	NA	NA	362
NA	1940	1940	359
1858	NA	NA	354
1758	NA	NA	354
1841	NA	NA	353
1746	NA	NA	350
1842	NA	NA	348
1743	NA	NA	347
1747	NA	NA	339
1763	NA	NA	338
NA	1896	1896	338
1850	NA	NA	335
NA	1894	1894	335
1834	NA	NA	331
1839	NA	NA	329
1752	NA	NA	329
NA	1895	1895	329
NA	1892	1892	328
1764	NA	NA	327
1742	NA	NA	324
1749	NA	NA	321
1745	NA	NA	310
1755	NA	NA	308
1838	NA	NA	304
NA	1891	1891	303
NA	1893	1893	301
NA	1890	1890	295
1744	NA	NA	290
1739	NA	NA	284
1720	NA	NA	278
1836	NA	NA	273
1754	NA	NA	273
1753	NA	NA	273
1750	NA	NA	270
NA	1888	1888	263
NA	1889	1889	259
1837	NA	NA	253
NA	1885	1885	248
1731	NA	NA	233
1835	NA	NA	231
NA	1886	1886	225
1738	NA	NA	225
1740	NA	NA	225
1719	NA	NA	223
1734	NA	NA	212
NA	1883	1883	211
NA	1887	1887	209
NA	1884	1884	208
1700	NA	NA	207
1701	NA	NA	203
1718	NA	NA	199
NA	1881	1881	199
NA	1875	1875	194
NA	1882	1882	190
1727	NA	NA	188
1735	NA	NA	186
1723	NA	NA	174
1736	NA	NA	173
NA	1876	1876	173
NA	1879	1879	170
1714	NA	NA	169
1732	NA	NA	169
1728	NA	NA	168
NA	1880	1880	165
1733	NA	NA	164
NA	1871	1871	164
1730	NA	NA	163
1722	NA	NA	163
1715	NA	NA	158
NA	1872	1872	158
1717	NA	NA	156
1710	NA	NA	155
1716	NA	NA	155
NA	1878	1878	154
1737	NA	NA	152
1726	NA	NA	151
NA	1856	1856	151
1706	NA	NA	148
1724	NA	NA	146
1721	NA	NA	142
1696	NA	NA	142
NA	1862	1862	141
1729	NA	NA	140
1702	NA	NA	140
1703	NA	NA	140
NA	1874	1874	140
NA	1859	1859	139
NA	1865	1865	138
NA	1877	1877	137
1708	NA	NA	136
1725	NA	NA	136
NA	1864	1864	134
NA	1873	1873	134
NA	1861	1861	132
NA	1869	1869	131
NA	1863	1863	130
