original_publisher	modified_publisher
Boniers	Bonnier
Bonner	Bonnier
Bonniers	Bonnier
Bonnniers	Bonnier
Norsted	Norstedt
Norsteds	Norstedt
Norstedt i	Norstedt
Norstedts	Norstedt
författare &	författare
författaree	författare
Wahlströ & Widstrand	Wahlström & Widstrand
Wahlström & Widestrand	Wahlström & Widstrand
Wahlström & Widstrand 15	Wahlström & Widstrand
Wahlström & Widstrand distr	Wahlström & Widstrand
Wahlström & Wistrand	Wahlström & Widstrand
Wahlströn & Widstrand	Wahlström & Widstrand
Wahlstöm & Widstrand	Wahlström & Widstrand
Wahltröm & Widstrand	Wahlström & Widstrand
Walström & Widstrand	Wahlström & Widstrand
Whalström & Widstrand	Wahlström & Widstrand
Gleerup 	Gleerup
Gleerup?	Gleerup
Gleerups	Gleerup
Glereup	Gleerup
Glerup	Gleerup
Glerups	Gleerup
Geberg	Geber
Gebergs	Geber
Gebers	Geber
Natir & Coultur	Natur & Coultur
natur & Coultur	Natur & Coultur
Natur & Coultur 	Natur & Coultur
Allmqvist & Wiksell	Almqvist & Wiksell
Almkvist & Wiksell	Almqvist & Wiksell
Almqbist & Wiksell	Almqvist & Wiksell
Almquist & Wiksell	Almqvist & Wiksell
Almquist and Wiksell	Almqvist & Wiksell
Almqvist % Wiksell	Almqvist & Wiksell
Almqvist & Wicksell	Almqvist & Wiksell
Almqvist & wiksell	Almqvist & Wiksell
Almqwist & Wiksell	Almqvist & Wiksell
Almqvist & Wiksell 	Almqvist & Wiksell
Almqvist & Wiksell distr	Almqvist & Wiksell
Almqvist & Wiksells	Almqvist & Wiksell
Almqvist & Wiksells bok	Almqvist & Wiksell
Almqvist & Wiksells bok-	Almqvist & Wiksell
Almqvist & Wikssell	Almqvist & Wiksell
Almqvist & Wisells	Almqvist & Wiksell
Almqvist 6 Wiksell	Almqvist & Wiksell
Alqvist & Wiksell	Almqvist & Wiksell
Linbdlad	Lindblad
Lindblads	Lindblad
Åhlén & Åkerlund	Åhlen & Åkerlund
Åhl'en & Åkerlund	Åhlen & Åkerlund
Åhlén & Akerlund	Åhlen & Åkerlund
Åhlèn & Åkerlund	Åhlen & Åkerlund
Åhlén & Åkerlunds	Åhlen & Åkerlund
Åhlén & Åkeslund	Åhlen & Åkerlund
B. Wahlströms	B. Wahlström
B. Wahlstöm	B. Wahlström
Tidens	Tiden
Diakonstyrelse	Diakonistyrelse
Fritze's	Fritze
Fritzes	Fritze
Nordiska bohandeln	Nordiska bokhandel
Nordiska bokhand	Nordiska bokhandel
Nordiska bokhandel 	Nordiska bokhandel
Nordiska bokhandeln	Nordiska bokhandel
Nordiska bokhandeln i	Nordiska bokhandel
Fosterlands-stiftelse	fosterlands-stiftelse
fosterlands stiftelse	fosterlands-stiftelse
fosterlandsstiftelse	fosterlands-stiftelse
Fosterlandsstiftelse	fosterlands-stiftelse
: Söderström	Söderström
Söderströms	Söderström
Söderstöm	Söderström
Södeström	Söderström
Hökerbergs	Hökerberg
Lindkvist	Lindqvist
Lindquist	Lindqvist
Lindqvists	Lindqvist
Ljus'	Ljus
Schild	Schildt
Schilds	Schildt
Schildts	Schildt
Beijers	Beijer
Bejer	Beijer
Breijer	Beijer
sförening	förening
Skoglunds	Skoglund
Swenska	Svenska
Svenska-	Svenska
Svenska -	Svenska
Svenska .-	Svenska
Svenska tr-	Svenska
Svenska kyrkans diakoniststyrelse	Svenska kyrkans diakonistyrelse
Svenska kyrkans diakonistyr.	Svenska kyrkans diakonistyrelse
Svenska kyrkans diakonistyr:	Svenska kyrkans diakonistyrelse
Svenska kyrkans Diakonistyrelse	Svenska kyrkans diakonistyrelse
Svenska kyrkans diakonistyrelses	Svenska kyrkans diakonistyrelse
Svenska kyrkans diakonistyrlese	Svenska kyrkans diakonistyrelse
Svenska kyrkans diakonistyörelse	Svenska kyrkans diakonistyrelse
Svenska kyrkans diakonostyrelse	Svenska kyrkans diakonistyrelse
Svenska kyrkans diakonsityr.	Svenska kyrkans diakonistyrelse
Svenska kyrkans diakonstyr:	Svenska kyrkans diakonistyrelse
Svenska kyrkans diakonstyrelse	Svenska kyrkans diakonistyrelse
Selig	Seelig
Filadefia	Filadelfia
Filadelhia	Filadelfia
Fildelfia	Filadelfia
Svenska mission-förb:	Svenska missionsförbund
Svenska mission-förbund	Svenska missionsförbund
Svenska mission förbund	Svenska missionsförbund
Svenska missions-förbund	Svenska missionsförbund
Svenska missions.-förbund	Svenska missionsförbund
Svenska missionsförb:	Svenska missionsförbund
Dalberg	Dahlberg
Harriers	Harrier
Harries	Harrier
Frams	Fram
Cental	Centraltr
Central	Centraltr
Central-	Centraltr
Central-tr	Centraltr
Kooperat. förbund	kooperativa förbund
kooperativa förb:	kooperativa förbund
Kooperativa förb:	kooperativa förbund
Kooperativa förbund	kooperativa förbund
kooperativaförbund	kooperativa förbund
Kooprativa förbund	kooperativa förbund
Kopperativa förbund	kooperativa förbund
Svenska andelse	Svenska andels
Svenska andes	Svenska andels
Svenska handels	Svenska andels
Gleerupska universitets bokhandel	Gleerupska universitetsbokhandel
Gleerupska universitets bokhandeln	Gleerupska universitetsbokhandel
Gleerupska universitetsbok	Gleerupska universitetsbokhandel
Gleerupska universitetsbokhandel, i	Gleerupska universitetsbokhandel
Gleerupska universitetsbokhandel?	Gleerupska universitetsbokhandel
Gleerupska universitetsbokhandeln	Gleerupska universitetsbokhandel
Rén & Sjögren	Ren & Sjögren
R'en & Sjögren	Ren & Sjögren
Rén & Sjogren	Ren & Sjögren
Rén & Sjögren, Vi	Ren & Sjögren
Rén & Sjögren/Vi	Ren & Sjögren
A.V. Carlson-	A.V. Carlson
A.V. Carlsons-	A.V. Carlson
A.V. Carlsons -	A.V. Carlson
A.V. Carlsson	A.V. Carlson
A.V. Carlsson-	A.V. Carlson
Holmquist	Holmqvist
Holmquist.	Holmqvist
Holmquists	Holmqvist
Holmqvists	Holmqvist
Nordisk	Nordiska
Nordiska -	Nordiska
Nordiska s-	Nordiska
Nordiske	Nordiska
Folket i Bild	Folket i bild
Björck & Böjesson	Björck & Börjesson
Björck & Börjeson	Björck & Börjesson
Björk & Börjeson	Björck & Börjesson
Björk & Börjesson	Björck & Börjesson
Björk & Börkesson	Björck & Börjesson
Lundequistska bokhandel	Lundeqvistska bokhandel
Lundequistiska bokhandel	Lundeqvistska bokhandel
Lundequistiska bokhandeln	Lundeqvistska bokhandel
Lundequistska bokhand	Lundeqvistska bokhandel
Lundequistska bokhandel i	Lundeqvistska bokhandel
Lundequistska bokhandeln	Lundeqvistska bokhandel
Lundequistska bokhandeln i	Lundeqvistska bokhandel
Lundeqvistiska bokhandeln	Lundeqvistska bokhandel
Lundeqvistska bokhandeln	Lundeqvistska bokhandel
Lundquistska bokhandel	Lundeqvistska bokhandel
Lundquistska bokhandeln	Lundeqvistska bokhandel
Örebro mission-förening	Örebro missionsförening
Örebro missions-förening	Örebro missionsförening
Örebro missions.-förening	Örebro missionsförening
Örebro missionsfören:	Örebro missionsförening
Örebros missionsförening	Örebro missionsförening
Nils-Geirgs musik	Nils-Georgs musik
Nils-Goergs musik	Nils-Georgs musik
Alb. Bonnier	Albert Bonnier
Alb.Bonnier	Albert Bonnier
C.W.K. Gleerups	C.W.K. Gleerup
Fahlcrantz'	Fahlcrantz
Fahlkrantz	Fahlcrantz
Malmgrens	Malmgren
Germans musik	Gehrmans musik
P.A. Nordstedt & Söner	P.A. Norstedt & Söner
P.A. Norstedt & sön	P.A. Norstedt & Söner
P.A. Norstedt & Sönder	P.A. Norstedt & Söner
P.A. Norstedt & söner	P.A. Norstedt & Söner
P.A. Norstedt & Sönerr	P.A. Norstedt & Söner
P.A. Norstedt & söners	P.A. Norstedt & Söner
P.A. Norstedts söner	P.A. Norstedt & Söner
Svensk läraretidnings exp	Svensk läraretidning
Svensk lärartidning	Svensk läraretidning
Svenska läraretidning	Svensk läraretidning
Svenska läraretidnings exp	Svensk läraretidning
Svenska lärartidning	Svensk läraretidning
Nordiska rotogr	Nordiska rotogravyr
Nordiska rotogrävyr	Nordiska rotogravyr
Halls	Hall
Magn. Bergvall	Magnus Bergvall
O. Eklunds	O. Eklund
Southern music	Southern Music
Gumperts	Gumpert
Hæggström	Häggström
Hæggströms	Häggström
Häggtröms	Häggström
Fahlcrantz & Gumælius	Fahlcrantz & Gumälius
Fahlcrantz & Gumaelius	Fahlcrantz & Gumälius
Fahlcrantz & Gummælius	Fahlcrantz & Gumälius
Koopeerativa	Kooperativa
Kooperativa s	Kooperativa
Koperativa	Kooperativa
Kopperativa	Kooperativa
B-M:s	B.-M:
B.-M	B.-M:
B.-M.:	B.-M:
B.-M:-	B.-M:
B.-M:s	B.-M:
B.-M:s-	B.-M:
västra Sverige	Västra Sverige
Samsom & Wallin	Samson & Wallin
Samson & Vallin	Samson & Wallin
Askerbergs	Askerberg
Flodins	Flodin
Hiertas	Hierta
Medén	Meden
Méden	Meden
Medéns	Meden
Akademiska bokhandeln	Akademiska bokhandel
Fritzes bokhandel 	Fritzes bokhandel
Norblads bokhandel i	Norblads bokhandel
Norrblads bokhandel	Norblads bokhandel
Appelbergs	Appelberg
Palmquist	Palmqvist
Palmquists	Palmqvist
Palmqwist	Palmqvist
Fröléen	Fröleen
Fröl'een	Fröleen
Frölén	Fröleen
Ekelund	Eklund
Ekelunds	Eklund
Eklundh	Eklund
Eklunds	Eklund
Idun-	Idun
Iduna	Idun
Iduns	Idun
Biller	Bille
Billes	Bille
Elanders	Elander
Nordin & Josephson i	Nordin & Josephson
Nordin & Josephsson	Nordin & Josephson
Åhlén & söner	Åhlen & söner
Åhlen & Söner	Åhlen & söner
Åhlén & Söner	Åhlen & söner
Beckmans	Beckman
H. Ohlson	H. Ohlsson
H. Ohlssons	H. Ohlsson
H. Olssons	H. Ohlsson
Svenska allians-miss	Svenska alliansmissionen
Svenska allians-missionen	Svenska alliansmissionen
Svenska alliansmiss	Svenska alliansmissionen
