Name	Count
Total count: 	467
Universitetet. Befordringsfrågor (Lund)	8
Universitetet.	6
Sverige.	5
Universitet.	5
Universitet. Befordringsfrågor (Lund)	5
Goodtemplarorden.	3
Universitetsbiblioteket (Uppsala)	3
1946 års skolkommission	2
Brännkyrka (Stockholm)	2
Finland.	2
Kungl. Vetenskapsakademien	2
Marinförvaltningen	2
Royal Academy of Arts (Storbritannien)	2
Stockholms högskola.	2
Sverige	2
'Tysta Maries' läsesalongs lånbibliotek. Helsingborg.	1
A. B. F:s bibliotek i Oxelösund	1
Åbo akademi	1
Åbo akademi.	1
Åbo stads historiska museum	1
Adolf Fredriks församling (Stockholm)	1
Adolf Fredriks församlingsbibliotek (Stockholm)	1
Aktiebolaget Åhlén & Holm	1
Aktiebolaget Aino Lindeman	1
Aktiebolaget Svenska Naxos	1
Aktiebolaget Svenska Ostasiatiska kompaniet	1
Alingsås IF	1
Allgemeine Elektricitäts-Gesellschaft	1
Allmänna svenska lantbruksmötet	1
Allmänna valmansförbundet (Stockholm)	1
Åls skolbibliotek	1
Alvesta blåbandsförenings bibliotek.	1
Alvesta folkbibliotek	1
Älvkarleby kraftverk	1
Ängelholms skolbibliotek	1
Arbetareföreningens lånbibliotek.	1
Arbetarna till havet.	1
Arbetarnas bildningsförbunds bibliotek	1
Arvika kyrkogård.	1
Arvika stads skolbibliotek.	1
Ås kommunbiblioteks boksamling	1
Baltiska utställningen	1
Bankaktiebolaget Södra Sverige	1
Betelseminariet	1
Bethesda-missionens boksamling (Stockholm)	1
Biblioteket i Betlehemskapellets söndagsskola (Västervik)	1
Bildnings-Anstaltens bibliotek (Uppsala)	1
Bildningscirkeln (Åbo)	1
Bodens bandyklubb.	1
Bohusläns köpmannaförbund.	1
Bohusläns motorklubb.	1
Borås scoutkår	1
Borgsjö hembygdsförening	1
Borlänge-Domnarvets Arbetares studiecirkelbibliotek.	1
Bostadsföreningen Valhalla u.p.a. (Stockholm)	1
Brottarklubben Gripen (Tomelilla)	1
Caroli kyrkliga ungdomsförening (Malmö)	1
Civila ryttarförbundet	1
Commission permanente du congrès internationale de statistique.	1
Dalarnas föreläsningsförbund.	1
Danderyds folkbibliotek.	1
De skandinaviske Brygmesterkurser	1
De ungas beskydd (Stockholm)	1
Drottning Sofias stiftelse (Vänersborg)	1
Edsvikens tennisklubb.	1
Ekolns segelklubb	1
Eldbegängelseföreningen. Helsingborg.	1
Enblomska hjälpfonden.	1
Enighet ger styrka (Stockholm)	1
Epidemisjukhus. Helsingborg.	1
Eskilstuna arbetarebibliotek.	1
Eskilstuna gymnastikförening.	1
Eskilstuna hyresgästförening.	1
Estetiska föreningen (Uppsala)	1
Evangeliska missionsförenings bibliotek. Göteborg.	1
Falkenbergs FF	1
Falköpings lasaretts-bibliotek.	1
Fälttelegrafkåren. Manskapsbiblioteket (Stockholm)	1
Färenbo skolbibliotek.	1
Fässbergs sockenbibliotek.	1
Filipstads och Färnebo sockenbibliotek.	1
Filipstads skolbibliotek.	1
Finlands förenade kuvertfabriker	1
Finlands svenska ungdomsförbund	1
Finska läkare-sällskapets boksamling. Helsingfors.	1
Finska vetenskaps-societeten	1
Flens arbetarebibliotek	1
Folkbiblioteket (Teckomatorp)	1
Folkbiblioteket.	1
Folkbiblioteket. Helsingfors.	1
Folkets park.	1
Folkhögskola. Hammenhör.	1
Folkskoleseminariet	1
Föreningen Adertonhundranittiosex års män	1
Föreningen Adertonhundranittiotre års män	1
Föreningen Diplomerade från Socialinstitutet	1
Föreningen för kraft- och bränsleekonomi.	1
Föreningen för välgörenhetens ordnande i Stockholm	1
Föreningen Fosforos' bibliotek. Floby.	1
Föreningen Linköpingspojkarna (Stockholm)	1
Föreningen Margaretaminnet (Malmö)	1
Föreningen Stockholms lärlingshem	1
Föreningen Sveriges Häradshövdingar	1
Föreningen Verdandis arbetarebibliotek.	1
Föreningsbanken i Finland	1
Förenta nationerna	1
Förenta nationerna.	1
Förmyndarekammaren (Stockholm)	1
Första Hundraföreningen.	1
Första sv.ev.luth.församlingen (Tacoma, Wash.)	1
Frälsningsarmén (Ludvika)	1
Frälsningsarmén (Nora)	1
Frivilliga brankåren (Åbo)	1
Fruntimmernas i Malmö sjuk- och begravningskassa	1
Gävle gymnasiiförbund Verdandi	1
Gävle husmodersförening.	1
Gävle. Utställning 1863.	1
Gävle. Utställning 1901.	1
Gefle segelsällskap.	1
Glömsta fastighetsägareförening u.p.a.	1
Godtemplarorden	1
Goodtemplarorden (Vingåker)	1
Goodtemplarorden. Hagfors.	1
Goodtemplarorden. Hälsingland.	1
Goodtemplarorden. Kristinehamn.	1
Goodtemplarorden. Loka.	1
Göteborgs allmänna egnahemsförening	1
Göteborgs arbetarebibliotek.	1
Göteborgs golfklubb.	1
Göteborgs gymnastik-sällskap.	1
Göteborgs Handelsinstitut.	1
Göteborgs konstförening.	1
Göteborgs konstmuseum.	1
Göteborgs manufakturhandlareförening.	1
Göteborgs maskinistförenings bibliotek.	1
Göteborgs och Bohus läns sångarförbund.	1
Göteborgs skolköksseminarium.	1
Göteborgs skyttegille.	1
Grava kommunbibliotek.	1
Gumlösa folkbiblioteket.	1
Gustaf och Albert Laurins Byggnads- och sparkassefonds bibliotek (Stockholm)	1
Gymnasium (Strängnäs)	1
Gymnastik- och idrottsföreningen Nike	1
Gymnastikklubben Motion (Malmö)	1
Hackås kooperativa handelsförening.	1
Hälsingborgs - Landskrona nation (Lund)	1
Hälsingborgs högre allmänna läroverks bibliotek.	1
Hälsingborgs polisbibliotek.	1
Hälsingborgs specerihandlareförening.	1
Handtverkande borgerskapets sjuk-och begrafningskassa samt nödhjelpsfond (Norrköping)	1
Häverö sockenbibliotek.	1
Hebergs inköpsförening.	1
Helsinge kommuns centralbibliotek.	1
Hjularps skolbibliotek.	1
