Name	Count
Total count: 	121
af Ludvig Tieck. Upsala. Hos Stenhammar och Palmblad. =1-4. 1810-13.=.	2
medh flijt vthräcknat och stält aff Andrea P. Spohle.	2
[a Georgio Stiernhielm].	1
[af C.FS. Favart och C.H. FuséedeVoisenon]	1
[af J.H. Kellgren]	1
[af L. Holberg]	1
[franskt original af N.M:F. Bodard de Tézay] ; Öfversättning	1
[L. Hammarsköld.]	1
[origianl af B.J: Marsollier des Vivetières]	1
[Övers. fr. engelskan av J. G. Werving.]	1
[Petri J. Rudbeckii]	1
[praes. Elias Frondin]	1
[text: Giuseppe Maria Diodati] ; Musiken af hr Cimarosa	1
[undert.: Johan Westerman]	1
a D. Johan: Matthiæ, ...	1
à Johanne Canuti Lenæo . . , in templo cathedrali, anno Christi 1648, die 26. januarij.	1
à Jona Svenonis Columbo cum insignibus acceptis proviniciæ episcopus & antistes de clararetur in synodo Mariana anni 1619 ...	1
à Nicolao Valingio	1
à Petro Jonæ Kollbechio	1
aammansatt och vthgången, aff Andrea Jonæ Gotho	1
ab Elia Brenner sumptibus propriis.	1
ab Erico Schrodero Ubsal.	1
Achates	1
af A. S. Almqvist, lands-secreterare.	1
af Anders Lissander	1
af C. E. ; Stockholm, tryckt hos J.P. Lindh, 1819.	1
af C. Horleman	1
af C.M.S.	1
af Carl A. Grevesmöhlen, öfver advokatfiskalen...	1
af Franz Grillparzer ; Efter andra tyska upplagan öfversatt af E.W. Djurström	1
af Fredric Schiller ; öfvers.	1
Af herr D.G. Björn	1
af J.F.	1
af Jean Jaques Rousseau	1
af Johan Skytte. : Nu nyligen, ... på swenska vtgången åhr efter C. B. 1604.	1
af Pehr Tham	1
Aff Elia Isopedio.	1
aff fransöske originalet med flijt öfwersatt och förswänskat aff Thomas Hiärne	1
aff Laurentio W. N.	1
Aff M. Oloff Nilson Berg	1
Aff Olavo Laurelio.	1
Aff P. J. R.	1
aff Theophilo Antipapio, ...	1
allom ... förswenskat ... aff Laurentio Johannis Preutz	1
Andra gången uplagd, och med ett fullkommligt register försökt	1
angeordnet durch ... Magnus Gabriel De La Gardie ...	1
angeordnet durch Johannem Botvidi.	1
auctore Jacobo Naumann ... .	1
authore & præside M. Axelio Kempe... .	1
authore præside Axelio Kempe.	1
Benedictus Magni Starinius. ...	1
Carl Johan De la Myle	1
collecta ab Olavo Laurelio.	1
commissa à Petro Aurivillio ...	1
conflatum a Johanne Johannis Prytz Frendenio	1
cum annotationibus Joannis Schefferi Argentoratensis et Francisci Guyeti notis, nunquam antea publicatis. Editio tertia prioribus emendatior & auctior, in qua jungitur, interpretatio gallica cum notis, & index latinus uberrimus	1
Daniel Trautzel.	1
descriptus a Carolo Linneo	1
dispuestas, y ajustadas, segun inspiracio de Dios, por nuestra venerable madre, y señora doña Marina de Escobar. Fundadora de la Recoleccion de la misma orden. Aprobadas por nuestro muy santo padre Vrbano VIII. año de 1628.	1
durch Matthias Geiger	1
entworffen von Leander Bleibetreu.	1
ex italico latinus, interprete Nathane Chytreo.	1
exhibitus a Laurentio Skytte nobili sueco.	1
fatis concedens Andreas Wallenius. ; [Utg. av Olof Willman.]	1
Fattade af deras käre och sörjande wän, som war åsyna wittne til denna sidsta färden, Elias Silvius ...	1
Finnas beskrefne af Ahasvero Fritschen. ; Men nu ... af tyska språket på thet swänska öfwersatte. Och med egen bekostnad uplagde. Af Joh: O: Graan.	1
författad av Daniel Melanderhjelm	1
Författad och sammansatt aff Johan Widekindi	1
författat och schriffuin. Aff. Enoch Haqvini.	1
förswenskat och förährat ... Aff Erico Erici Helsingio tilförene kyrkioheerde på Norre Malm.	1
genom Johan Arndts, ... stoore flijt, grundeligen vthur then h. schrifft sammansatte, ; och förswenskade aff Stephano L. Muræo.	1
Hållen i Wallentuna kyrkio aff Magno Andreæ Melkorstadindal ... then 24. octob.	1
hålne vid kongl.academien i Lund af D. Nehrman	1
hwilka såsom andelige nyåhrs gåfwor . . . vtdelte i St: Iacobs kyrckia Andreas Luderhoff ... den 1. Januarij åhr 1682	1
inventione et opera Olai Engelb. Bure.	1
J. G[ezelii]. D. Ep. Ab.	1
Joh: Botvidi	1
med... Pehr Niclas Christiernin... försvarad af... Peter Jacob Hjelm	1
medh flijt stält aff Gebhardo Himselio	1
Mehrendels extraherat vthaff L. Paulini Gothi ... ; Thesauro catechetico. ...	1
Nu nyligen förswenskat aff Erico Schrodero.	1
Nu nylighen tilsammandraghen, förfärdigat och förswenskat, aff I.H.S.B. (eg. Jon Hansson Burman).	1
Nw aff itt tydskt exemplar förswenskat, aff Magno Andreæ.	1
O P	1
ödhmiukeligen dedicerat aff Petro Matthiæ Hogengård	1
öfvers. af en f.d.kavalleri-officer. Med plancher	1
öfwers. af Pehr Herndahl	1
öpnad af Salomon Liscovio: ; och nu af tyskan öfwersatt, uppå Nathanael Goldenaus bekostnad, af Johanne Petræo.	1
Original af Thure Wennberg	1
oversat af Blankensteiner	1
På swenska affsatt aff Arfwidh Månszon.	1
på tyska upsatte af ... Johan Arndt, ... men nu them enfaldigom til upbyggelse på swenska afsatte.	1
på wårt swenska språk uthtolkat af Andrea Pet. Amnelio, . . .	1
par [D.A. de Brueys et] monsierur Palaprat	1
par M. Thounmann ; trad. de l'Allemand	1
pro adultioribus scholæ Scarensis alumnis [Græce et Latine] excerpta ab Hq. Sp. [Haqvin Spegel].	1
publice & memoriter exhibita a Gustavo Helmfeld. Anno 1666.	1
Roodzin kieleste soomenkielexi käätty Thomas Yriänenpoialda (Georgii).	1
sammandraghen aff Johan. Fabricio. ; förswenskad och vthgången aff Arvido Joh. Tidero	1
såsom en wälment tienst til trycket bekostad aff Arvido Olavi.	1
skriffuin aff Lars Oloffzson Wallio.	1
skrifwit af Johan Israelszon Dalkarlo	1
stält aff Antonio Eenhorn v. Geisz	1
