Name	Count
Total count: 	2272
(kungl.tryckeriet)	116
(Lindh)	 89
(Salvius)	 79
(Deleen)	 63
(Carlbohm)	 62
(Nordström)	 61
(Marquard)	 54
(Lange)	 48
(Edman)	 45
(Berling)	 42
(Horrn)	 40
(Hesselberg)	 37
(Grefing)	 35
(Elmén : Granberg)	 32
(Grahn)	 32
(Norberg)	 32
(Bruzelius)	 31
(Wahlström)	 29
(Werner)	 29
(Stolpe)	 26
(Holmberg)	 25
(Frenckell)	 23
(Nestius)	 22
(Nyström)	 21
(Rumstedt)	 21
(Lundström)	 20
(Palmblad)	 20
(Merckell)	 19
(amiralitetstryckeriet)	 18
(Gadelius)	 18
(Kumblin)	 18
(kungl.tryckeriet : Momma)	 18
(Sundqvist)	 18
(kungl. tryckeriet)	 17
(Raam)	 17
(Wennberg : Nordström)	 17
(Axmar)	 15
(Segerstedt)	 15
(Cedergréen)	 14
(Haeggström)	 14
(Collin)	 13
(fälttryckeriet)	 13
(Hörberg)	 13
(Sohm)	 13
(Zetterberg)	 13
(Blume)	 12
(Cronland)	 12
(Eckstein)	 12
(Lundblad)	 12
(Ekmark)	 11
(Falck)	 11
(Groth : Petré)	 10
(Hageman)	 10
(Löwegren)	 10
(Nyström : Stolpe)	 10
(Petré)	 10
(Fougt)	  9
(Habereger)	  9
(Leverentz)	  9
(Torbjörnsson)	  9
(Wallencrona)	  9
(Winge)	  9
Nordström)	  9
(Björckegren)	  8
(Deleen : Forsgren)	  8
(Holmerus)	  8
(Möller)	  8
(ordenstryckeriet)	  8
(Wilde)	  8
(Zeipel : Palmblad)	  8
(Decreaux)	  7
(Eschillus Matthiæ)	  7
(Norstedt)	  7
(Pfeiffer)	  7
(Stenhammar : Palmblad)	  7
(Wennberg)	  7
(akademiska tryckeriet)	  6
(Berg)	  6
(Broocman)	  6
(Carlbohm : Nordström)	  6
(Hammarin)	  6
(kungl.tryckeriet : Werner)	  6
(Nyberg)	  6
(Petré : Abrahamsson)	  6
(amiralitetstryckeriet : Svinhufvud)	  5
(Björkbom)	  5
(Björn)	  5
(gymnasietryckeriet)	  5
(Kraft)	  5
(Smitt)	  5
(Akademiska)	  4
(Arborelius)	  4
(Cederborgh)	  4
(fälttryckeriet : Sohm)	  4
(Hedmanska)	  4
(Henrich Keyser,)	  4
(Ignatius Meurer)	  4
(kungl. finska boktryckeriet)	  4
(Laurelius)	  4
(Lundström : Westberg)	  4
(ordenstryckeriet : Pfeiffer)	  4
(Petrus Hansonius)	  4
(Pilecan)	  4
(Scheutz)	  4
(Schneider)	  4
(Schonberg : Björckegren)	  4
(Stakberg)	  4
Deleen)	  4
Lindh)	  4
Salvius)	  4
Zetterberg)	  4
(bibelsällskapets tryckeri)	  3
(Brodin)	  3
(Burchardi)	  3
(Carlson)	  3
(Flygare)	  3
(Gercken)	  3
(gymnasietryckeriet : Svinhufvud)	  3
(Henricus Curio)	  3
(Ignatius Meurer,)	  3
(Kjellberg)	  3
(Lange : Stolpe : Wennberg : Nordström : Carlbohm)	  3
(Lindeblad)	  3
(Niclas Wankijff,)	  3
(Oudar : Bruzelius)	  3
(Qvist)	  3
(Raam : Lötström)	  3
(Salvius : Lange)	  3
(Sohm : fälttryckeriet)	  3
(Wennlund)	  3
(Zacharias Brockenius)	  3
Berling)	  3
Carlbohm)	  3
kungl. tryckeriet)	  3
Scheutz)	  3
([Ignatius Meurer],)	  2
(Berglund : Marquard)	  2
(Boetius Hagen,)	  2
(Boetius Hagen)	  2
(Eckstein : Nestius : Walldén : Elmén : Granberg : Norstedt : Marquard : Carlson : ordenstryckeriet : Pihl : Nordström : Haeggström)	  2
(Eckstein : Palmblad)	  2
(Ekmansson)	  2
(Enaeus)	  2
(Fougt : kungl.tryckeriet)	  2
(Grahn : Marquard : Nestius : Ewaldt : Rumstedt)	  2
(Grefing : Fougt)	  2
(gymnasietryckeriet : Bagge : Berg)	  2
(Henrich Keyser)	  2
