Name	Count
Total count: 	190
1800-talet	37
1900-talet	23
1800-talet;1800-talet	14
1700-talet	 9
1890-talet	 5
1900-talet;1900-talet	 4
sekelskiftet 1900	 4
1700-talet;1800-talet	 3
1800-talet;1900-talet	 3
medeltiden	 3
1700-talet;1700-talet	 2
1800-talet;1800-talet;1800-talet	 2
1920-talet	 2
1940-talet	 2
1945	 2
Medeltiden	 2
1100-talet;1200-talet	 1
1400-talet	 1
1500-1800;1500-1800	 1
1600-talet	 1
1600-talet;1700-talet	 1
1628-1930;1628-1930	 1
1660-1825	 1
1685	 1
1688	 1
1692	 1
1700-talet;1700-talet;1700-talet	 1
1700-talet;1800-talet;1900-talet	 1
1700-talet;Italien;1700-talet;1700-talet	 1
1718-1772	 1
1718-1772 (frihetstiden)	 1
1800-talet;1800-talet;1800-talet;1800-talet	 1
1800-talet;1860-talet	 1
1800-talet;1886	 1
1809-1844	 1
1817	 1
1820-t.	 1
1828	 1
1854-1929	 1
1884	 1
1887-1937	 1
1889;1800-talet	 1
1890-talet;sekelskiftet 1900	 1
1892-04-09;1890-talet	 1
18th century;1700-talet;1700-talet;1700-talet	 1
1900-1950	 1
1900-talet;1900-talet;1900-talet	 1
1901-10-31	 1
1901-1951	 1
1906-03-23	 1
1906-1919	 1
1910-01-17	 1
1910-talet	 1
1910-talet;1910-talet	 1
1911-03-14	 1
1912-06-15;1900-talet	 1
1912-12-09;1900-talet	 1
1914	 1
1914-1918 (första världskriget)	 1
1915-09-30;1900-talet	 1
1915-11-13	 1
1917	 1
1917-11-20	 1
1919-01-25	 1
1920-04-24	 1
1920-10-04;1900-talet	 1
1920-talet;1930-talet	 1
1928;1928;1928;1928	 1
1933-1945	 1
1938-01-20	 1
1939-1940	 1
1939-1945 (andra världskriget)	 1
1940-1946	 1
1940-talet;1950-talet	 1
400-talet -1300-talet	 1
antiken	 1
före 1800	 1
Förhistorisk tid	 1
forntiden	 1
forntiden;forntiden	 1
Gustavianska tiden	 1
Järnåldern	 1
medeltiden;medeltiden	 1
Middle English, 1100-1500	 1
Sekelskiftet 1900	 1
sekelskiftet 1900;1910-talet	 1
Stenåldern	 1
To 1500	 1
Vendeltiden;Järnåldern	 1
