Name	Count
Total count: 	668
Samlade skrifter	15
Bihang till samtlige riks-ståndens protocoll, vid lagtima riksdagen i Stockholm åren 1828 och 1829. =Stockholm. 1-255. 1829.=	13
Samlade arbeten	 8
Skrifter	 8
Romaner	 7
Svenskt diplomatarium	 6
Bibliothek der deutschen Classiker. =Uppsala, E. Bruzelius. 1-76. 1811-21=.	 5
Hof-calender	 5
Valda skrifter	 5
=Kongl. vetenskaps academiens handlingar. Vol. XVIII-XL. Stockholm. 1-23. 1757-79.=	 3
Arcana coelestia d.ä. himmelska lönligheter, som finnas i den heliga skrift eller Herrans ord, upptäckte. Första Mose-bok. Jemte det undransvärda, som blifvit sedt i andarnes verld, och i englarnes himmel. : Öfversättning från latinska urskriften, som utkom 1749. =Anon.= Stockholm, tryckt hos Carl Deleen. =1-20. 1817-28.=	 3
Delfine, af fru Stael von Holstein. Öfversatt från fransyskan af H.A. Kullberg. Örebro, tryckt hos Nils Magnus Lindh. =1-6. 1803-04.=	 3
Historiska extracter, innehållande förnämligast caracterer och anecdoter om stora och märkvärdiga personer. =Stockholm. 1:1-17, 2:18-30, 3:31-42, 4:43-48, 1790-94.=	 3
Novell-bibliotek. Smärre walda romaner och berättelser, samlade eller öfwersatte. =(Omsl.) Upsala, Em. Bruzelius. 1-36. 1819-32.=	 3
Protocoll, hållna hos högwördiga prest-ståndet wid riksdagen i Stockholm år 1809	 3
Samlade berättelser : svenskt original	 3
1940 års skolutrednings betänkanden och utredningar	 2
Äldre och nyare skånska handlingar, för år 1755. Stockholm, tryckt hos Lars Salvius. =1-2.=	 2
Alibis illustrerade filmromaner	 2
Allmän musiklära för tonkonstens idkare såväl som för dess vänner : äfvensom till begagnande vid de läroverk der musik odlas	 2
Ande-skådaren. Berättelse af grefve v. O. Utgifven af Friedr. Schiller. Öfversättning. =Stockholm. 1-6. 1798-1802.=	 2
Arkitekturens formspråk : studier över arkitekturens konstnärliga värden i deras historiska utveckling	 2
Aurora	 2
Berättelser, skizzer och noveller	 2
Bibliothèque des auteurs classiques français. Avec privilége du roi. Stockholm, de l'imprimerie d'Olave Grahn. =1-43. 1812-1817.=	 2
Blekinge läns kongl. hushålls-sällskaps handlingar. =Karlskrona. 1-4, 6-15. 1815-29=.	 2
Daglig hjelpreda i köket: eller Anwisning till en tarflig matredning för hwarje dag i året. Öfwersättning med förändringar af C. Weltzin. Stockholm, tryckt hos A.J. Nordström. =1-6. 1808=.	 2
Dessins au trait d'aprés les meilleurs tableaux des collections principales de Suède dessinés et lithografiés par Hugo Hamilton. Jmp. lith. de Gjöthström à Stockholm. =(Omsl.) 1-3. 1828=	 2
Evangeliska sällskapets skrifter. =Stockholm. 1-77. 1808-29=.	 2
Folkungaträdet	 2
Förteckning, uppå de til riksens höglofl. ständers urskillnings deputation ingifne memorialer, hwilka därstädes såsom rätte riksdagsmål antagne och remitterade, eller ock afslagne blifwit å nedannämde dagar, wid riksdagen i Stockholm : år 1771. =(Rubr.)= (Stockholm, tryckt uti gamla kongl. tryckeriet.) =1-27. 1771.=	 2
Geographie öfver konungariket Swerige samt därunder hörande länder författad af Eric Tuneld ... Stockholm, tryckt [2-4, 6:] trykt hos Anders J. Nordström. =1-8. 1785-92.=	 2
Handbok för christliga religions-lärare. Af d. Aug. H. Niemeyer. Öfversättning från 4:de förbättrade upplagan. =1-3. 1810-12=.	 2
Högmesso-predikningar på alla helgedagar i året af Per Kernell ... Efter författarens handskrifter utgifna af P.A. Sondén. Stockholm. Tryckta hos direct. Henrik And. Nordström. På desz förlag. =1-2. 1826.=	 2
Huset Tessin under enväldet och frihetstiden : romantiserad skildring	 2
Kongl. vetenskaps academiens nya handlingar. =1-33. 1780-1812.=	 2
Läsning i blandade religions-ämnen, af Joh. Gust. Bure. =1-14. 1808-16=.	 2
Lettres a Émilie sur la mythologie. Par mr. De Moustier. Après la troisième édition originale. =Stockholm. 1-7. 1798-1805.=	 2
målares anteckningar : utdrag ur dagböcker och bref	 2
Modern världslitteratur : de levande mästerverken	 2
När de unga togo vid : skildring ur folklifvet	 2
Naturwissenschaftliche Untersuchungen des Sarekgebirges in Schwedisch-Lappland	 2
Notationes norrœnæ : anteckningar till Edda och skaldediktning	 2
Ortnamnen i Skaraborgs län	 2
Petri Pachii ... Missus, Epithalamia, Epicedia, Epigrammata, Anagrammata, Colloqvia, Miscellanea, alia item ... : Græce, latinè, & germanicè conscripta, et de novo ab autore ipso in ordinem redacta. Liber 1	 2
Petri Pachii ... Missus, Miscellanea, Epithalamia, Epigrammata, Anagrammata, Epicedia, alia item, ...	 2
Rebellerna : en krönika om de stora folkrörelserna : berättelser och hågkomster, typer och gestalter från fem årtionden	 2
Samlade dikter	 2
Schweden : (Weltausstellung 1873 in Wien)	 2
Skalde-stycken i strödda ämnen; af Enbom. =Stockholm. 1-3. 1796-1806=.	 2
Skizzer	 2
Släktbok. Ny följd. 3	 2
Små-saker til nöje och tidsfördrif. =Stockholm. 1-8. 1755-57=.	 2
socialhygienisk undersökning i Västerbottens och Norrbottens län : utförd med stöd av Kungl. medicinalstyrelsen under åren 1929-1931	 2
ståndaktige. Af B. Frere. Fri öfversättning från engelskan. Stockholm, tryckt i Elméns och Granbergs tryckeri. =1-3. 1810-11.=	 2
Svenska akademiens handlingar ifrån år 1796. =Stockholm. 1-12. 1801-29=. 8:o, [7-8, 10:]	 2
Svenska gods och gårdar	 2
Sveriges bebyggelse : statistisk-topografisk beskrivning över Sveriges städer och landsbygd	 2
Travels in various countries in Europe, Asia and Africa	 2
Uppslagsbok för svenska musikhandeln	 2
Utkast till svenska folkets historia./(And. Botin.) Stockholm, tryckt på Lars Salvii [4-6:] direct. Lars Salvii förlag. =1-4. 1757-1764.=	 2
Valda noveller	 2
Världslitteraturen : de stora mästerverken	 2
Verldshistoria / af Carl Fredrik Becker. ; Öfversättning från sjette [18-20: sjunde] upplagan, bearbetad af Johan Vilhelm Loebell	 2
Vetenskaps-handlingar för läkare och fältskärer. Utgifne af Sven Hedin ... =Stockholm. 1-27. 1793-1806.=	 2
Wages, cost of living and national income in Sweden 1860-1930	 2
=Beskrifning om Asien. Stockholm. 1. 1802.=	 1
=Capitain Lemuel Gullivers resor./(Swift.) Stockholm. 1-2. 1744-45=.	 1
=Chemia physica. Stockholm. 1-3. 1759-68=.	 1
=Essais de batir sous l'eau. Stockholm. 1-2. 1774-76=. [1:]	 1
=Första/Siette afhandlingen ibland några och trättjo upfundne inwentioner. (Rubr.) Anon. Skara, privil. tryckeriet, Johan von Cöln, 1771-å:1772. 1-6.=	 1
=Fortsättning af rättegångshandlingarne i målet rörande Sala bergslag. Stockholm. 1-19. 1815-23.=	 1
=Fortsättning af uplysningen öfwer skriften, kallad: Ofrälse- soldaten. Stockholm. 1-18. 1771-1772.=	 1
=Historisk- geographisk- och genealogiske anmärkningar öfwer MDCCXXIII/MDCCXXV års Post-tidningar, i Königsberg samma år wecketals utgifne. Stockholm. 1-3. 1726-27=.	 1
=Hus-hålds-bok. Norrköping. 1-2. 1736- 1739.=	 1
=Kongl. swenska wetenskaps academiens handlingar. Vol. I-II. Stockholm. 1-9. 1741-45=.	 1
=Naturlig theologie. Stockholm. 1-3. 1783-94.=	 1
=Nödiga förnufts-öfningar. Linköping. 1-5. 1718-22=.	 1
=Swenska hushålls-rön=. =Stockholm. 1. 1746=.	 1
=Tankar om hemligheter. Anon. Stockholm. 1-4. 1769-71.=	 1
=Utdrag utur alle ifrån den 7. decemb. 1718./1791 utkomne publique handlingar. Stockholm. 1-15. 1742-1829=.	 1
=Waaren-Lexicon in zwölf Sprachen. Hamburg. 1-2. 1797-1801.=	 1
1950 års folkomröstnings- och valsättsutrednings betänkande	 1
Åbo akademis studentmatrikel	 1
About Jews liberated from German concentration camps arrived in Sweden in 1945-1946	 1
Acta dermato-venereologica	 1
Acta oto-laryngologica	 1
Acta societatis regiæ scientiarum Upsaliensis. Stockholmiæ typis & sumtibus Laurentii Salvii. =1-5. 1744-51.=	 1
Adeline eller Skogs-romanen, af m:s Ann Radcliffe. Götheborg, tryckt hos Samuel Norberg. På eget förlag. =1-3. 1800.=	 1
Affären Costa Negra : roman	 1
