Name	Count
Total count: 	763
8:o.	172
8:o	 81
8:o. [4:o.]	 74
4:o.	 34
Finns digitaliserad, tas ej fram	 29
4:o	 27
[Anon.];8:o	 22
8:o.[4:o.]	 17
[Anon.] 8:o.	 16
Orig.neg. samt neg.dubl. finns	  9
[Anon.] 4:o.	  7
[Anon.];4:o	  7
[Sign.] 8:o.	  5
[Dedik.] 8:o.	  4
8:o[4:o]	  4
Finns digitaliserad, tas ej fram;Finns digitaliserad, tas ej fram	  4
Orig. saknas i KB	  4
[Sign.];8:o	  3
[Undert.];4:o	  3
8:o. [ 4:o.]	  3
8:o. [4:o]	  3
8:o.[ 4:o.]	  3
Fol	  3
Fol.	  3
[4:o.]	  2
[Anon.]	  2
[Anon.] 12:o.	  2
[Anon.] 8:o. [4:o.]	  2
[Anon.];8:o. [4:o.]	  2
[Dedik.];8:o	  2
[Text.] 8:o.	  2
[Undert.];8:o	  2
[Undert.];8:o. [4:o.]	  2
12:o	  2
12:o.	  2
16:o	  2
8:o [4:o]	  2
8:o.[4:o]	  2
8:o.[4].	  2
Finns digitaliserad, tas ej fram;8:o. [4:o.];Finns digitaliserad, tas ej fram	  2
Fotostatkopia	  2
Kopia, orig. saknas i KB	  2
Saknas i KB	  2
Samb. med: Lunds Weckoblad, onsd. den 5 maj 1819	  2
Tas ej fram, finns mikrofilmad;Finns digitaliserad, tas ej fram;(Mikrofilm)	  2
Tas ej fram. Finns på mikrofilm.	  2
Trycket tas ej fram eftersom det finns digitaliserat. Se Internetlänk ovan.	  2
.[Undert.] 4:o.	  1
[1732.] 4:o.	  1
[Anon.] 16:o.	  1
[Anon.] 4:o.;Smntr.med: Lang,N.v., Kort extract utaf...ständernas urgamla evangeliska privilegier...1768.	  1
[Anon.] 8:o. [4:o.];Titel saknas, texten begynner: En oväldug och gransynt läsare...	  1
[Anon.] 8:o. [4:o].	  1
[Anon.] 8:o.[ 4:o.]	  1
[Anon.];12:o	  1
[Anon.];8:o. [4:o]	  1
[Anon.];8:o.[4:o.]	  1
[Anon.];Lit.8:o;Senare uppl.: 1815, 1935	  1
[Anon.];Senare utg med var. titlar finnes okat. på Skilling tryck, xxx...	  1
[Dedik.] 16:o. [12:o.]	  1
[Föret.];8:o	  1
[Inc.:];[Text.];Fol.	  1
[Pseud.] 4:o.	  1
[Pseud.] 8:o.	  1
[Schulbuch für die ersten Anfänger in der deutschen, lateinnischen u.französische u.französischen Sprache...]	  1
[Sign.] 12:o.	  1
[Sign.] 4:o.	  1
[Sign.];8:o;Senare uppl. 1810,1843,1851,1857,1914	  1
[Sign.];Pat.-fol.	  1
[Text.s.4] 8:o.	  1
[Undert.:Civis.];4:o	  1
[Undert.:I.F.] 8:o.	  1
[Undert.]	  1
[Undert.];8:o. [4:o];[... ingifna besvär...]	  1
[Undert.];8:o.[4:o]	  1
[Undert.];Fol[30 x 50]	  1
[Undert.s.2.] 8:o. [4:o.];Ang. tvist om fordran mellan Junbeck och landtmätaren Edvall.	  1
+:o	  1
1-3 samb.	  1
12:o;Senare uppl. 1752, 1778 o. 1801	  1
12:o.;2:a uppl. 1770.	  1
12:o.;Saknas i K.B.;Senare förb.o.tillökta uppl. finns.	  1
12:o.;Smnb.;m: Bartholin, C., Logicae peripateticae praecepta. 1625.	  1
16:o;(Äldre uppl. se: Jurid.Före 1700-t.);Senare uppl. 1790	  1
16:o. [12:o.]	  1
16:o. [12:o.];1:a o. 4:e uppl.saknas;2:a uppl.: 1790.	  1
16:o.;2:a uppl. 1812, 3:e uppl. 1819.	  1
16:o.;Samb. m.: Kriegsrecht, Schwedischen, oder Artickuls-Brieff. Rinteln 1643.	  1
1739. 8:o.	  1
4:o;(Tidigare uppl.: 1744,1746)	  1
4:o;[!]	  1
4:o;[= And.S.Ekmans]	  1
4:o;[de Suède]	  1
4:o;[Matrikel över Svea rikes ridderskap och adel...]	  1
4:o;[quam Alcem vocant];Även andra utg. finns	  1
4:o;Samtr. med Maupertius,M., Memoir read... 1737 ...	  1
8:o [4:o];Senare uppl. 1777-1838	  1
8:o [4:o].	  1
8:o;(1:a ed. utkom 1776)	  1
8:o;[!]	  1
8:o;[afg. d.23 dec. 1822]	  1
8:o;[by Jens Wolf]	  1
8:o;[Lunds stifts tidning]	  1
8:o;1:a uppl. 1802	  1
8:o;1824 saknas i K.B.	  1
8:o;Samb. med: Dent,A., Totisen käändymisen harjoitus eli tie ... 1732;(Sv. uppl. se: Några kännetecken af den rätta nya födelsen. 1720)	  1
8:o;Senare uppl. finnas	  1
8:o;Senare uppl. finnes	  1
8:o;Senare uppl.finns.	  1
8:o. (4:o.)	  1
8:o. [ 4:o.].	  1
8:o. [12:o.]	  1
8:o. [12]	  1
8:o. [4:o,]	  1
8:o. [4:o.];[anstälda hos k.fältboktryckaren P.Sohm]	  1
8:o. [4:o.];[d.16,19,23,26 och 30 junii samt d.7,10 och 14 julii]	  1
8:o. [4:o.];[rörande målet mellan stadsfiscalen Falk samt handelsmännen Johan Nordberg och Magn.Hellenberg ang.. olaga anställning af handels-gossar och deras förseende med magistratens pass.]	  1
