Name	Count
Total count: 	93
Delarna specificerade	67
Delarna specificerade;Antikv 970324, Rehnström, kat.s, 10	 6
Delarna specificerade;Antikv 961003, Rehnström, kat. s, 7 cm;1997-11-11/JO	 5
Delarna specificerade;Antikv 000808, Mats Rehnström, S	 4
Delarna specificerade;Antikv 970722, Centralantikvariatet, s, 10, variantex;1997-09-23/JO	 3
700 ändrat 980730/uh	 2
Antikv 970129, Rehnström, ersättningsex., kat. s, 4 cm	 1
Antikv 971119, Lindberg&Persson,s,3;2000-02-07/JO	 1
Delarna specificerade;Antikv 010418, Claes Olofsson, ersättningsex., S	 1
h;Delarna specificerade;Delarna specificerade	 1
IS	 1
'Katalog -1955': Uppsala, Kungl. Vetenskapssocieteten;Delarna specificerade;NB:UR	 1
