Name	Count
Total count: 	6558
1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912;1849-1912	40
1807-1892;1807-1892;1807-1892;1807-1892;1807-1892;1807-1892;1807-1892;1807-1892	33
1843-1898;1843-1898;1843-1898;1843-1898	23
1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940;1858-1940	18
1804-1877;1804-1877	16
1865-1952;1865-1952;1865-1952;1865-1952;1865-1952;1865-1952;1865-1952;1865-1952;1865-1952;1865-1952	15
1819-1894;1819-1894;1819-1894;1819-1894	14
1870-1928;1870-1928	14
1483-1546;1483-1546;1483-1546;1483-1546;1483-1546;1483-1546;1483-1546;1483-1546;1483-1546;1483-1546	13
