Name	Count
Total count: 	1227
Gustav;Gustav	19
Bruzelius, Emanuel	13
Liljencrants, Johan,;Liljencrants, Johan	13
Ugglas, Samuel af	13
Edelcreutz, Daniel	12
Gjörwell, Carl Christoffer,;Gjörwell, Carl Christoffer,;Gjörwell, Carl Christoffer	 9
Kalm, Pehr,;Kalm, Pehr	 9
Bergman, Torbern	 7
Björnståhl, Jacob Gustaf	 7
Hedin, Sven Anders	 7
Svebilius, Olof,;Svebilius, Olof,;Svebilius, Olof,;Svebilius, Olof,;Svebilius, Olof	 7
Arndt, Johann,;Arndt, Johann	 6
Edelcrantz, Abraham Niclas,;Edelcrantz, Abraham Niclas,;Edelcrantz, Abraham Niclas,;Edelcrantz, Abraham Niclas	 6
Elfving, Anders	 6
Hesselius, Andreas,;Hesselius, Andreas,;Hesselius, Andreas,;Hesselius, Andreas,;Hesselius, Andreas,;Hesselius, Andreas,;Hesselius, Andreas,;Hesselius, Andreas,;Hesselius, Andreas,;Hesselius, Andreas	 6
Karl;Karl;Karl;Karl;Karl;Karl;Karl;Karl;Karl;Karl;Karl	 6
Kullberg, Herman Anders	 6
Lagerbring, Sven,;Lagerbring, Sven	 6
Nordencrantz, Anders,;Nordencrantz, Anders,;Nordencrantz, Anders	 6
Spole, Anders	 6
Bælter, Sven	 5
Cleve, Friedrich August	 5
Dalin, Olof von,;Dalin, Olof von,;Dalin, Olof von,;Dalin, Olof von	 5
Fant, Eric Michael,;Fant, Eric Michael,;Fant, Eric Michael,;Fant, Eric Michael,;Fant, Eric Michael,;Fant, Eric Michael,;Fant, Eric Michael,;Fant, Eric Michael,;Fant, Eric Michael,;Fant, Eric Michael,;Fant, Eric Michael,;Fant, Eric Michael	 5
Flintberg, Jacob Albrecht	 5
Fuhrmann, Stephan,;Fuhrmann, Stephan	 5
Grevesmöhlen, Carl August,;Grevesmöhlen, Carl August,;Grevesmöhlen, Carl August	 5
Hammarsköld, Lorenzo	 5
Nordström, Henrik Andersson	 5
