Name	Count
Total count: 	5447
Skönlitteratur	120
Svensk skönlitteratur: romaner och noveller	101
Biografi: särskilda personer	 81
Predikningar och betraktelser	 78
Svensk skönlitteratur: poesi	 76
Skönlitteratur för mellanåldern	 56
Svensk skönlitteratur	 42
Uppbyggelselitteratur	 41
Skönlitteratur;Svensk skönlitteratur: romaner och noveller	 39
Utländsk skönlitteratur i svensk översättning: engelska: romaner och noveller	 36
Biografi Genealogi;Biografi: särskilda personer	 32
Predikningar och betraktelser;Biografi: särskilda personer	 32
Skönlitteratur;Svensk skönlitteratur: poesi	 30
Svensk skönlitteratur: noveller	 30
Kristendom Uppbyggelselitteratur	 28
Svensk skönlitteratur: dramatik	 27
Medeltidslatinsk litteratur	 26
Konst Konsthistoria;Särskilda konstnärer	 22
Arkitektur: Sverige: särskilda orter	 20
Särskilda företag	 19
Litteraturhistoria Svensk;Särskilda svenska författare	 18
Sveriges statskunskap och politik: politiska skrifter	 18
Kristendomen: allmänt	 17
Psalmer och andliga sånger	 17
Sveriges statskunskap och politik	 17
Kyrkohistoria: särskilda personer	 15
Musikalier Populärmusik;Musikalier Jazz Rock Populärmusik Besättning;Musikalier: schlager och evergreens;Musikalier: jazz, rock och populärmusik	 15
Skönlitteratur: engelska: romaner och noveller: översättningar till: svenska	 15
Historia: Sverige	 14
Kyrkohistoria	 14
Lantbruk: Sverige	 14
Skönlitteratur;Svensk skönlitteratur	 14
Bokförlag och bokhandel	 13
Filosofi: allmänt	 13
Småbarnsberättelser och sagor	 13
Tidningar Sverige	 13
Företag Särskilda	 12
Litteraturhistoria Svensk	 12
Särskilda svenska författare	 12
Biografi Genealogi	 11
Historia	 11
Kemi	 11
Kristendom Uppbyggelselitteratur;Predikningar och betraktelser	 11
Svensk skönlitteratur för barn och ungdom	 11
Finlandssvensk skönlitteratur: romaner och noveller	 10
Genealogi: särskilda släkter	 10
Latin	 10
Offentliga fester och ceremonier	 10
Skogsbruk: Sverige	 10
Tidskrifter och serier: reportage och underhållning: Sverige	 10
Alkoholfrågor: Sverige: institutioner	  9
Allmänna samlingsverk	  9
Etik	  9
Geografi: Småland: särskilda orter	  9
Kristendom Uppbyggelselitteratur;Uppbyggelselitteratur	  9
Undervisningsväsen: allmänt: Sverige: särskilda orter och skolor	  9
Utländsk skönlitteratur i svensk översättning	  9
Utländsk skönlitteratur i svensk översättning: franska: romaner och noveller	  9
Alkoholfrågor: Sverige	  8
Botanik	  8
Konst Konsthistoria	  8
Matlagning	  8
Rättsvetenskap	  8
Samlingsverk	  8
Skönlitteratur;Svensk skönlitteratur: dramatik	  8
Utländsk skönlitteratur i svensk översättning: engelska: romaner och noveller;Skönlitteratur: amerikansk: romaner och noveller: översättningar till: svenska	  8
Bakning	  7
Finlandssvensk skönlitteratur: poesi	  7
Gudstjänsten	  7
Litteraturvetenskap	  7
Musikalier Populärmusik Sverige;Musikalier Jazz Rock Populärmusik Besättning;Musikalier: schlager och evergreens: Sverige;Musikalier: jazz, rock och populärmusik	  7
Naturvetenskap	  7
Särskilda konstnärer	  7
Skönlitteratur: engelska: översättningar till: svenska: för barn och ungdom	  7
Sveriges statskunskap och politik : särskilda politiska partier	  7
Utländsk skönlitteratur i svensk översättning: danska: romaner och noveller	  7
Utländsk skönlitteratur i svensk översättning: engelska: romaner och noveller;Skönlitteratur: engelska: romaner och noveller: översättningar till: svenska	  7
Utländsk skönlitteratur i svensk översättning: tyska: romaner och noveller	  7
Allmänna tidskrifter och allmänna serier: Sverige	  6
Almanackor	  6
Almanackor: periodika	  6
Biografiska uppslagsverk: Sverige: förvaltning: periodika;Almanackor	  6
Fornisländsk och fornnorsk littaratur	  6
Geografi: reseskildringar	  6
Geografi: Stockholm	  6
Geografi: Sverige	  6
Historia Sverige Medeltiden	  6
Historia: Sverige: Karl XII 1697-1718	  6
Högskolor: Sverige: särskilda högskolor och universitet	  6
Kyrkohistoria;Kyrkohistoria: särskilda personer	  6
Latinsk litteratur	  6
Litteraturhistoria Svensk;Särskilda svenska författare;Särskilda svenska författare	  6
Mat och dryck	  6
Musik: särskilda tonkonstnärer	  6
Musikalier Populärmusik Sverige;Musikalier Jazz Rock Populärmusik Besättning	  6
Musikalier Populärmusik;Musikalier Jazz Rock Populärmusik Besättning	  6
Musikalier: salongsorkestrar;Musikalier: gammaldans	  6
Musikalier: salongsorkestrar;Musikalier: schlager och evergreens	  6
Skönlitteratur: tyska: romaner och noveller: översättningar till: svenska	  6
Utländsk skönlitteratur i svensk översättning: norska: romaner och noveller	  6
Zoologi	  6
Alkoholfrågor	  5
Astronomi	  5
Dogmatik	  5
Ekonomi och näringsväsen	  5
Fotografi	  5
Franska	  5
Geografi: Dalarna: särskilda orter	  5
Geografi: Skåne: särskilda orter	  5
Geografi: Västergötland: särskilda orter	  5
Gödselmedel och gödsling	  5
Hälsovård och sjukvård: Sverige: särskilda orter	  5
Historia Sverige Nya Tiden	  5
Historia Sverige Stormaktstiden	  5
Kateketik	  5
Militärväsen Allmänt Sverige;Militärväsen: Sverige: särskilda förband och enheter	  5
Militärväsen: Sverige: särskilda förband och enheter	  5
Musikalier Filmmusik Skådespelsmusik;Musikalier Populärmusik Sverige;Musikalier: filmmusik;Musikalier: schlager och evergreens: Sverige	  5
Musikalier Instrumentalsoli Blåsinstrument;Musikalier Dansmusik;Musikalier: dragspel;Musikalier: gammaldans	  5
Musikalier Populärmusik Sverige;Musikalier: schlager och evergreens: Sverige	  5
Musikalier: salongsorkestrar	  5
Samfund Kristna Lutherska Förenta Staterna	  5
Särskilda försäkringsföretag	  5
Sexologi	  5
Skönlitteratur;Finlandssvensk skönlitteratur: poesi	  5
Skönlitteratur;Skönlitteratur: ryska: romaner och noveller: översättningar till: svenska	  5
Spannmål och spannmålsprodukter	  5
Språk Runologi;Runologi	  5
Teologisk etik	  5
Tidskrifter Serier Allmänna	  5
Växtodlingslära	  5
Bibelutgåvor: svenska	  4
Biografi: särskilda personer;Biografi: särskilda personer	  4
Bränslen	  4
Eskatologi	  4
Fackliga organisationer: Sverige: särskilda institutioner	  4
Filosofi Historia	  4
Filosofi Historia;Särskilda filosofer	  4
Företag Särskilda;Särskilda företag	  4
Fredsfrågor och nedrustningsfrågor	  4
Genealogi Allmänt	  4
Genealogi Uppslagsverk Finland	  4
Geografi	  4
Geografi Blekinge	  4
Geografi Skåne	  4
Geografi: Blekinge: särskilda orter	  4
Geografi: Uppland: särskilda orter	  4
Historia Allmänt	  4
Historia Sverige Stormaktstiden;Historia: Sverige: Karl XII 1697-1718	  4
Historia Sverige;Historia: Sverige	  4
Historia: första världskriget 1914-1918	  4
Idrott och sport: Sverige: särskilda orter	  4
Jakt	  4
Katekeser	  4
Kristendom Mission	  4
Lantbruksredskap och lantbruksmaskiner	  4
Militärväsen: Sverige: historia	  4
Musikalier Populärmusik	  4
Musikalier: salongsorkestrar;Musikalier: schlager och evergreens: Sverige	  4
Nationalekonomi och finansväsen;Ekonomiska förhållanden	  4
Optik	  4
Penningväsen: Sverige	  4
Polemik och apologetik	  4
Religion	  4
Religionsundervisning i skolan	  4
Särskilda allmänna sällskap och föreningar	  4
Skönlitteratur;Skönlitteratur: amerikansk: romaner och noveller: översättningar till: svenska	  4
Skönlitteratur;Svensk skönlitteratur för barn och ungdom	  4
Skönlitteratur: amerikansk: romaner och noveller: översättningar till: svenska	  4
Skönlitteratur: franska: romaner och noveller: översättningar till: svenska	  4
Socialism	  4
Socialpsykologi	  4
Statskunskap och politik	  4
Svensk skönlitteratur;Musikalier: sånger och visor: texter	  4
Svensk skönlitteratur: essäer	  4
Svenska	  4
Sveriges statskunskap och politik: folkrepresentation	  4
Sveriges statskunskap och politik: val	  4
Trädgårdsskötsel: Sverige	  4
Tyska	  4
Undervisningsväsen	  4
Undervisningsväsen Sverige;Undervisningsväsen: allmänt: Sverige	  4
Uppbyggelselitteratur: periodika	  4
Uppfostran och undervisning	  4
Ägg och mejeriprodukter	  3
Analys	  3
Arkitektur Sverige	  3
Astronomi;Astronomi	  3
Bibelutgåvor	  3
Bibliografi	  3
Biografi Samlingar	  3
Biografi Uppslagsverk Sverige	  3
Böner	  3
Demografi	  3
Elektricitet och magnetism	  3
Engelska: grammatik	  3
Exegetik Bibeln;Exegetik och litteratur om Bibeln	  3
Exegetik och litteratur om Bibeln	  3
Filosofi Allmänt	  3
Fiske	  3
Fjäderfä	  3
Frihetlig socialism	  3
Fysik	  3
Fysik Allmänt;Fysik	  3
Geografi Europa Reseskildringar	  3
Geografi Östergötland	  3
Geografi Palestina Reseskildringar;Geografi: Palestina: reseskildringar	  3
Geografi Småland;Geografi: Småland: särskilda orter	  3
Geografi Södermanland;Geografi: Södermanland: särskilda orter	  3
Geografi Stockholm;Geografi: Stockholm	  3
Geografi: Dalarna	  3
Geografi: Italien: reseskildringar	  3
Geografi: Skåne	  3
Geografi: Södermanland: särskilda orter	  3
Geografi: Västmanland: särskilda orter	  3
Grönsaker och sallader	  3
Gudstjänsten Hymnologi;Hymnologi	  3
Gymnastik	  3
Handel	  3
Historia Sverige Gustavianska Tiden	  3
Historia Sverige Nya Tiden;Historia: Sverige: 1809-44	  3
Historia: Frankrike: Napoleon	  3
Historia: Sverige: 1809-44	  3
Historia: Sverige: Gustav II Adolf 1611-1632	  3
Historia: Sverige: medeltiden ca 1060-1520	  3
Högskolor: Sverige	  3
Homiletik	  3
Husdjurslära;Hästar	  3
Järnvägstrafik och spårvägstrafik: Sverige	  3
Konst Konsthistoria;Särskilda konstnärer;Särskilda konstnärer	  3
Kristendom Allmänt	  3
Kristendom Diakoni;Diakoni	  3
Kristendom Dogmatik Eskatologi	  3
Kristendom Mission;Kristen mission	  3
Kristendom Psalmer Andliga Sånger	  3
