name	count
New York NY	54
Minneapolis Mn	13
Södertäje	6
Vestervik	4
Drammen	4
Bryn Athyn PA	4
Visingsborg	3
Freiburg im Breisgau	3
Cleveland Oh	3
Wurzen	2
Vilnius	2
Seattle WA	2
Ravensburg	2
Portland Or	2
Poltava	2
Lahti	2
Haunia	2
Hardemo	2
Dortmund	2
Coventry	2
Cincinnati Oh	2
Battle Creek Mi	2
Ann Arbor MI	2
Worcester Ma	1
Witten	1
Villefranche	1
Videyar Klaustri	1
Vejle	1
Västerhaninge	1
Vălenii de Munte	1
Vågbro	1
Ulrikedal	1
Turlock Ca	1
Troy NY	1
Třebechovice pod Orebem	1
Torshavn	1
Tofteryd	1
Tempe az	1
Tacoma Wa	1
Strångsjö	1
Skedevi	1
Schwedt/Oder	1
Salt Lake City Ut	1
Rödelheim	1
Rimini	1
Reutlingen	1
Rathenow	1
Quincy Ma	1
Przemyśl	1
Pressburg	1
Pontoise	1
Plzeň	1
Passau	1
Odessa	1
Nuuk	1
Nottingham	1
Norwich Ct	1
Neutitschein	1
Neumünster	1
Nashville TN	1
Myjava	1
Mostorp	1
Monaco	1
Matadi	1
Macon	1
Luetzen	1
Ludwigshafen	1
Lindsborg ks	1
Lemnhult	1
Lawrence KS	1
Kuala Lumpur	1
Kräklinge	1
Koskö	1
Kirchhain	1
Kingchow	1
Kazan	1
Kampen	1
Järsö	1
Hyllstofta	1
Hjelmarsnäs	1
Hellerup	1
Heinola	1
Haderslev	1
Grimnäs	1
Grimma	1
Eisenberg	1
East Union MN	1
Duluth MN	1
Detmold	1
Dallas tx	1
Curacao	1
Coblenz	1
Clarens	1
Carbondale	1
Cambridge Ma	1
Calcutta	1
Calais	1
Cagliari	1
Barmen	1
Aurich	1
Angouleme	1
Ängeholm	1
Allahabad	1
Alger	1
Albuquerque	1
Acre	1
