author	author_gender	Count
-ts, 	NA	   1
A-n, Elly	ambiguous	   1
A,  (1821-1893)	NA	   7
Aagaard, G	NA	   1
Aagesen, Fr	ambiguous	   1
Aakjær, Jeppe (1866-1930)	male	   1
Aaltonen, Esko	NA	   1
Aarne, Antti	male	   1
Aarnio, Bernhard	male	   1
Aarrestad, Sven	NA	   1
Abdul, Aziz	male	   1
Abel, Wilhelm (1904-1985)	NA	   1
Abelin, Rudolf (1864-1961)	NA	   1
Abelius, Gustaf	male	   1
åberg, A V	NA	   1
åberg, Alf (1916-2011)	NA	   1
åberg, Anders	NA	   1
åberg, Edvard Georg (1853-1930)	ambiguous	   1
åberg, Erik (1889-1963)	ambiguous	   1
åberg, Ewert (1909-1983)	male	   1
åberg, Jon Olof (1843-1898)	ambiguous	  23
åberg, Karl	NA	   1
åberg, Lawrence Heap (1851-1895)	ambiguous	   2
åberg, Nils (1888-1957)	male	   4
åberg, Thorsten (1904-1989)	male	   4
Abildgaard, Peter Christian (1740-1801)	ambiguous	   1
åbom, Emmy (1865-1955)	ambiguous	   1
Abrahamson, J Mart	NA	   1
Abrahamson, Werner (1744-1812)	NA	   1
Abrahamsson, Sten	NA	   1
Abrahamsson, Stig Sigvard Egidius	male	   1
Abramsson, Konrad (1885-1956)	male	   2
åbrandt, Lorentz (1723-1782)	NA	   1
åbyson, Holger (1915-1999)	male	   1
Acharius, Erik (1757-1819)	ambiguous	   1
Achrelius, Daniel (1644-1692)	ambiguous	   1
Achrenius, Abraham (1706-1769)	ambiguous	   1
Acrel, Olof Af (1717-1806)	ambiguous	   1
ådahl, K Las A Rvid	ambiguous	   1
Adalberth, Emil (1888-NA)	NA	   3
Adam, Antoine (1899-1970)	ambiguous	   1
Adami, Johann Samuel (1638-1713)	ambiguous	   2
Adams-klingberg, Sigrid (1876-1956)	NA	   1
Adams-ray, Edward (1861-1946)	NA	   1
Adams, Adeline	NA	   1
Adams, Arthur H (1872-1936)	NA	   1
Adams, Samuel Hopkins	male	   1
Adams, Waldemar J	NA	   1
Adelborg, Ewa Ottilia	female	   1
Adelborg, Gustaf-otto (1883-1965)	NA	   1
Adell, Arthur	NA	   1
Adelswärd, Theodor (1860-1929)	male	   2
Adkins, Nelson Frederick	NA	   1
Adler, Nils	male	   1
Adler, Polly	ambiguous	   1
Adlerbeth, Gudmund Jöran (1751-1818)	male	   5
Adlercreutz, Gustaf Magnus (1775-1845)	male	   1
Adlersparre, Georg (1760-1835)	ambiguous	   1
Adlerstam, Pontus	male	   1
Adlerz, Ernst (1854-1918)	NA	   1
Adlerz, Gottfrid (1858-1918)	male	   1
Adolf, Gertrud	female	   1
Adolf, Helene (1895-1998)	female	   1
Adolfson, Carl Oskar (1883-NA)	ambiguous	   2
Adolfsson, Gunnar (1906-1983)	ambiguous	   1
Adrian-nilsson, Gösta (1884-1965)	NA	   1
Adrian, Greta (1893-1981)	NA	   1
Afzelius-alm, Leslie	ambiguous	   1
Afzelius, Anders Johan (1817-1865)	ambiguous	   1
Afzelius, Arvid (1857-1923)	NA	   1
Afzelius, Arvid August (1785-1871)	ambiguous	   2
Afzelius, Fredrik Georg (1812-1896)	ambiguous	   1
Afzelius, Karl (1887-1971)	NA	   1
Afzelius, Nils (1894-1970)	male	   2
Afzelius, Rud	male	   1
Afzelius, Rudolf	NA	   1
Afzelius, Rudolf August Helfrid	ambiguous	   1
Agardh, Carl Adolph (1785-1859)	ambiguous	   1
Agduhr, Erik	ambiguous	   2
Agdur, Bertil (1924-2000)	NA	   1
Ager, Johan Per Harald	ambiguous	   1
Agerberg, John	NA	   1
Agerstrand, Maud (1920-NA)	NA	   1
Agge, Gunnar (1900-NA)	ambiguous	   1
Agge, Ivar (1903-1978)	NA	   1
Agnér, Anna-lisa (1891-1960)	female	   1
Agner, Carl (1876-1947)	ambiguous	   2
Agner, Eric (1642-1727)	ambiguous	   1
Agrell, Nicolaus Petri (1681-NA)	NA	   1
ågren, Gunnar (1907-1982)	ambiguous	   1
ågren, Rolf	NA	   1
ågren, Sven	NA	   1
ågren, Sven Petter (1787-1860)	NA	   1
Ahde, Sverker (1902-1970)	male	   2
åhfeldt, Oskar Clemens Pontus	male	   1
åhgren, John (1893-NA)	NA	   1
Ahlberg, Adolf (1873-1967)	male	   1
Ahlberg, Alf (1892-1979)	NA	  10
Ahlberg, Betty Marie	ambiguous	   1
Ahlberg, Birgitta (1904-1983)	female	   1
Ahlberg, Gösta (1907-NA)	NA	   1
Ahlberg, Gunnar (1894-1980)	ambiguous	   1
Ahlberg, Harry (1920-2014)	ambiguous	   1
Ahlberg, Hjalmar (1897-1973)	male	   1
Ahlberg, P A (1823-1887)	NA	   1
Ahlberg, Tor (1913-2008)	NA	   1
Ahlberger, Harald	male	   1
Ahlbom, Bengt (1904-1993)	NA	   2
Ahlborn, Gunnar (1903-1978)	ambiguous	   1
Ahlelöf, Jonas (1717-1783)	NA	   1
åhlenius, Olof August (1834-1908)	ambiguous	   1
Ahlgren, August (1853-1909)	ambiguous	   2
Ahlgren, R	NA	   1
åhlin, Arvid	NA	   1
Ahlin, Ernfrid (1904-1969)	NA	   3
Ahlman, åke	NA	   1
Ahlman, Axel (1885-1970)	NA	   1
Ahlman, Frans Ferdinand	male	   1
Ahlmann, Hans W:son (1889-1974)	NA	   1
Ahlmark, Sigurd	NA	   1
Ahlquist, Israel	NA	   1
Ahlqvist, Alfred Gustaf (1838-1881)	male	   1
Ahlqvist, August (1826-1889)	ambiguous	   1
Ahlqvist, David (1900-1988)	ambiguous	   1
