original_name	original_date	final_author_id	final_author_birth	final_author_death	Count
Total count (na.rm TRUE): 	168009				
Lagerlöf, Selma	1858-1940	Lagerlöf, Selma (1858-1940)	1858	1940	1089
Strindberg, August	1849-1912	Strindberg, August (1849-1912)	1849	1912	 932
Flygare-Carlén, Emilie	1807-1892	Flygare-carlén, Emilie (1807-1892)	1807	1892	 675
Runeberg, Johan Ludvig	1804-1877	Runeberg, Johan Ludvig (1804-1877)	1804	1877	 343
Swedenborg, Emanuel	1688-1772	Swedenborg, Emanuel (1688-1772)	1688	1772	 334
Åberg, Jon Olof	1843-1898	åberg, Jon Olof (1843-1898)	1843	1898	 332
Hedin, Sven	1865-1952	Hedin, Sven (1865-1952)	1865	1952	 309
Bremer, Fredrika	1801-1865	Bremer, Fredrika (1801-1865)	1801	1865	 274
Schwartz, Marie Sophie	1819-1894	Schwartz, Marie Sophie (1819-1894)	1819	1894	 274
Luther, Martin	1483-1546	Luther, Martin (1483-1546)	1483	1546	 274
Topelius, Zacharias	1818-1898	Topelius, Zacharias (1818-1898)	1818	1898	 252
Heidenstam, Verner von	1859-1940	Heidenstam, Verner Von (1859-1940)	1859	1940	 250
Rydberg, Viktor	1828-1895	Rydberg, Viktor (1828-1895)	1828	1895	 244
Moberg, Vilhelm	1898-1973	Moberg, Vilhelm (1898-1973)	1898	1973	 220
Almqvist, Carl Jonas Love	1793-1866	Almqvist, Carl Jonas Love (1793-1866)	1793	1866	 219
Engström, Albert	1869-1940	Engström, Albert (1869-1940)	1869	1940	 215
Bellman, Carl Michael	1740-1795	Bellman, Carl Michael (1740-1795)	1740	1795	 214
Blanche, August	1811-1868	Blanche, August (1811-1868)	1811	1868	 209
Fant, Eric Michael	1754-1817	Fant, Eric Michael (1754-1817)	1754	1817	 204
London, Jack	1876-1916	London, Jack (1876-1916)	1876	1916	 200
Stark, Sigge	1896-1964	Stark, Sigge (1896-1964)	1896	1964	 200
Geijerstam, Gustaf af	1858-1909	Geijerstam, Gustaf Af (1858-1909)	1858	1909	 199
Beskow, Elisabeth	1870-1928	Beskow, Elisabeth (1870-1928)	1870	1928	 191
Strömberg, Leonard	1871-1941	Strömberg, Leonard (1871-1941)	1871	1941	 191
Stiernstedt, Marika	1875-1954	Stiernstedt, Marika (1875-1954)	1875	1954	 183
Heller, Frank	1886-1947	Heller, Frank (1886-1947)	1886	1947	 182
Lagerkvist, Pär	1891-1974	Lagerkvist, Pär (1891-1974)	1891	1974	 180
Hedenstierna, Alfred	1852-1906	Hedenstierna, Alfred (1852-1906)	1852	1906	 175
Ossiannilsson, K. G	1875-1970	Ossiannilsson, K G (1875-1970)	1875	1970	 172
Bergman, Hjalmar	1883-1931	Bergman, Hjalmar (1883-1931)	1883	1931	 172
Hasse, Nils	1905-1991	Hasse, Nils (1905-1991)	1905	1991	 170
Lafontaine, August Heinrich Julius	1758-1831	Lafontaine, August Heinrich Julius (1758-1831)	1758	1831	 165
Siwertz, Sigfrid	1882-1970	Siwertz, Sigfrid (1882-1970)	1882	1970	 152
Wahlenberg, Anna	1858-1933	Wahlenberg, Anna (1858-1933)	1858	1933	 152
Gustav	1746-1792	Gustav,  (1746-1792)	1746	1792	 150
Key, Ellen	1849-1926	Key, Ellen (1849-1926)	1849	1926	 148
Thomasson, Pehr	1818-1883	Thomasson, Pehr (1818-1883)	1818	1883	 148
Voltaire	1694-1778.	Voltaire,  (1694-1778)	1694	1778	 144
Linné, Carl von	1707-1778	Linné, Carl Von (1707-1778)	1707	1778	 143
Söderblom, Nathan	1866-1931	Söderblom, Nathan (1866-1931)	1866	1931	 142
Boldt, Alexander	1873-1956	Boldt, Alexander (1873-1956)	1873	1956	 140
Oterdahl, Jeanna	1879-1965	Oterdahl, Jeanna (1879-1965)	1879	1965	 139
Sandberg, Algot	1865-1922	Sandberg, Algot (1865-1922)	1865	1922	 138
Kuylenstierna-Wenster, Elisabeth	1869-1933	Kuylenstierna-wenster, Elisabeth (1869-1933)	1869	1933	 137
Lindman, Arvid	1862-1936	Lindman, Arvid (1862-1936)	1862	1936	 136
Ulrich, Arvid	1870-1918	Ulrich, Arvid (1870-1918)	1870	1918	 135
Falk, Georg	1907-1960	Falk, Georg (1907-1960)	1907	1960	 135
Lagerbring, Sven	1707-1787	Lagerbring, Sven (1707-1787)	1707	1787	 134
Kalm, Pehr	1716-1779	Kalm, Pehr (1716-1779)	1716	1779	 133
Waldenström, Paul Peter	1838-1917	Waldenström, Paul Peter (1838-1917)	1838	1917	 132
Böök, Fredrik	1883-1961	Böök, Fredrik (1883-1961)	1883	1961	 128
Geijer, Erik Gustaf	1783-1847	Geijer, Erik Gustaf (1783-1847)	1783	1847	 127
Hansson, Ola	1860-1925	Hansson, Ola (1860-1925)	1860	1925	 127
Berzelius, Jacob	1779-1848	Berzelius, Jacob (1779-1848)	1779	1848	 127
Hallström, Per	1866-1960	Hallström, Per (1866-1960)	1866	1960	 126
Lindgren, Astrid	1907-2002	Lindgren, Astrid (1907-2002)	1907	2002	 124
Wallin, Johan Olof	1779-1839	Wallin, Johan Olof (1779-1839)	1779	1839	 124
Wetterbergh, Carl Anton	1804-1889	Wetterbergh, Carl Anton (1804-1889)	1804	1889	 123
