author_name	author_birth	author_death
Afzelius, Eric	1698	1762
Afzelius, Eric	1740	1795
Ahlqvist, Pehr	1755	1800
Ahlqvist, Pehr	1793	1854
Anckarström, Jacob Johan	1729	1777
Anckarström, Jacob Johan	1762	1792
Andersson, Anders	1786	NA
Andersson, Anders	1810	NA
Andersson, Anders	NA	NA
Andersson, Johan	1729	1802
Andersson, Johan	1774	1831
Andersson, Johan	NA	NA
Arnell, Lars	1689	1742
Arnell, Lars	1781	1856
Baazius, Johannes	1581	1649
Baazius, Johannes	1626	1681
Backman, Daniel	1732	1784
Backman, Daniel	1769	1834
Bagge, Fredrik	1646	1713
Bagge, Fredrik	1676	1762
Båld, Anders	1679	1751
Båld, Anders	1720	1780
Bång, Petrus	1633	1696
Bång, Petrus	1716	1786
Benzelius, Erik	1632	1709
Benzelius, Erik	1675	1743
Benzelstierna, Lars	1680	1755
Benzelstierna, Lars	1719	1800
Berch, Anders	1711	1774
Berch, Anders	1736	1770
Bildt, Knut Reinhold	1702	1751
Bildt, Knut Reinhold	1751	1818
Bohman, Johan	1708	1791
Bohman, Johan	1790	1842
Borg, Anders	1712	1753
Borg, Anders	1749	1809
Brahe, Per	1520	1590
Brahe, Per	1602	1680
Breant, Johan	1697	1763
Breant, Johan	1725	1766
Broocman, Carl Ulric	1782	1812
Broocman, Carl Ulric	1783	1812
Bruhn, Sven	1669	1748
Bruhn, Sven	1751	1821
Brunnmark, Gustaf	1726	1780
Brunnmark, Gustaf	1773	1814
Carlsson, Anders Johan	1786	1829
Carlsson, Anders Johan	1788	1829
Carlsson, Anders Johan	NA	1829
Cederström, Anders	1729	1793
Cederström, Anders	1778	1832
Cederström, Anders	NA	NA
Celsius, Olof	1670	1756
Celsius, Olof	1716	1794
Clemens	1649	1721
Clemens	1705	1774
Coyet, Wilhelm Julius	1647	1709
Coyet, Wilhelm Julius	1719	1779
Du Moulin, Pierre	1568	1658
Du Moulin, Pierre	1601	1684
Ekelund, Daniel	1732	1785
Ekelund, Daniel	1793	1879
Ek, Jacob	1744	1827
Ek, Jacob	1774	1827
Elvius, Pehr	1660	1718
Elvius, Pehr	1710	1749
Esberg, Zacharias	1666	1708
Esberg, Zacharias	1691	1734
Fersen, Axel Von	1719	1794
Fersen, Axel Von	1755	1810
Fredrik	1676	1751
Fredrik	1712	1786
Fredrik	1768	1839
Fredrik	NA	NA
Georg	1660	1727
Georg	1683	1760
Gezelius, Johannes	1615	1690
Gezelius, Johannes	1647	1718
Gother, Engelbert	1708	1775
Gother, Engelbert	1793	1833
Graan, Olaus Stephani	1620	1689
Graan, Olaus Stephani	1690	1689
Gustav	1496	1560
Gustav	1594	1632
Gustav	1746	1792
Gustav	1778	1837
Gyllenhaal, Lars Herman	1757	1830
Gyllenhaal, Lars Herman	1790	1858
Haartman, Johan	1682	1737
Haartman, Johan	1725	1787
Hadorph, Johan	1630	1693
Hadorph, Johan	1665	1695
Hagerup, Eiler	1685	1743
Hagerup, Eiler	1718	1789
Hedman, Abraham	1699	1766
Hedman, Abraham	1734	1788
Hedman, Abraham	NA	NA
Heijkenskjöld, Detlof	1707	1775
Heijkenskjöld, Detlof	1751	1824
Hermonius, Michael	1680	1749
Hermonius, Michael	1724	1758
Hesselius, Andreas	1677	1733
Hesselius, Andreas	1714	1762
Hilleström, Pehr	1732	1816
Hilleström, Pehr	1743	1816
Horrn, Johan Laurentius	1683	1741
Horrn, Johan Laurentius	1726	1801
Idman, Nils	1680	1750
Idman, Nils	1716	1790
Idman, Nils	NA	NA
Johan	1589	1618
Johan	1604	1656
Jonae, Petrus	1559	1630
Jonae, Petrus	1664	NA
Jonae, Petrus	NA	1667
Karl	1200	NA
Karl	1550	1611
Karl	1622	1660
Karl	1655	1697
Karl	1682	1718
Karl	1744	1836
Karl	1748	1818
Karl	1763	1844
Karl	NA	NA
Kernell, Per	1728	1821
Kernell, Per	1763	1807
Keyser, Henrik	1640	1699
Keyser, Henrik	1663	1699
Knös, Olof	1683	1748
Knös, Olof	1756	1804
Kolmodin, Olof	1690	1753
Kolmodin, Olof	1766	1838
Koppe, Johann Benjamin	1750	1791
Koppe, Johann Benjamin	1903	1953
Lewenhaupt, Charles Emil	1691	1743
Lewenhaupt, Charles Emil	1721	1796
Linné, Carl Von	1707	1778
Linné, Carl Von	1741	1783
Ludvig	1754	1793
Ludvig	1755	1824
Lundblad, Johan	1753	1820
Lundblad, Johan	1797	1859
Lundblad, Sven	1776	1837
Lundblad, Sven	1789	1860
Martinius, Martinus	1600	1661
Martinius, Martinus	1614	1661
Mentzer, Balthasar	1565	1627
Mentzer, Balthasar	1614	1679
Mentzer, Balthasar	1679	1741
Müller, Heinrich	1631	1675
Müller, Heinrich	1766	1833
Nordenskiöld, Carl Fredrik	1702	1779
Nordenskiöld, Carl Fredrik	1756	1828
Nordstedt, Gustaf	1683	1757
Nordstedt, Gustaf	1728	1784
Noreen, Axel	1674	1750
Noreen, Axel	1726	1799
Odelstierna, Erik	1661	1704
Odelstierna, Erik	1723	1805
Olai, Ericus	1420	1486
Olai, Ericus	1693	1486
Olai, Nicolaus	1550	1600
Olai, Nicolaus	1657	1600
Olai, Nicolaus	1658	1600
Owen, John	1560	1622
Owen, John	1563	1622
Petri, Johannes	1500	NA
Petri, Johannes	1600	NA
Petri, Laurentius	1499	1573
Petri, Laurentius	1671	1573
Petri, Laurentius	NA	1573
Petri, Olaus	1493	1552
Petri, Olaus	1600	1552
Quensel, Conrad	1676	1732
Quensel, Conrad	1727	1762
Quensel, Conrad	1767	1806
Qviding, Pehr	1730	1775
Qviding, Pehr	1733	1781
Qviding, Pehr	NA	NA
Rambach, Johann Jacob	1693	1735
Rambach, Johann Jacob	1737	1818
Rosenhane, Schering	1609	1663
Rosenhane, Schering	1754	1812
Rudbeckius, Johannes	1581	1646
Rudbeckius, Johannes	1623	1667
Rudbeckius, Petrus Johannis	1578	1629
Rudbeckius, Petrus Johannis	1625	1701
Rudbeck, Olof	1630	1702
Rudbeck, Olof	1660	1740
Rudbeck, Olof	1751	1777
Schönström, Peter	1682	1746
Schönström, Peter	1766	1838
Seton, Alexander	1738	1814
Seton, Alexander	1768	1828
Seton, Alexander	NA	NA
Skytte, Johan	1577	1645
Skytte, Johan	1612	1636
Söderman, Anders	1600	1752
Söderman, Anders	1673	1752
Strandberg, Olof	1721	1814
Strandberg, Olof	1755	1838
Strand, Olof	1690	1749
Strand, Olof	1730	1782
Sundius, Johan	1699	1774
Sundius, Johan	1778	1853
Thieme, Carl Traugott	1743	1802
Thieme, Carl Traugott	1745	1802
Thomae, Ericus	1600	NA
Thomae, Ericus	1620	NA
Tiburtius, Tiburtz	1684	1738
Tiburtius, Tiburtz	1706	1787
Tiburtius, Tiburtz	NA	NA
Torén, Magnus	1720	1807
Torén, Magnus	1770	1825
Unge, Anders	1684	1734
Unge, Anders	1718	1796
Voigt, Johann Heinrich	1613	1691
Voigt, Johann Heinrich	1751	1823
Wallenberg, Marcus	1744	1799
Wallenberg, Marcus	1774	1833
Westin, Johan	1722	1786
Westin, Johan	1751	1828
Wrangel, Erik	1686	1765
Wrangel, Erik	1721	1760
