author_name	author_birth	author_death	Count
Pachius, Petrus	1579	NA	81
Bjerkander, Clas	NA	NA	41
Cicero, Marcus Tullius	NA	NA	36
Zetherström, Johan Niclas	1738	NA	33
Schubart, Tobias	NA	NA	33
Kiellberg, Eric	NA	1785	28
Vergilius Maro, Publius	NA	NA	28
Nepos, Cornelius	NA	NA	27
Freund, Marcus	1600	NA	26
Walter, Johann Friedrich	NA	NA	22
Horatius Flaccus, Quintus	NA	NA	22
Ovidius Naso, Publius	NA	NA	21
Florén, Gabriel	NA	1705	21
Homeros	NA	NA	19
Tacitus	NA	NA	18
Curtius Rufus, Quintus	NA	NA	18
Dahlman, Carl	1761	NA	17
Bilderbeck, Ludwig Benedict Franz Von	1766	NA	17
Dent, Arthur	1607	NA	16
Werve, Hermann De	NA	NA	15
Euklides	 300	NA	15
Sjöbeck, Johan Carl	NA	1800	15
Oxenstierna Af Croneborg, Johan Thuresson	NA	NA	14
Schwartz, Caspar	1649	NA	14
Crøger, Michael	1714	NA	14
Giese, Albert	1742	NA	14
Tullius, Cicero	NA	NA	13
Phaedrus	NA	NA	13
Groth, Fromholt Torsten	NA	1778	13
Twist, Peter	1709	NA	12
östberg, Johan	NA	NA	12
Månsson, Johan	1659	NA	12
Edman, Johan	NA	1791	12
Hallander, Stephan	NA	1708	11
Sallustius Crispus, Gaius	NA	NA	11
Caesar, Gajus Julius	NA	NA	11
La Jonchère, Charles Chrétien De	NA	NA	11
Maure, Marcus	NA	NA	11
Leijonmarck, Gustaf Adolph	NA	NA	10
Skytte Schroderus, Johan Bengtsson	NA	1645	10
Förtsch, Basilius	1619	NA	10
Lund, Olof Benjamin	NA	NA	10
Bennett	1808	NA	10
Agrell, Nicolaus Petri	1681	NA	10
Eckstein, Regner	NA	NA	10
Ljungh, Sven Ingemar	NA	NA	 9
Lidtgren, Anders	NA	NA	 9
Aurelius, Aegidius Matthiæ	1648	NA	 9
Creiman, Anders	1707	NA	 9
Giremundi, Harald	NA	NA	 9
Möller, Henrik	NA	NA	 9
Andersson, Olof	NA	1802	 9
Forssberg, Jacob Christian	NA	NA	 9
Livius	NA	NA	 9
Thukydides	NA	NA	 9
Boëthius, Jacob Georg	1781	NA	 9
Hagelin, Jonas	NA	NA	 9
Hansson, Joseph	NA	NA	 9
Nordström, Pehr Jacobsson	NA	NA	 9
Möller, Herman Arnold	NA	NA	 9
Fahlberg, Samuel	NA	NA	 8
Chapman, Frederik Henrik Af	NA	NA	 8
Müller, Gottlieb	NA	NA	 8
Anakreon	NA	NA	 8
Plinius	NA	NA	 8
Sofokles	NA	NA	 8
Pindaros	NA	NA	 8
Hoffman, Nicolaus Ingewald	NA	NA	 8
Norman, Erik	NA	1851	 8
Joëlsson, Nathanaël	1775	NA	 8
Naundorff, Egid	NA	NA	 7
Bodinus, Ericus Jonæ	1696	NA	 7
Des Pepliers, J Robert	NA	NA	 7
Nyström, L	NA	NA	 7
Montin, Johan	NA	1756	 7
Lubomirski, Johan Albert	NA	NA	 7
Andersson, Anders	NA	NA	 7
Magnusen, Finn	NA	NA	 6
Hollsten, Jonas	NA	NA	 6
Stengel, Johan Peterson	1600	NA	 6
Donatus, Aelius	NA	NA	 6
Carr, John	NA	NA	 6
Wulf, Anders	NA	NA	 6
Wester, Christian	NA	NA	 6
Ingelberg, Henric	NA	NA	 6
Holm, Margareta Ericsdotter	NA	NA	 6
Jaern, Wilhelm	NA	NA	 6
Pythagoras	NA	NA	 6
Xenofon	NA	NA	 6
Theofrastos	NA	NA	 6
Aisopos	NA	NA	 6
Josephus, Flavius	NA	NA	 6
Graedener, Friedrich Adolph	NA	NA	 6
Morian, Christian Eberhard	NA	1735	 6
Hoefer, Johann Cyriacus	1600	NA	 6
Rüdling, Johann Georg	NA	1742	 6
Reuterskiöld, Jan Evert	NA	NA	 5
Höst, Jens Kragh	NA	NA	 5
Hjortberg, Gustaf Fredrik	NA	NA	 5
Friis, Nicolaus Christian	NA	NA	 5
Fagræus, Jonas Theodor	NA	NA	 5
Bergsten, Nils Johan	NA	NA	 5
Beccatini, Francesco	NA	NA	 5
Arfvedson, Johan August	NA	NA	 5
Ungius, Petrus Johannis	1655	NA	 5
Petri, Thomas	1605	NA	 5
Falk, Ericus Johannis	1641	NA	 5
Arenius, Olaus Magni	1682	NA	 5
Holmgren, Johan Fredric	NA	NA	 5
Törnqvist, Erland	NA	NA	 5
Westrin, Lars	NA	NA	 5
Sheriffe, Sarah	NA	NA	 5
Montalembert, Marie Joséphine De Comarieu De	NA	1832	 5
Richter, C F W	NA	NA	 5
Müller, Gotthelf Friedrich	1814	NA	 5
Aurelius, Marcus	NA	NA	 5
Hoffmann, Johann Adolph	NA	1731	 5
Isokrates	NA	NA	 5
Lönnström, Carl Jacob	NA	NA	 5
Plutarchos	NA	NA	 5
Hardt, Richard Von Der	1714	NA	 5
Eenberg, Johan	1709	NA	 5
Diurman, Peter P	1700	NA	 5
Dahl, Zacharias M	NA	1754	 5
Asklund, Arvid	NA	NA	 5
Lindfors, Eschill	NA	NA	 5
Eklund, Mårten	NA	NA	 5
Andersson, Gustaf	NA	NA	 5
Synnerberg, Lars Nilsson	1738	NA	 5
Graeff, Ernst	NA	NA	 5
Marcadet, Jean	NA	NA	 5
Theyls, Willem	NA	NA	 4
Roos, O Lof G Ustaf	NA	NA	 4
Palin, Nils Gustaf	NA	NA	 4
Baden, Torkel	NA	NA	 4
Lilliestråle, Joachim Wilhelm	NA	NA	 4
Lemström, Henrik	NA	NA	 4
Leijel, Carl	NA	NA	 4
Lancken, Ehrenfried Von Der	NA	NA	 4
Kiellberg, Erik	NA	NA	 4
Iproclis	NA	NA	 4
Götlin, Erik	NA	NA	 4
Brown, John	NA	NA	 4
Bohr, Christian Frederik Gottfried	NA	NA	 4
Bielke, Sten Carl	NA	NA	 4
Sabancorus, Nicolaus Johannis	1621	NA	 4
Ragueau, François	1605	NA	 4
Petrejus, Johannes	1600	NA	 4
Meyer, Johannes	1600	NA	 4
Martini, Lucas	1599	NA	 4
Laurentii, Laurentius	1621	NA	 4
Hortulanus, Henrik Olofsson	1600	NA	 4
Geijger, Matthias	1600	NA	 4
Eenhorn Von Geisz, Antonius	1600	NA	 4
Collinus, Ericus Laurentii	1600	NA	 4
Cato Dionysius	NA	NA	 4
Benedicti, Haquinus	1600	NA	 4
Arosiandrinus, Andreas Johannis	1600	NA	 4
Schaeffer, Abraham Ottman Hermann	NA	1835	 4
Seipell, Johan Reinhold	NA	NA	 4
Stenborg, Pehr	NA	NA	 4
Bock, Johan Hindric	1742	NA	 4
Apuleius	 125	NA	 4
Carelberg, Carl Georg	NA	NA	 4
De Britaine, William	NA	NA	 4
Hagen, Lorentz	NA	NA	 4
Jacobi, Catharina	NA	NA	 4
Bergbo, Skogekär	NA	NA	 4
Greggelund, Jonas	NA	NA	 4
Båld, Eric	NA	NA	 4
Augustinus, Aurelius	NA	NA	 4
Raffn, Albert	NA	NA	 4
Lejonhartin, Maria Elisabet	NA	NA	 4
Wolimhaus, Johannes Simonis	1600	NA	 4
Barenius, Georgius	1600	NA	 4
Ziegler, Th	NA	NA	 4
Roland, Armande	NA	NA	 4
Pihlström, Carl	NA	NA	 4
Forslund, Samuel	NA	NA	 4
Lebh, Jehuda	NA	NA	 4
Seneca, Lucius Annaeus	NA	NA	 4
Hesiodos	 700	NA	 4
