original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	299525
8:o.	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	 17295
4:o	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	 16861
4:o.	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	 14428
8:o	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	  5241
8:o(4).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	  1922
12:o.	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	  1816
2:o.	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	  1286
16:o.	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	  1125
1:o	1to	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	   943
20 cm	NA	NA	 20.0	FALSE	NA	 13.0	 20.0	NA	  260.00	   680
23 cm	NA	NA	 23.0	FALSE	4to	 18.0	 23.0	 0	  414.00	   618
22 cm	NA	NA	 22.0	FALSE	8vo	 15.0	 22.0	 0	  330.00	   598
24 cm	NA	NA	 24.0	FALSE	4to	 19.0	 24.0	 0	  456.00	   542
21 cm	NA	NA	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	   529
19 cm	NA	NA	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	   523
30 cm	NA	NA	 30.0	FALSE	NA	 20.0	 30.0	NA	  600.00	   475
18 cm	NA	NA	 18.0	FALSE	NA	 12.0	 18.0	NA	  216.00	   442
12:o	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	   429
25 cm	NA	NA	 25.0	FALSE	4to	 19.0	 25.0	 0	  475.00	   418
12:o(6).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	   397
12:o(avl.).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	   395
2:o	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	   342
16:o	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	   300
29 cm	NA	NA	 29.0	FALSE	NA	 20.0	 29.0	NA	  580.00	   269
1:o.	1to	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	   249
4:o(2).	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	   207
26 cm	NA	NA	 26.0	FALSE	4to	 20.0	 26.0	 0	  520.00	   189
31 cm	NA	NA	 31.0	FALSE	NA	 21.0	 31.0	NA	  651.00	   172
17 cm	NA	NA	 17.0	FALSE	NA	 12.0	 17.0	NA	  204.00	   164
28 cm	NA	NA	 28.0	FALSE	NA	 20.0	 28.0	NA	  560.00	   160
27 cm	NA	NA	 27.0	FALSE	NA	 20.0	 27.0	NA	  540.00	   150
16:o(8).	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	   136
16 cm	NA	NA	 16.0	FALSE	NA	 11.0	 16.0	NA	  176.00	   133
32 cm	NA	NA	 32.0	FALSE	2fo	 21.0	 32.0	 0	  672.00	   130
8:o(4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	   127
14 cm	NA	NA	 14.0	FALSE	16mo	 11.0	 14.0	 0	  154.00	    86
15 cm	NA	NA	 15.0	FALSE	16mo	 12.0	 15.0	 0	  180.00	    86
Hög 12:o.	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	    84
lit. 8:o	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	    82
1:o(tv.).	1to	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	    73
34 cm	NA	NA	 34.0	FALSE	2fo	 22.0	 34.0	 0	  748.00	    65
35 cm	NA	NA	 35.0	FALSE	2fo	 23.0	 35.0	 0	  805.00	    62
33 cm	NA	NA	 33.0	FALSE	2fo	 22.0	 33.0	 0	  726.00	    61
24:o.	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	    56
