original	pagecount	volnumber	volcount	Count
NA	NA	NA	NA	7017
[4] s.	   4	NA	NA	 336
16 s.	  16	NA	NA	 257
[04] s.	   4	NA	NA	 255
[08] s.	   8	NA	NA	 199
32 s.	  32	NA	NA	 151
s.	NA	NA	NA	 141
24 s.	  24	NA	NA	 135
[8] s.	   8	NA	NA	 103
48 s.	  48	NA	NA	  96
12 s.	  12	NA	NA	  86
[02] s.	   2	NA	NA	  86
20 s.	  20	NA	NA	  84
16s	  16	NA	NA	  76
64 s.	  64	NA	NA	  75
08 s.	   8	NA	NA	  75
[16] s.	  16	NA	NA	  72
8 s.	   8	NA	NA	  67
40 s.	  40	NA	NA	  67
15 s.	  15	NA	NA	  66
[2] s.	   2	NA	NA	  65
2 vol.	NA	NA	 2	  59
32s	  32	NA	NA	  58
96 s.	  96	NA	NA	  53
14 s.	  14	NA	NA	  50
28 s.	  28	NA	NA	  49
[1] bl.	   2	NA	NA	  48
31 s.	  31	NA	NA	  48
56 s.	  56	NA	NA	  47
160 s.	 160	NA	NA	  46
36 s.	  36	NA	NA	  46
47 s.	  47	NA	NA	  45
144 s.	 144	NA	NA	  45
23 s.	  23	NA	NA	  45
80 s.	  80	NA	NA	  44
[12] s.	  12	NA	NA	  44
30 s.	  30	NA	NA	  40
63 s.	  63	NA	NA	  40
18 s.	  18	NA	NA	  39
128 s.	 128	NA	NA	  38
8s	   8	NA	NA	  37
72 s.	  72	NA	NA	  35
26 s.	  26	NA	NA	  34
44 s.	  44	NA	NA	  33
15s	  15	NA	NA	  33
120 s.	 120	NA	NA	  32
24s	  24	NA	NA	  32
22 s.	  22	NA	NA	  32
45 s.	  45	NA	NA	  31
19 s.	  19	NA	NA	  31
192 s.	 192	NA	NA	  30
29 s.	  29	NA	NA	  29
3 s.	   3	NA	NA	  29
95 s.	  95	NA	NA	  29
88 s.	  88	NA	NA	  27
11 s.	  11	NA	NA	  27
96s	  96	NA	NA	  26
84 s.	  84	NA	NA	  26
[48] s.	  48	NA	NA	  25
158 s.	 158	NA	NA	  25
62 s.	  62	NA	NA	  25
12s	  12	NA	NA	  25
48s	  48	NA	NA	  25
52 s.	  52	NA	NA	  24
20s	  20	NA	NA	  24
112 s.	 112	NA	NA	  24
40s	  40	NA	NA	  24
21 s.	  21	NA	NA	  23
64s	  64	NA	NA	  23
39 s.	  39	NA	NA	  23
27 s.	  27	NA	NA	  23
60 s.	  60	NA	NA	  22
[24] s.	  24	NA	NA	  22
55 s.	  55	NA	NA	  22
61 s.	  61	NA	NA	  21
58 s.	  58	NA	NA	  21
143 s.	 143	NA	NA	  21
288 s.	 288	NA	NA	  21
19s	  19	NA	NA	  21
[32] s.	  32	NA	NA	  20
46 s.	  46	NA	NA	  20
43 s.	  43	NA	NA	  20
136 s.	 136	NA	NA	  20
10 s.	  10	NA	NA	  20
34 s.	  34	NA	NA	  20
78 s.	  78	NA	NA	  20
1 bl.	   2	NA	NA	  20
7 s.	   7	NA	NA	  20
191 s.	 191	NA	NA	  20
[28] s.	  28	NA	NA	  19
92 s.	  92	NA	NA	  19
104 s.	 104	NA	NA	  19
190 s.	 190	NA	NA	  19
148 s.	 148	NA	NA	  19
212 s.	 212	NA	NA	  19
224 s.	 224	NA	NA	  19
31s	  31	NA	NA	  19
196 s.	 196	NA	NA	  18
37 s.	  37	NA	NA	  18
127 s.	 127	NA	NA	  18
38 s.	  38	NA	NA	  18
68 s.	  68	NA	NA	  18
175 s.	 175	NA	NA	  18
3 vol.	NA	NA	 3	  18
51 s.	  51	NA	NA	  18
184 s.	 184	NA	NA	  18
204 s.	 204	NA	NA	  18
14s	  14	NA	NA	  17
91 s.	  91	NA	NA	  17
