Name	Count
Total count: 	35002 (out of 385771ie. 9.1%)
Sverige.	13105
Riksdagen	 3450
Sverige.;Sverige.	 1156
Edman	  473
Berling	  455
Mattsson	  328
Werner	  267
Frenckell	  231
Keyser	  219
Wankijff	  181
Meurer	  180
Sveriges kommunistiska parti (1921-1967)	  172
Salvius	  162
Nationalmuseum	  159
Nordström	  156
Sveriges socialdemokratiska arbetareparti	  146
Horrn	  130
Reusner	  120
Olofsson Helsing	  119
Hansson	  118
Sverige.;Sverige.;Sverige.	  117
Carlbohm	  114
Merckell	  104
Kempe	   86
Höjer	   70
Lindh	   69
Günther	   66
Kongl. Finska boktryckeriet	   66
Biörkman	   64
Brand	   64
Brockenius	   61
Hesselberg	   61
Wall	   61
Grefing	   58
Hesselberg, Peter	   57
Kungl. Tryckeriet	   57
Sveriges arbetares centralorganisation	   56
Deleen	   55
Svenska kyrkan.	   54
Wald	   54
Curio	   53
Ungsocialistiska partiets förlag	   50
Winter	   49
Svenska metallindustriarbetareförbundet	   48
Kungl. Ortnamnskommissionen	   47
Lange	   45
Svenska missionsförbundet	   45
Haberegger	   43
Eberdt	   41
Holmberg	   40
Svenska turistföreningen	   39
Uppsala universitet	   39
Kämpe	   38
Gutterwitz	   37
Norberg	   37
Kungl. Vetenskapsakademien	   36
Nyström	   36
Decreaux	   34
Kungl. Vitterhets historie och antikvitets akademien	   34
Lauringer	   34
1946 års skolkommission	   33
Svenska metallindustriarbetareförbundet.	   33
Kungl. Vitterhets historie och antikvitets akademien;Riksarkivet	   32
Svenska litteratursällskapet i Finland	   32
Burchardi	   31
Uppsala universitet.	   31
Arbetarkultur	   30
Grefwe	   30
Wallius	   30
Vattenfallsstyrelsen	   29
Arbetarnas bildningsförbund	   28
Janssonius	   28
Kungl. tryckeriet	   28
Marquard	   28
Palmblad	   28
Svenska akademien	   28
Svenska missionsförbundets ungdom	   28
Zeipel et Palmblad	   28
Zetterberg	   28
Grefingska tryckeriet	   27
Liljevalchs konsthall	   27
Lundblad	   27
Hagen	   26
Stenhammar et Palmblad	   26
Stolpe	   26
Norstedt	   25
Reg. Acad.	   25
Eckhardt	   24
Kooperativa förbundet	   24
Landsorganisationen i Sverige	   24
Leffler	   24
Nordiska museet	   24
Sverige.;Wankijff	   24
Federativ	   23
Svenska kyrkans diakonistyrelse	   23
Wahlström	   23
Bellmanssällskapet	   22
Billingsley	   22
Stockholm.	   22
Svenska frimurare orden.	   22
Svenska missionsförbundet i Amerika	   22
Svenska Röda korset	   22
Järnvägsstyrelsen (1888-1962)	   21
Regiae Academiae typographi	   21
Sverige.;Werner	   21
Wahlström & Låstbom	   21
Kungl. Lantbruksakademien	   20
Uppsala.	   20
Björckegren	   19
Möller	   19
Godtemplarorden	   18
Elmén;Granberg	   17
Hultman	   17
Kiesewetter	   17
Kongelige Nordiske Oldskrift-Selskab	   17
Nyström och Stolpe (1759-1766)	   17
Selow	   17
Statens historiska museum	   17
Svenska bibliska traktat sällskapet	   17
Sverige.;Meurer	   17
Wankijff;Sverige.;Sverige.	   17
Frälsningsarmén	   16
Gercken	   16
Hæggström	   16
Hörberg	   16
Industriens utredningsinstitut	   16
Jernkontoret	   16
Kongl. Svenska landtbruks-academien	   16
Kumblin	   16
Lunds universitet.	   16
Riksarkivet	   16
Schneider	   16
Christofer Reusner	   15
Deleen;Forsgren	   15
Evangeliska fosterlandsstiftelsen	   15
Hantsch	   15
Hjerta	   15
Pauli	   15
Röse	   15
Socialistiska partiet (1934-1944)	   15
Svenska kommunalarbetareförbundet.	   15
Svenska teknologföreningen	   15
Augustanasynoden	   14
Centralförbundet för nykterhetsundervisning	   14
Fougt	   14
Kungl. biblioteket.;Svenska musikhandlareföreningen	   14
Lunds universitet	   14
Rahm	   14
Regiae Academiae Typographi	   14
Stockholms högskola.	   14
Sveriges industriförbund	   14
Sveriges kommunistiska ungdomsförbund	   14
Sveriges studerande ungdoms helnykterhetsförbund	   14
Eckstein	   13
Leffler & Sebell	   13
Riksdagen;Riksdagen	   13
Rönberg	   13
Sveriges socialdemokratiska ungdomsförbund	   13
Telegrafstyrelsen	   13
Turistföreningen (Finland)	   13
Enaeus	   12
Fackskolan för huslig ekonomi	   12
Gadelius	   12
Grahn	   12
Skandinaviska socialistiska arbetare-förbundet af Amerika	   12
Socialdemokratiska ungdomsförbundet	   12
Svenska järnvägsmannaförbundet	   12
Svenska kyrkans missionsstyrelse	   12
Svenska teknologföreningen;Letterstedtska föreningen	   12
Sveriges allmänna konstförening	   12
Sveriges kristliga studentrörelse	   12
Wennberg	   12
Axmar	   11
Centralförbundet för socialt arbete	   11
Högerns riksorganisation	   11
Petré	   11
Regiæ academiæ typographi	   11
Sundqvist	   11
Svenska bankföreningen	   11
Svenska evangeliska missionsförbundet i Amerika	   11
Svenska freds- och skiljedomsföreningen	   11
Sverige.;Keyser	   11
Sverige.;Werner, Johan Heinrich	   11
Wankijff;Sverige.	   11
Broocman	   10
Falck	   10
Ford Motor Company	   10
Generalstabens krigshistoriska avdelning	   10
Kungl. automobilklubben	   10
Livrustkammaren	   10
Londicer	   10
Lundström;Westberg	   10
Marcus	   10
Mosaiska församlingen (Stockholm)	   10
Nordiska kompaniet	   10
Publicistklubben	   10
Radiotjänst	   10
Sohm	   10
Svenska läkaresällskapet	   10
Svenska livsmedelsarbetareförbundet.	   10
Svenska slöjdföreningen	   10
Svenska stadsförbundet.	   10
Sveriges allmänna exportförening	   10
Sveriges socialdemokratiska vänsterparti	   10
Winge	   10
Allmänna valmansförbundet	    9
Blume	    9
Chalmers tekniska högskola.	    9
Collin	    9
Danmark.	    9
Finland.	    9
Goldenau	    9
Gustav Adolfs akademien	    9
Haeggström	    9
IOGT-NTO	    9
