Name	Count	Percentage
Total count (na.rm TRUE): 	336902	
Sweden	285059	84.61
Finland	 21119	 6.27
Germany	  8075	 2.40
Denmark	  5132	 1.52
USA	  3405	 1.01
Norway	  2975	 0.88
France	  2574	 0.76
England	  2546	 0.76
Netherlands	  1118	 0.33
Russia	   863	 0.26
Italy	   719	 0.21
Poland	   410	 0.12
Austria	   376	 0.11
Estonia	   330	 0.10
Switzerland	   310	 0.09
Czech Republic	   309	 0.09
Belgium	   287	 0.09
Iceland	   269	 0.08
Latvia	   212	 0.06
Spain	   206	 0.06
Hungary	   180	 0.05
Scotland	    92	 0.03
Argentina	    72	 0.02
Portugal	    61	 0.02
Ukraine	    41	 0.01
Canada	    30	 0.01
Turkey	    29	 0.01
India	    28	 0.01
Lithuania	    20	 0.01
Ireland	    18	 0.01
Israel	    11	 0.00
South Africa	     9	 0.00
Australia	     7	 0.00
Romania	     5	 0.00
Cuba	     3	 0.00
Mexico	     1	 0.00
Northern Ireland	     1	 0.00
