Name	Count
carl	171
erik	169
johan	136
gunnar	109
august	97
eric	72
georg	72
otto	57
martin	53
david	45
anna	44
carl gustaf	41
paul	40
elisabeth	38
emilie	38
richard	34
daniel	32
harry	32
carl august	30
robert	30
frank	28
carl johan	27
carl fredrik	26
christian	26
andreas	24
george	24
helge	24
johan ludvig	24
walter	24
william	24
charles	23
ebba	23
ellen	23
johann	23
jon olof	23
olle	23
elin	22
anton	20
bo	20
elis	20
victor	20
maria	19
abraham	18
carl wilhelm	18
henry	17
johan fredrik	17
karin	17
max	17
elsa	16
erik gustaf	16
marie sophie	16
carl axel	15
carl von	15
johan august	15
carl olof	14
johan gustaf	14
jules	14
leonard	14
sam	14
carl georg	13
louis	13
alexander	12
allan	12
carl jonas love	12
carl michael	12
eric michael	12
ester	12
gustaf von	12
johan henrik	12
johan peter	12
ola	12
carl magnus	11
gabriel	11
joseph	11
mary	11
tore	11
verner von	11
august heinrich julius	10
carl anton	10
gustaf af	10
ingrid	10
jean	10
lars johan	10
lisa	10
simon	10
carl g	9
carl peter	9
johan jacob	9
johan lindström	9
johan olof	9
johann jacob	9
karl johan	9
adrian	8
andreas olavi	8
annie	8
benjamin	8
bernhard von	8
betty	8
conrad	8
elizabeth	8
ella	8
erik johan	8
johan christian	8
johann heinrich	8
mark	8
ruben	8
alice	7
carl axel hjalmar von	7
henri	7
ivan	7
johan alfred	7
johan erik	7
karl august	7
leo	7
leon	7
maurice	7
nils johan	7
paul peter	7
adolf erik	6
alexandre	6
aron	6
carl christoffer	6
fabian	6
friedrich von	6
georg von	6
jacques	6
joel	6
johan gabriel	6
johnny	6
kristian	6
martha	6
olof von	6
otto von	6
tom	6
william earl	6
adam	5
alexis	5
alfr	5
alfred gabriel	5
anders johan	5
anna maria	5
august hermann	5
august von	5
berkeley	5
carl alfred	5
carl david	5
carl erik	5
christopher	5
dagny	5
eli f	5
emily	5
fred	5
guy	5
ingeborg maria	5
jenny maria	5
johan c w	5
johan eric	5
johan gottschalk	5
johan michael	5
johann friedrich	5
karl erik	5
lars erik	5
marie	5
per august	5
rafael	5
robert louis	5
rosa	5
ruth	5
sid roland	5
alli	4
alma	4
and	4
august emil	4
bernard	4
carl axel magnus	4
carl christian	4
carl david af	4
carl eric	4
carl friedrich	4
carl julius	4
carl robert	4
elly	4
ester blenda	4
fr	4
frans august	4
gustaf benjamin	4
guy de	4
henning von	4
irma	4
jane	4
johan axel	4
johan christopher	4
johan david	4
johan petter	4
johan wilhelm	4
magnus af	4
margaret wolfe	4
margit von	4
nataly von	4
otto d	4
paul oskar	4
per daniel amadeus	4
raymond	4
rune	4
sara	4
sophie	4
sven christian	4
tora	4
verner	4
wilhelm erik	4
wilkie	4
abraham peter	3
abraham zacharias	3
agnes von	3
aleksis	3
anders af	3
anders carlsson af	3
arno rafael	3
arvid august	3
august gottlieb	3
august waldemar	3
aurora	3
aurora von	3
axel johan	3
carl adolf	3
carl anders	3
carl edvard	3
carl evert	3
carl fredrik von	3
carl herman	3
carl ludwig	3
charles albert	3
charles emil	3
christian august	3
christian heinrich	3
clara	3
david w	3
e walter	3
edward sylvester	3
elise	3
erik august	3
erik axel	3
erik g	3
erik wilhelm	3
frances parkinson	3
françois de salignac de la mothe	3
fred m	3
fritz richard	3
geo	3
georg friedrich	3
gerd	3
germaine de	3
gustaf johan	3
hedvig aurora	3
helge g	3
henrik florus	3
hilda	3
inger	3
jacob christian	3
janne	3
jean franc̦ois	3
joe	3
johan adolf	3
johan anders	3
johan benedict	3
johan bernhard	3
johan daniel	3
johan edvard	3
johan emanuel	3
johan evert	3
johan georg	3
johan jakob	3
johan magnus	3
johan oscar theodor von	3
johan vilhelm	3
johann matthias	3
johann samuel	3
johann wolfgang von	3
john victor	3
justus	3
leander	3
leonard a	3
lewis	3
marcel	3
martin p	3
niklas august	3
nils conrad	3
nils erik	3
nils von	3
otto ferdinand	3
otto wilhelm	3
ove	3
paul gerhard	3
ragnar af	3
ruben g:son	3
s ten a lgot	3
samuel von	3
sidney	3
sixten georg mauritz	3
sophia elisabeth	3
sophie von	3
stephan	3
sven erik	3
vera	3
victor hugo	3
victoria	3
wilhelm von	3
willy	3
wilma	3
xavier	3
ada a:son	2
alex	2
alfred von	2
allen	2
amy	2
anders carl	2
andreas benedicti	2
ann ward	2
anna catharina	2
arnold robert	2
arvid johan	2
august wilhelm	2
auguste	2
axel august borenius	2
axel gunnar	2
axel johan einar	2
axel von	2
barbara	2
bengt carl	2
bengt johan	2
bertha von	2
beth	2
billy	2
bo gabriel de	2
bret	2
c arl fr edrik	2
camille	2
carl a h	2
carl adolph	2
carl albin	2
carl arvid	2
carl barthold	2
carl bernhard	2
carl carlsson	2
carl daniel	2
carl emanuel	2
carl emil	2
carl fabian emanuel	2
carl ferdinand alexander	2
carl gustaf von	2
carl heinrich ludwig	2
carl israel	2
carl j e	2
carl jacob	2
carl louis lennart	2
carl m	2
carl niclas	2
carl niclas von	2
carl oskar	2
carl rupert	2
carl s r	2
carl theodor	2
carl thore	2
carl ulric	2
carl v l	2
carl vilhelm	2
carl yngve	2
caroline	2
ch	2
charles a	2
christian carl fredrik	2
christian fredrik	2
christian fürchtegott	2
christian gotthilf	2
christian gottlob	2
christoph martin	2
christopher daniel	2
claes adolph	2
claude	2
conrad johann martin	2
constantia carolina amalia von	2
dale	2
dan	2
david fredrik	2
david von	2
dietrich	2
don	2
e louis	2
e temple	2
ebba margareta	2
edvin georg valdemar	2
edward daniel	2
eginhard von	2
elisa	2
ellery	2
elvin	2
emile	2
emma	2
enid	2
eric gustaf	2
eric l	2
eric petter	2
erich christian	2
erik b	2
erik j	2
erik olof	2
erik von	2
evans	2
finn	2
frances hodgson	2
fredric adolph	2
fredrik alexander	2
fru	2
gabriel thimotheus	2
gabrielle margaret vere	2
georg zacharias	2
george barr	2
gerard	2
gerhard von	2
gert	2
göran von	2
gottfried august	2
graham	2
gunnar olof	2
gustaf abraham	2
gustaf adolph	2
gustaf robert	2
h enrica j udith van	2
hans hugold von	2
heinrich von	2
helen	2
henning christian	2
henrik af	2
henry david	2
henry william	2
hilda fredrika	2
i august	2
ina	2
inez	2
ivan francevič	2
jacob gabriel	2
jacob otto	2
jakob bech	2
james oliver	2
jean baptiste	2
jeanette	2
jessie	2
johan abraham	2
johan albin	2
johan arndt	2
johan carl	2
johan christoffer	2
johan elof j ulius	2
johan emil	2
johan gunnar	2
johan gustaf johansson	2
johan israel	2
johan iwar	2
johan jacob von	2
johan joakim	2
johan julius	2
johan markus	2
johan n ordal fischer	2
johan rudolf	2
johan ulric	2
johan valentin	2
johan viktor	2
johan von	2
johann august	2
johann christoph friedrich	2
johann georg	2
johann gottfrid christian	2
johann gottlieb	2
johann gottwerth	2
john otto	2
jöran johan	2
josefina	2
joseph franklin	2
joyce	2
julie	2
julius von	2
k las a nders	2
kai	2
karin von	2
karl anders af	2
karl gabriel	2
karl gunnar	2
karl otto	2
kathryn	2
kjell	2
kjell-otto af	2
knut eric venne	2
kristen	2
kristina	2
kurt johan	2
lars august	2
lars conrad	2
lars von	2
laura	2
lauri alfred	2
lawrence heap	2
leslie	2
lev	2
llewellyn	2
lorenzo	2
lucien	2
ludvig leonard	2
mac conan	2
magnus von	2
margaret	2
mårten gabriel leijonsköld	2
martin a	2
mary roberts	2
matthias alexander von	2
max von	2
monica	2
moses	2
nils abraham	2
nils fabian helge von	2
nils gunnar fritiofsson	2
nisse	2
octavia	2
olov robert thure	2
oscar patric	2
oskar david leonard	2
otto a	2
otto e a	2
otto v	2
otto w	2
p er g ustaf	2
paul de	2
pearl	2
pehr erik	2
pehr gunnar	2
pehr johan herman	2
per erik	2
percy	2
peter andreas	2
peter august	2
robert fredrik	2
robert von	2
romain	2
sakari	2
samuel andreas	2
seth	2
simon anders	2
sten anders hj almar	2
stewart	2
stewart edward	2
sunny	2
therese	2
tyra	2
uno von	2
waldemar von	2
wilhelm alexander	2
wilhelm august	2
wilhelm fredrik joachim von	2
wille	2
william a	2
william a:son	2
william j	2
william john	2
xavier de	2
a g van	1
a gunnar	1
a nton johan	1
a roy	1
a w t von	1
a xel g abriel	1
a xel gabriel	1
abbe w	1
abel	1
abraham abrahamsson	1
abraham constantin mouradgea	1
abraham wilhelm af	1
adam kristoffer	1
adam wilhelm	1
adiel	1
adolf abraham	1
adolf daniel	1
adolf fr	1
adolf leonard	1
adolph	1
adolph b	1
adolph von	1
adolphe de	1
agar	1
agust aleksander	1
aina rosa maria	1
åke v iktor ored	1
alan allan	1
alberts	1
albrecht daniel	1
alexander -	1
alexander barry	1
alexander george	1
alexander sutherland	1
alexander teodor	1
alexander von	1
alexandra	1
alexis claude	1
alexis de	1
alf af	1
alf gunnar	1
alfred constans teofil	1
alfred constans theophil	1
alfred de	1
allan e	1
allan fredric	1
allan henrik	1
allie	1
alma karolina	1
alma luise	1
alphonse de	1
amanda	1
amleto	1
amos	1
anders de	1
anders erik daniel	1
anders otto	1
andrea	1
andreas canuti	1
andreas georg friedrich von	1
andreas jonae	1
andreas michael	1
andreas petri	1
andreas simonis	1
andreas theodori	1
andreas vilhelm	1
andy	1
angela	1
angelo waldemar	1
anita	1
ann mari	1
anna maria katarina kata f carlberg	1
anna mathilda cecilia johannesdotter	1
anna t	1
anna wilhelmina	1
anne hilarion de	1
anne s	1
anthony hope	1
antoine	1
antoine françois	1
antoine pierre augustin de	1
anton adolf	1
anton fredrik	1
anton hilmer	1
anton j	1
antonie	1
armand gaston maximilien de	1
arne eld	1
arnolds	1
arnolds p	1
aron i	1
aron iii	1
aron johanteodor	1
aron martin	1
arthur gunnar	1
arthur van	1
arvi	1
arvid david	1
arvid johan fredrik	1
arvid verner	1
asker	1
august e	1
august fredrik	1
august gideon	1
august hjeronimus	1
august j	1
august johannes	1
august melcher	1
august samuel	1
august teodor	1
august timoleon	1
august uno	1
august zacharias	1
augusta	1
augusta emilia	1
auguste de	1
auguste jacques	1
auguste v der	1
augustus c	1
austin	1
axel eric	1
axel gabriel	1
axel johan gabriel	1
axel johan joseph	1
axel julius alexander	1
axel larsen	1
axel vilhelm martin	1
axel wilhelm georg	1
b oo h enning	1
b selwyn	1
baltzar august carl von	1
baltzar von	1
bar	1
barbara juliane von	1
baronessan de pseud	1
bart	1
bela	1
bengt alexander	1
benito	1
benjamin gottlieb	1
bennett	1
benny	1
benoît joseph	1
bent	1
berent wilhelm von	1
berndt otto	1
bernice	1
bert	1
bertil von	1
betty marie	1
beverley	1
bill	1
billie	1
birger johan birger	1
bo fredrik	1
bo gustaf	1
bo ivar	1
bo johannes	1
brian	1
briger	1
brita christ	1
britt	1
bror alexander ludvig	1
bror alf g ustav a:son von	1
buford	1
c arl e manuel	1
c arl fr iedrich	1
c arl ludvig august a xel	1
c arl o skar	1
c gunnar	1
c gunnar u	1
c harles h addon	1
c harry	1
carel coenraad	1
carl a	1
carl a nton hjalmar	1
carl a:son	1
carl af	1
carl albert	1
carl albrekt	1
carl algot peter	1
carl andreas	1
carl august f d hemmansägare	1
carl axel göran	1
carl axel hjalmar	1
carl bernh sal	1
carl bernhard sebastian	1
carl bertil	1
carl bleckert	1
carl christopher	1
carl conrad	1
carl e	1
carl edvard af	1
carl erik hugo	1
carl erik idolf herman	1
carl evert bern hard	1
carl f	1
carl fabian oscar	1
carl ferd inand	1
carl ferdinand	1
carl fredrik af	1
carl friedrich august	1
carl friedrich von	1
carl g östa	1
carl gabriel	1
carl gottfrid	1
carl gustaf af	1
carl gustaf bror	1
carl gustaf frithiof	1
carl gustaf gerhard von	1
carl gustav	1
carl h	1
carl haqvin	1
carl henric	1
carl henrik	1
carl henrik walter	1
carl henry	1
carl hjalmar	1
carl i var	1
carl j	1
carl j:son	1
carl jabes william	1
carl jakob af	1
carl joh	1
carl johan af	1
carl johan danielsson	1
carl johan mortimer	1
carl johann	1
carl johansson	1
carl johnny albin	1
carl josua	1
carl l	1
carl l:son	1
carl leonard	1
carl leonhard	1
carl ludvig von	1
carl magnus casimir	1
carl magnus uno	1
carl nils olof	1
carl o	1
carl olof enok	1
carl olof peter	1
carl olov	1
carl oscar	1
carl oswald wolf von	1
carl otto	1
carl otto von	1
carl petter	1
carl philipp	1
carl reinhold	1
carl richard	1
carl robert stellan	1
carl rudolf	1
carl rudolf a:son	1
carl sam	1
carl sigurd	1
carl teodor	1
carl ulrik	1
carl urban	1
carl wiktor	1
carl wilhelm von	1
carle	1
carmen	1
carolyn	1
carson	1
cary	1
caryl p	1
caspar christopher	1
casten von	1
cathérine de	1
cecile	1
ch pierre	1
charles b	1
charles bernhard	1
charles carey	1
charles carpenter	1
charles fredrik	1
charles h	1
charles haddon	1
charles harold	1
charles hjalte georg lorentz henry humphrey s	1
charles j t	1
charles john	1
charles john cutcliffe wright	1
charles kay	1
charles p	1
charles vallentin	1
charles victor prévôt d'	1
charles webster	1
charles william	1
charles-marguerite-jean-baptiste mercier	1
charlie	1
christian albin waldemar	1
christian august gottlieb	1
christian emanuel	1
christian eric	1
christian gottfried	1
christian habbaeus von	1
christian johannes	1
christian l	1
christian langemach	1
christian magnus	1
christina	1
christina charlotta ulrica	1
christine	1
christoph christian	1
christopher mauritz	1
christopher nyholm	1
claes adam carl	1
claes adrian	1
claes axel august	1
claës christian	1
claes johan emil	1
claës oscar sebastian	1
claire	1
clara mathilda ulrika clementine f söderén	1
clarence	1
clarence edward	1
clarence william	1
claude joseph	1
claudius von	1
clemens alexander	1
clement	1
clotilde marie	1
cole	1
conny	1
conrad emil	1
conrad ferdinand	1
conrad georg friedrich elias von	1
conrad leopold	1
constance	1
cornelius hans	1
craig	1
cynthia	1
cyril arthur edward ranger	1
cyril g e	1
cyrus	1
cyrus townsend	1
d ä r von	1
d von der lyhe	1
daniel af	1
daniel august	1
daniel christopher	1
daniel eriksson	1
daniel jonae	1
daniel laurentii	1
daniel oscar	1
daniel richard	1
daniel von	1
david erik	1
david f	1
david m	1
david provinsialläkare	1
david uddo	1
davis	1
dea	1
deborah	1
demetra kenneth	1
denis	1
denis de	1
denise	1
desmond	1
didric gabriel	1
dinah maria mulock	1
dirk van der	1
doris	1
dorothy cameron	1
e dvard j ulius	1
e ggert christopher	1
e ino s akari	1
e mil n estor	1
e rik joakim von	1
e vert f rithiof	1
eberhard august wilhelm von	1
eddie	1
edg	1
edgar paul	1
edgars	1
edmond de	1
eduard maria	1
edvard fredrik von	1
edvard georg	1
edvard robert	1
edwin johan hildegard	1
egon nils erik	1
einar gabriel	1
einar otto	1
ejnar fors	1
eler alar	1
elias von	1
elis c:son	1
elisa teodor a lfred	1
elisabeth af	1
elisabeth helena	1
élise de	1
elise von	1
elizabeth m sloan	1
elizabeth orton	1
ella geologica	1
ellen beata elisabet	1
eller scener ur franska revolutionen år novell	1
elliot l	1
ellis	1
elma ehrlich	1
elon	1
elow	1
elsa von	1
elsie	1
emanuel gabriel	1
emanuel martin luther	1
emil elias kristian	1
emil martin alexander	1
emil otto	1
emma d	1
emma elisabeth	1
emma johnstone	1
emmanuel louis henri de launay	1
emmerik daniel	1
emmy	1
eni	1
enrique	1
ephraim otto	1
er abr	1
eric c:son	1
eric e:son	1
eric h	1
eric harry	1
eric lorenz ragnar	1
eric sigfrid	1
eric thomas	1
ericus benedicti	1
ericus danielis	1
erik af	1
erik arnold sixten	1
erik benjamin	1
erik engelbert	1
erik eskil gunnar	1
erik fredrik hjalmar	1
erik gunnar	1
erik gustaf georg	1
erik gustaf sven	1
erik gustaf von	1
erik h	1
erik harald kletus	1
erik henrik	1
erik hjalmar	1
erik hjalmar sigvard	1
erik josef	1
erik m p	1
erik oscar	1
erik paul gerhard c:son	1
erik petter	1
erik r	1
erik röring möinichen	1
erik t h	1
erik torvald	1
erik ulrik	1
erik valentin	1
erik w	1
erik zacharias	1
erland christian	1
ernest william	1
ernesto	1
ernst alexander	1
ernst gottfrid andreas	1
ernst graf von	1
ernst gustaf adrian	1
ernst henry	1
ernst johan	1
ernst johan albert	1
ernst joseph richard	1
ernst martin hugo	1
ernst von	1
ervin	1
esa	1
eskil ruben	1
etti de vylder	1
eugene van	1
evelyn	1
ewy	1
f anno viktor	1
f de la	1
f marion	1
f scott	1
fale henrik von	1
federico	1
felice	1
felicia buttz	1
ferdinand von	1
fernande de	1
flaminio	1
fortunat	1
fr edrik	1
fr edrik nath anael	1
fr nath	1
francais william	1
frances	1
frances mary	1
francis	1
francis charles	1
francis de	1
francis j	1
francis marion	1
francis william	1
francisco de	1
françois antoine	1
françois marie de	1
françois rené jean de	1
françois thomas marie de baculard d'	1
frank emerson	1
frank s	1
franklin allen	1
frans ali bruno	1
frans henri	1
frantz michaël von	1
franz carl	1
franz von	1
fred d	1
freda	1
freddie	1
frederick lewis	1
frederick william	1
frederik henrik af	1
fredr	1
fredr j	1
fredric ulric von	1
fredrik adolph	1
fredrik georg	1
fredrik johan	1
fredrik kristian	1
fredrik wilhelm christian	1
frida von	1
friedr christ	1
friedrich august	1
friedrich august hermann	1
friedrich heinrich christian	1
friedrich karl von	1
friedrich wilhelm von	1
friherre von	1
fritjof august	1
fritz af	1
g eoffrey howard	1
g howard	1
g östa johan jakob	1
g p de	1
g richard	1
g ustaf georg	1
g ustaf j im	1
gabriel israel	1
gabriel magni	1
gabriele	1
gabrielle	1
gaby	1
gail	1
galart de	1
gärda af	1
geoffrey	1
georg adolph	1
georg arvid valdemar	1
georg august	1
georg gabriel	1
georg gustaf alexander	1
georg joachim	1
georg karl ludwig	1
georg l	1
georg olof	1
georg peter	1
georg wilhelm christoph	1
george alfred	1
george de horne	1
george ernest	1
george f	1
george gordon	1
george harmon	1
george hubbard	1
george t	1
george wilbur	1
gérard de	1
gerda von	1
gerhard anton von	1
giovanni	1
giusta nicco	1
gladys hasty	1
göran gabriel	1
gösta abraham gustaf mathias	1
gösta af	1
gösta william	1
gotthard von	1
gotthilf heinrich von	1
gottlieb von	1
gr	1
grace	1
grace livingston	1
grant	1
gregor von	1
gudmund leonard	1
guillermo	1
gunnar a r	1
gunnar august	1
gunnar august faith	1
gunnar carlo emanuel	1
gunnar f	1
gunnar fridleif andreas	1
gunnar georg johan	1
gunnar helge	1
gunnar karl axel	1
gunnar lorentz	1
gunnar mascoll	1
gunnar oscar august	1
gunnar sigfrid	1
gunnar thorstensson	1
gustaf adolf hack	1
gustaf anton	1
gustaf aron	1
gustaf daniel	1
gustaf elis	1
gustaf erik	1
gustaf fr	1
gustaf gabriel bengtsson	1
gustaf hansson von	1
gustaf helge	1
gustaf herman von	1
gustaf kristian i ngolf	1
gustaf kristian ingolf	1
gustaf richard	1
gustaf rune	1
gustaf wilhelm af	1
gustav vilhelm leonard	1
guy beckley	1
h b marriott	1
h de vere	1
hanno	1
hans christoffer von	1
hans erik	1
