Name	Count
Astrid	317
Fredrika	304
Mathilda	253
Eva	244
Margit	213
Ingeborg	202
Gertrud	165
Helena	135
Dagmar	127
Kerstin	122
Hilma	110
Gunhild	83
Gurli	78
Anne Charlotte	73
Fanny	73
Irja	68
Ingegerd	66
Emilia	65
Elisabet	63
Magda	60
Birgitta	56
Charlotte	48
Barbro	47
Helene	46
Lotten	45
Hulda	39
Siri	39
Anna-lisa	38
Lucie	38
Hedvig Charlotta	37
Ann Margret	35
Mayne	35
Barbra	34
Emmuska	31
Florence	31
Hedda	31
Disa	29
Ethel S	29
Ragnhild	29
Richmal	29
Vendela	29
Eira	28
Hildegard	28
Karolina	28
Hildegard Johanna	27
Berit	26
Grazia	26
Ad	25
Ethel M	25
Louisa May	25
Marita	25
Amalia	24
Gunilla	24
Cajsa	23
Charlotta	22
Thekla	22
Wendela	22
Annik	21
Eva Margareta	21
Kjerstin	21
Hilja	20
Gustafva	19
Eva Von	18
Gulli	18
Julli	18
Margarete	18
Anni	17
Dikken	17
Hesba	17
Kathrine	17
Mirjam	17
Frigga	16
Netta	16
Inga-britt	15
Marta	15
Mazo	15
Ann-mari	14
Carita	14
Kersti	14
Tilda	14
Viveka	14
Efr	13
Ethel	13
Carolin	12
Lizzy	12
Maj-britt	12
Margery	12
Sofie	12
Annemarie	11
Eleanor	11
Eleanor H	11
Ngaio	11
Ulrika	11
Annalisa	10
Elswig	10
Eva Marianne	10
Fia	10
Katri	10
Lisbeth	10
Majken	10
Wissa	10
Ad Olf Alarik	9
Florence L	9
Gipsy	9
Helena Sofia	9
Lullu	9
Melita	9
Abela	8
Christianna	8
Friederike Helene	8
Kathlyn	8
Kl	8
Lolo	8
Margot	8
Marie-louise	8
Ursula	8
Aivva	7
Alvilde	7
Bitte	7
Ingeborg Wærn	7
Kitty	7
Liisa	7
Mathilde	7
Signhild	7
Teres	7
Tyyni	7
Visen	7
Viveca	7
Annika	6
Bolette	6
Concordia	6
Eivor	6
Ellinor	6
Evelina	6
Friederike Henriette	6
Gunila	6
Inkeri	6
Irmgard	6
Kajsa	6
Lillemor	6
Loulou	6
Ottilie	6
Susanne	6
Tekla	6
Thorborg	6
Toini	6
Vilhelmina	6
Walborg	6
Airi	5
Ann-marie	5
Anna-maria	5
Anna-stina	5
Anne-charlotte	5
Bengta	5
C Arl Y Ngve	5
Charlotte Von	5
Dorette	5
Eeva	5
Ewa Ottilia	5
Gertrud Karolina Amalia	5
Halldis	5
Helvi	5
Honorine	5
Jon Ad	5
Katarina	5
Kerttu	5
Kirstine	5
M Aximilian V Ictor	5
Maikki	5
Milly	5
Nicolaus Benedicti	5
Selma Ottiliana Lovisa	5
Solvig	5
Zenta	5
Ad Olf	4
Anna-lena	4
Anna-liisa	4
Astri	4
C Arl Y Ngve N Iklas	4
Charlotte Mary	4
Charmian	4
Ditha	4
Dorita Fairlie	4
Eleonora	4
Eva Agatha Stanislas	4
Eva Troll	4
Fride Bothild	4
Greta Emilia Oskara	4
Harriet Lummis	4
Helene Von	4
Kirsti	4
Lovisa Charlotta	4
Maija	4
Maj-lis	4
Margarethe	4
Pernilla	4
Rumer	4
Signild	4
Torborg	4
Ulrica Carolina	4
V Ictor	4
Veronika	4
Wivi	4
A Gnes	3
Aasta	3
Ad L	3
Adelheid	3
Annuli	3
Borghild	3
Brigitta Catharina	3
C Arl V Ictor	3
Catri	3
Eleanor Frances	3
Ettie A	3
Eva Andreètta	3
Florence Alice	3
Friederike	3
Georgette	3
Gerda Elisabet	3
Gullevi	3
Helja	3
Hilkka	3
Hillewi	3
Huldi	3
I Ngeborg	3
Ing-marie	3
Ingalill	3
Ingeborg Waern	3
Ingunn	3
Jadwiga	3
Jeja	3
Johanna Charlotta	3
Kyllikki	3
Lavinia R	3
Lisbet	3
M:me	3
Madame	3
Marga	3
Mary Louisa	3
Nanni	3
Onoto	3
Ortrud	3
Phyllis Eleanor	3
Ragnhild Thorborg	3
Rauha	3
Rebecka	3
Rosalba	3
Samuel Danielis	3
Sigrid Hedda	3
Sigyn	3
Simonne	3
Sirkka	3
Sofia Ludovika Hildegard	3
Thalia Mathilda	3
Thyris Måns	3
Vanja	3
Zofia	3
A Ugusta	2
Adja	2
Alette	2
Anja	2
Ann-sofi	2
Anni Ruth F Rebenswurzel	2
Annikki	2
Axelina	2
Beata Ulrika	2
Belloc	2
Birgitta V	2
Britt-louise	2
Carolina Beata	2
Cecily	2
Charlotte Perkins	2
Cilette	2
Coralie	2
E Mma	2
Edyth	2
Eiluned	2
Eleanor Hoyt	2
Eleonor	2
Elisabetta Rangoni	2
Engard	2
Esther Sofia Katarina	2
Ethel Cook	2
Ethel Lilian	2
Etti	2
Eulalia	2
Eva Af	2
Eva Julia Augusta	2
Eva M	2
Eva Troll Ainée	2
Eva V	2
Ferd Inand	2
Fr Ad	2
Franziska	2
Freya	2
Frideborg	2
Gertrud M	2
Giri	2
Gundel	2
Gust Ad	2
Hedvig Beata	2
Helene-charlotta Johanna Lolo	2
Helma	2
Helmy	2
Hermania Fredrica	2
Hildur Signild	2
