Name	Count
Gustaf	173
Nils	171
Hjalmar	72
Johannes	68
Fredrik	65
Henrik	56
Torsten	55
Harald	53
Pehr	49
Knut	47
Adolf	35
Magnus	34
Vilhelm	34
Viktor	33
Edvard	29
Ludvig	28
Petrus	27
Oskar	26
Theodor	25
Bernhard	23
Folke	22
Zacharias	22
Josef	21
Jakob	18
Bror	16
Fritz	15
Holger	15
Friedrich	14
Lennart	14
Mauritz	14
Svante	14
Thorsten	14
Gottfrid	13
Isak	12
Matthias	12
Reinhold	12
Anders Gustaf	11
Claes	11
Gerhard	11
Magnus Jacob	11
Stig	11
Jan	10
Gustaf Adolf	9
Gustaf Henrik	9
Natanael	9
Ossian	9
Bruno	8
Elof	8
Fredric	8
Frithiof	8
Osvald	8
Poul	8
Edouard	7
Eyvind	7
Ferdinand	7
Hasse	7
Isidor	7
Knud	7
Ludwig	7
Niels	7
Torbern	7
Bernt	6
Christoffer	6
Erkki	6
Filip	6
Gustaf Oscar Augustin	6
Hj	6
Ingemar	6
Jakob Johannes	6
Karl Friedrich	6
Karl Ludvig	6
Lage	6
Marcus Tullius	6
Snorre	6
Th	6
Aage	5
Dag	5
Eirik	5
Ejnar	5
Ewert	5
Gudmund Jöran	5
Haquin	5
Karl Fredrik	5
Karl Gustaf	5
Konrad	5
Lars Fredrik	5
Lars Gustaf	5
Leonhard	5
Paavo	5
Per Gustaf	5
Pontus	5
Quintus	5
Sverker	5
Teodor	5
Tycho	5
Vilhelm Fredrik	5
Assar	4
Fritiof	4
Gustaf F	4
Gustaf Fredrik	4
Henric	4
Hernfrid	4
J Theophil	4
Karl-erik	4
Nils G	4
Nils H	4
Nils Henrik	4
Nils Magnus	4
Per Adolf	4
Per Teodor	4
Rudyard	4
Samuel Gustaf	4
Sixten	4
Washington	4
Adolf Ludvig	3
Aimo	3
Aksel	3
Allvar	3
Anders Fredrik	3
Arvid Gustaf	3
Aug	3
Axel Vilhelm	3
Balthasar	3
Birgit Th	3
Chr	3
Clas Theodor	3
Edv	3
Edvard Wilhelm	3
Egron	3
Fredrik Adolf	3
Fredrik Wilhelm	3
Fritz Gustaf	3
Gotthilf	3
Gottlieb	3
Guido	3
Hagbard	3
Henric Jacob	3
Henrik Andersson	3
