Name	Count
anders	52
olof	50
jacob	23
lars	21
samuel	19
sven	17
peter	16
jonas	15
john	14
emanuel	8
thomas	8
bengt	7
joachim heinrich	7
michael	7
elias	6
arvid	5
hans	5
laurentius	5
anders jahan	4
clas	4
mårten	4
peter jonas	4
stéphanie félicité	4
åke	3
axel	3
christoph	3
esaias	3
frans michael	3
herman	3
israel	3
laurentius olai	3
levin	3
lorentz	3
wilhelm	3
ahasver	2
albert	2
algot	2
aloys wilhelm	2
antonio	2
christer	2
edward	2
elias emanuel	2
engelbert	2
erland	2
flavius	2
frans	2
hans jacob	2
hans olof	2
heinrich	2
isaac	2
james	2
jesper	2
johanna	2
karl	2
marcus	2
nathan	2
per	2
petter	2
pierre	2
sven anders	2
sven wilhelm	2
tobias	2
wilhelm peter	2
abbé	1
albertus	1
anders lorentz	1
anders s	1
antoine-léonard	1
antonine françois	1
antonius	1
augustin	1
aurelius	1
axel p	1
axel wilhelm	1
caspar	1
casten	1
cicero	1
claudius	1
claus	1
domenico	1
dorothea	1
eberhard	1
elias petri	1
elizabet	1
emanuel jacob	1
emmanuel-augustin-dieudonné-joseph	1
enoch haqvini	1
erland samuel	1
ernestus	1
ernst moritz	1
evald	1
faderus arvidi	1
francesco	1
françois	1
françois joachim	1
franz	1
gebhardus	1
göran	1
gustav	1
gustav olof	1
håkan	1
hans peter	1
hans philip	1
haquinus	1
hermann wilhelm	1
hugh	1
ʻumar	1
j tobias	1
jacob axelsson	1
jacobus petri	1
jeanne-louise-henriette	1
jens dinesen	1
jeremias	1
joachim	1
joachim wilhelm	1
jonas albin	1
jonathan	1
jöns	1
jöran	1
josephus matthiae	1
lars herman	1
lars petter	1
lorenz philipp gottfried	1
måns	1
marcus porcius	1
margareta ericsdotter	1
märta	1
mathias jacob	1
morten	1
nathanael	1
nicolas	1
nicolaus nicolai	1
nicolaus olai	1
olof bidenius	1
olof swensson	1
pedro	1
per ulrik	1
per wilhelm	1
peter jacob	1
peter lorenz	1
peter outzen	1
petter jonas	1
philip	1
philipp	1
philipp jacob	1
philippe françois nazaire	1
pierre-joseph	1
rasmus	1
réginald	1
roland	1
roloff	1
samuel christoph	1
samuel conradsson	1
samuel hermansson	1
schering	1
severin	1
sixtinus	1
sten	1
sven hansson	1
sven peter	1
theophilus	1
thore	1
torerus erici	1
ulrik	1
