Name	Count
Total count (na.rm TRUE): 	383348
swe	318288
ger	 14340
eng	 10793
und	  8080
lat	  7351
fre	  5967
fin	  4434
dan	  4358
nor	  2143
dut	  1155
zxx	   903
ita	   808
rus	   726
spa	   445
mul	   367
cze	   338
pol	   327
est	   313
ice	   293
---	   226
lav	   211
hun	   199
grc	   154
non	   138
por	   115
smi	    83
hrv	    80
epo	    77
bul	    69
jpn	    68
heb	    46
tur	    37
ara	    34
gre	    34
yid	    25
rum	    22
slo	    18
tir	    18
chi	    17
fao	    14
tig	    14
ukr	    14
bnt	    11
amh	    10
ido	    10
slv	    10
swa	    10
kon	     9
srp	     9
lit	     7
pli	     7
afr	     6
nds	     6
nno	     6
arm	     5
zul	     5
9fs	     4
got	     4
syr	     4
art	     3
cat	     3
fro	     3
fry	     3
gez	     3
nic	     3
san	     3
smj	     3
9fd	     2
alb	     2
arc	     2
enm	     2
fiu	     2
frm	     2
geo	     2
hin	     2
ind	     2
mlg	     2
orm	     2
per	     2
roh	     2
sme	     2
ssa	     2
uig	     2
wel	     2
9ft	     1
9mk	     1
alg	     1
ber	     1
cus	     1
da	     1
gmh	     1
hil	     1
kal	     1
kho	     1
kin	     1
kor	     1
kua	     1
mac	     1
mal	     1
oci	     1
ori	     1
pro	     1
rom	     1
sma	     1
som	     1
sp	     1
tre	     1
ty	     1
wen	     1
