Name	Count
Total count: 	3277
Fraktur	353
Antikva	295
Ingår i: Kronol. saml.	228
Fraktur;Mer än en upplaga finns	 62
Ingår i: Kronol. saml.;Fraktur	 27
=Ref.:= Bygdén.;Antikva	 26
Antikva;Fraktur	 23
Antikva;Mer än en upplaga finns	 20
=Ref.:= Bygdén.;Fraktur	 15
Ej med i förteckningen	 15
Ingen titel, text citerad	 14
Fraktur;Ingår i: Kronol. saml.	 12
Ingen titel, text citerad;Ingår i: Kronol. saml.	 12
Rubriktitel;Ej med i förteckningen	 12
Serie utg. av S.P. Leffler och E. Bruzelius (omsl.). Innehåller verk av 22 författare. Förutom serienumreringen finns en numrering som följer utgivningsordningen. Den senare numreringen återfinns endast på omslagen. Enskilda delar se;resp. uppslagsord. Nedan redovisas först innehållet enligt serienumren 1-22, därefter enligt utgivningsordningen 1-76.;Fraktur	 12
Rubriktitel	 10
=Ref.:= Bygdén.;Fraktur;Mer än en upplaga finns	  9
=Imprim.:= Oelreich.;Fraktur	  8
Rubriktitel;Impressum från kolofon	  8
Ill.;Fraktur	  6
Ingen titel, text citerad;Ej med i förteckningen	  6
Utgiven i 'samlingar' med den kortare titeln 'Historiska extracter'. Pris per samling '2 skil. 6 rst.' (2:24, s.16). Utgiven av C.C. Gjörwell, förordet till bd 1 undert. 'Historiska bokhandeln'. Gjörwell framträder med sitt namn först;i 2:22. =Imprim.= Emission av saml. 24-30, se R.Z. Becker, =Lefvernes-beskrifning om Ludvic XVI,= 1793; av saml. 31-48, se C. Girtanner, =Lefvernes-beskrifning om Ludvic XVI,= 1-4, 1793-94.;Antikva	  6
Antikva;Fraktur;Mer än en upplaga finns	  5
Fraktur;Ej med i förteckningen	  5
Ingen titel, text citerad;Impressum från kolofon	  5
Ingen titel, text citerad;Impressum från kolofon;Ingår i: Kronol. saml.	  5
=Ref.:= trycklistan.;Antikva	  4
Första rad enligt titeln. bibt:U.;Fraktur	  4
Ingår i: Band 2	  4
Ingen titel, ingress citerad	  4
