Name	Count
Total count: 	38
Warmholtz	2
Bratt-nr: 1374	1
Bratt-nr: 1573	1
Bratt-nr: 549	1
Bratt-nr: 568	1
Bratt-nr: 90	1
Collin	1
English Short Title Catalog	1
K-nr: 1152	1
K-nr: 1228	1
K-nr: 1230	1
K-nr: 1232	1
K-nr: 1825:1	1
K-nr: 1984	1
K-nr: 2293	1
K-nr: 2833	1
K-nr: 3419	1
K-nr: 399	1
K-nr: 4032	1
K-nr: 4378	1
K-nr: 560	1
K-nr: 742	1
Post-Soulsby no. 4350	1
Post-Soulsby no. 4363	1
Soulsby no. 1156	1
Soulsby no. 2595	1
Soulsby no. 3007	1
Soulsby no. 301	1
Soulsby no. 3321	1
Soulsby no. 333	1
Soulsby no. 3514	1
Soulsby no. 3583	1
Soulsby no. 361	1
Soulsby no. 362	1
Soulsby no. 417	1
Soulsby no. 430	1
Soulsby no.1344	1
