Name	Count
Total count: 	52656
4	12198
8	 7103
2	 3871
16	 3636
32	 1760
12	 1715
24	 1707
48	 1321
20	 1289
40	  808
28	  786
36	  644
18	  498
10	  474
64	  424
6	  409
26	  379
56	  364
44	  351
80	  351
96	  347
72	  332
14	  329
22	  280
60	  275
52	  270
34	  269
30	  235
112	  215
84	  213
128	  204
68	  198
120	  197
88	  183
144	  179
42	  171
104	  168
38	  158
76	  138
50	  133
46	  127
136	  114
92	  113
168	  110
100	  109
160	  105
192	  105
108	  103
54	  101
176	   98
152	   94
62	   86
66	   86
78	   82
132	   81
58	   80
184	   77
208	   76
82	   75
124	   71
74	   69
240	   67
86	   67
90	   64
116	   63
200	   62
164	   61
98	   60
148	   59
216	   59
432	   57
156	   56
360	   56
288	   55
70	   55
196	   54
102	   52
140	   51
94	   51
110	   50
204	   44
114	   42
180	   42
188	   42
224	   42
126	   41
118	   40
134	   40
142	   40
182	   40
106	   39
194	   39
312	   39
130	   38
336	   38
232	   37
122	   36
264	   36
272	   35
344	   35
146	   34
138	   33
154	   33
172	   33
220	   33
236	   33
248	   33
162	   32
212	   32
170	   31
228	   31
352	   31
384	   31
178	   29
244	   29
256	   29
332	   29
15	   28
150	   28
166	   28
190	   28
304	   28
1	   27
158	   27
174	   27
186	   27
260	   27
292	   27
296	   27
202	   26
300	   26
31	   26
318	   26
276	   25
320	   25
206	   24
210	   24
324	   24
23	   22
258	   22
280	   22
366	   22
392	   22
416	   22
424	   22
448	   22
284	   21
328	   21
376	   21
412	   21
368	   20
480	   20
19	   19
226	   19
262	   19
286	   19
316	   19
400	   19
430	   19
246	   18
552	   18
17	   17
21	   17
214	   17
234	   17
252	   17
350	   17
404	   17
408	   17
528	   17
198	   16
222	   16
242	   16
322	   16
342	   16
396	   16
436	   16
444	   16
464	   16
266	   15
278	   15
378	   15
218	   14
294	   14
298	   14
306	   14
340	   14
35	   14
420	   14
5	   14
9	   14
13	   13
250	   13
290	   13
326	   13
346	   13
348	   13
354	   13
382	   13
39	   13
438	   13
230	   12
268	   12
270	   12
308	   12
310	   12
314	   12
33	   12
388	   12
398	   12
41	   12
410	   12
418	   12
422	   12
43	   12
456	   12
968	   12
238	   11
25	   11
356	   11
37	   11
370	   11
372	   11
440	   11
544	   11
656	   11
11	   10
29	   10
380	   10
406	   10
428	   10
496	   10
516	   10
536	   10
566	   10
7	   10
254	    9
282	    9
302	    9
364	    9
390	    9
426	    9
446	    9
47	    9
472	    9
488	    9
49	    9
55	    9
560	    9
576	    9
1146	    8
27	    8
274	    8
330	    8
338	    8
358	    8
374	    8
452	    8
466	    8
470	    8
482	    8
484	    8
498	    8
508	    8
512	    8
540	    8
588	    8
624	    8
658	    8
103	    7
191	    7
386	    7
454	    7
462	    7
556	    7
562	    7
568	    7
578	    7
59	    7
592	    7
608	    7
640	    7
654	    7
95	    7
119	    6
151	    6
223	    6
271	    6
3	    6
394	    6
402	    6
45	    6
479	    6
492	    6
494	    6
502	    6
520	    6
538	    6
550	    6
558	    6
628	    6
63	    6
632	    6
65	    6
704	    6
714	    6
752	    6
766	    6
79	    6
81	    6
85	    6
99	    6
1028	    5
127	    5
161	    5
179	    5
183	    5
187	    5
211	    5
279	    5
319	    5
334	    5
335	    5
442	    5
476	    5
478	    5
504	    5
51	    5
514	    5
526	    5
53	    5
548	    5
584	    5
590	    5
648	    5
662	    5
666	    5
67	    5
672	    5
676	    5
678	    5
726	    5
772	    5
792	    5
796	    5
800	    5
87	    5
111	    4
113	    4
121	    4
125	    4
131	    4
137	    4
167	    4
185	    4
221	    4
239	    4
241	    4
243	    4
247	    4
255	    4
257	    4
299	    4
429	    4
434	    4
445	    4
450	    4
460	    4
463	    4
468	    4
474	    4
500	    4
510	    4
524	    4
530	    4
532	    4
542	    4
57	    4
574	    4
586	    4
594	    4
600	    4
604	    4
612	    4
614	    4
626	    4
636	    4
660	    4
664	    4
668	    4
680	    4
716	    4
724	    4
736	    4
75	    4
756	    4
83	    4
89	    4
890	    4
97	    4
1000	    3
105	    3
107	    3
1102	    3
115	    3
117	    3
123	    3
141	    3
145	    3
149	    3
173	    3
181	    3
193	    3
201	    3
203	    3
215	    3
253	    3
273	    3
287	    3
291	    3
295	    3
307	    3
309	    3
323	    3
343	    3
359	    3
365	    3
367	    3
377	    3
399	    3
403	    3
414	    3
415	    3
439	    3
458	    3
486	    3
522	    3
534	    3
549	    3
554	    3
580	    3
582	    3
591	    3
602	    3
616	    3
638	    3
642	    3
652	    3
674	    3
696	    3
706	    3
71	    3
718	    3
730	    3
744	    3
746	    3
750	    3
762	    3
770	    3
779	    3
810	    3
814	    3
824	    3
832	    3
840	    3
856	    3
864	    3
878	    3
894	    3
93	    3
972	    3
992	    3
1052	    2
1066	    2
109	    2
1110	    2
1160	    2
1162	    2
1176	    2
1280	    2
133	    2
135	    2
1376	    2
139	    2
1424	    2
143	    2
147	    2
1568	    2
163	    2
165	    2
169	    2
171	    2
175	    2
195	    2
197	    2
199	    2
219	    2
227	    2
245	    2
249	    2
269	    2
275	    2
281	    2
289	    2
293	    2
297	    2
301	    2
303	    2
317	    2
321	    2
333	    2
337	    2
349	    2
351	    2
362	    2
375	    2
383	    2
385	    2
387	    2
397	    2
405	    2
407	    2
419	    2
431	    2
447	    2
453	    2
459	    2
471	    2
475	    2
477	    2
490	    2
491	    2
493	    2
506	    2
511	    2
513	    2
518	    2
533	    2
563	    2
564	    2
570	    2
596	    2
598	    2
606	    2
61	    2
620	    2
622	    2
634	    2
639	    2
643	    2
647	    2
655	    2
659	    2
