Name	Count
Total count (na.rm TRUE): 	385708
0	264482
16	  4698
2	  3740
32	  3507
8	  2920
24	  2651
20	  1783
12	  1708
48	  1700
64	  1385
40	  1342
4	  1307
15	  1252
28	  1093
96	  1049
31	  1030
36	  1024
14	   928
30	   877
23	   869
80	   858
160	   855
56	   776
128	   764
18	   757
22	   732
72	   728
47	   703
19	   649
112	   645
44	   644
144	   638
63	   624
192	   624
26	   598
39	   575
52	   573
46	   551
7	   543
10	   540
34	   540
29	   533
95	   518
60	   517
27	   508
11	   496
88	   486
3	   482
68	   479
176	   478
62	   463
38	   460
224	   454
120	   449
104	   445
79	   443
159	   441
84	   435
136	   429
158	   406
127	   401
35	   399
21	   394
256	   394
152	   384
55	   379
45	   378
13	   375
78	   375
168	   371
43	   367
156	   366
42	   364
76	   363
208	   363
54	   361
108	   361
94	   359
126	   357
100	   355
240	   353
6	   352
58	   340
61	   338
111	   336
190	   334
191	   331
92	   326
50	   321
71	   315
110	   309
143	   305
184	   305
51	   303
87	   303
124	   302
25	   299
132	   299
66	   296
102	   293
288	   293
59	   289
116	   286
164	   285
216	   285
148	   283
93	   282
175	   282
103	   280
200	   275
17	   274
37	   274
142	   274
53	   273
74	   272
232	   272
125	   271
135	   269
157	   268
67	   267
174	   267
139	   264
70	   263
138	   261
151	   261
188	   259
83	   257
180	   257
75	   254
272	   253
207	   248
154	   246
91	   245
119	   245
77	   242
150	   242
82	   238
86	   238
255	   237
140	   236
122	   234
33	   233
196	   233
98	   232
118	   231
254	   229
204	   227
114	   226
223	   226
155	   225
172	   222
212	   222
222	   222
304	   222
90	   221
134	   221
206	   221
41	   219
57	   218
106	   218
189	   218
248	   218
199	   216
107	   215
123	   215
167	   215
115	   213
147	   213
183	   212
239	   212
187	   209
69	   208
109	   206
166	   206
238	   206
99	   204
49	   203
141	   203
173	   203
236	   203
215	   202
264	   202
320	   201
163	   200
228	   200
149	   199
85	   198
171	   198
220	   197
146	   195
101	   194
179	   193
131	   190
182	   190
252	   188
89	   187
130	   183
186	   182
214	   181
165	   179
178	   179
170	   178
271	   178
211	   177
244	   176
5	   175
202	   175
287	   175
117	   174
162	   174
181	   174
280	   174
221	   172
194	   169
230	   169
260	   169
137	   168
253	   168
133	   167
198	   167
205	   167
231	   167
219	   165
235	   164
237	   164
276	   164
65	   162
105	   162
246	   162
210	   161
243	   161
121	   159
195	   159
203	   159
9	   157
312	   156
197	   155
218	   154
227	   154
319	   153
251	   152
296	   152
352	   151
185	   150
250	   150
81	   146
242	   145
284	   145
73	   144
234	   142
247	   142
153	   140
263	   140
268	   140
270	   140
292	   139
336	   139
279	   138
129	   136
285	   136
300	   131
169	   130
258	   130
283	   129
286	   129
259	   128
303	   128
311	   128
275	   127
278	   125
262	   124
384	   124
226	   123
245	   123
269	   123
266	   121
360	   121
213	   120
318	   120
229	   119
267	   119
316	   118
261	   117
97	   116
217	   116
328	   116
233	   115
294	   115
298	   114
113	   113
201	   112
177	   108
193	   108
249	   108
282	   108
291	   108
301	   108
302	   106
317	   106
308	   104
327	   103
314	   102
400	   102
145	   101
324	   100
334	    99
344	    99
265	    98
310	    98
161	    97
209	    97
274	    97
277	    97
241	    95
368	    95
290	    93
335	    93
295	    92
299	    91
323	    91
307	    88
332	    88
281	    86
306	    86
315	    86
225	    85
293	    83
330	    83
331	    81
342	    80
366	    80
326	    79
322	    76
350	    76
329	    75
351	    74
356	    73
358	    72
273	    71
309	    71
348	    71
383	    71
257	    70
416	    69
343	    68
376	    68
448	    68
340	    67
354	    67
367	    67
365	    66
341	    65
321	    64
399	    64
359	    63
375	    63
325	    62
347	    62
355	    62
364	    62
378	    62
432	    62
297	    61
371	    61
382	    61
313	    59
349	    59
339	    58
346	    58
370	    57
408	    57
333	    56
390	    56
372	    55
380	    55
403	    55
305	    52
357	    52
412	    52
289	    51
374	    51
379	    51
338	    50
398	    50
406	    50
392	    49
396	    49
337	    48
377	    47
424	    47
415	    46
407	    45
363	    44
373	    44
420	    44
345	    43
464	    42
362	    41
391	    41
411	    41
404	    40
447	    40
361	    39
387	    38
394	    38
440	    38
456	    38
480	    37
512	    37
353	    36
413	    36
419	    36
388	    35
410	    35
443	    35
471	    35
386	    34
418	    34
397	    33
402	    33
431	    33
444	    33
381	    32
422	    32
430	    32
446	    32
452	    32
544	    32
393	    31
414	    31
438	    31
442	    31
427	    30
428	    30
474	    30
640	    30
395	    29
405	    29
434	    29
436	    29
472	    29
429	    28
439	    28
463	    28
479	    28
488	    28
496	    28
528	    28
369	    27
389	    27
441	    27
455	    27
468	    27
478	    27
423	    25
435	    25
493	    25
459	    24
460	    24
470	    24
486	    24
409	    23
500	    23
426	    22
482	    22
487	    22
575	    22
385	    21
451	    21
454	    21
458	    21
462	    21
484	    21
504	    21
507	    21
538	    21
568	    21
421	    20
461	    20
492	    20
631	    20
1	    19
445	    19
466	    19
503	    19
656	    19
