Name	Count
Total count: 	65
1 karta	6
1 bil.	3
1 vikt karta	2
2 kartbil.	2
3 bil.	2
rättelselapp	2
[1] vikt pl.-bl.	1
[8] vikta bl.	1
[tillägg:] [3] s.	1
1 bil. (24 s., 2 kartor)	1
1 karta i pärmficka	1
1 lös bil.	1
1 lös bil. Ill	1
1 löst bl.	1
1 löst kartbl.	1
1 löst kartblad	1
1 löst pl.-bl.	1
1 mönsterark i ficka	1
1 sångst.	1
11 bil. (185 bl. med var. pag.)	1
13 kartor	1
2 bil.	1
2 kartor i pärmficka	1
2 pl.bl.	1
2 sep. skrifter	1
3 sep. skrifter	1
4 diagrambl. i ficka	1
4 kartor	1
4 kartpl.	1
7 kartbl.	1
8 kartbl.	1
8 sep. skrifter	1
almanach	1
anteckningsbok m.m.	1
bil.	1
Bilder till ... (1)s.,7 otr. bl.	1
datorprogram (7 s.)	1
errata	1
facit (65 s.)	1
Facit 12s	1
Facit 7s	1
facitbok (14 s.)	1
färgpl.	1
Frågor till studieplan i allmän jordbrukslära. 1935. 11 s.	1
lärarens h., facit	1
Musikfacit	1
Nyckel ...	1
ordförteckning (16 s.)	1
Ordlista	1
ordlista (56 s.)	1
rättelselapp.	1
rättelser	1
Suppl.	1
vikt karta	1
