original	gatherings	width	height	obl	Count
Total count: 	312220				
NA	NA	NA	NA	NA	311905
6:o	6to	NA	NA	 0	    22
ill.	NA	NA	NA	NA	     9
8:o(8 o.	NA	NA	NA	NA	     7
Tv.-8:o.	NA	NA	NA	NA	     6
Tv.-4:o.	NA	NA	NA	NA	     6
8.o	NA	NA	NA	NA	     6
4:o (ins.: 1:o)	NA	NA	NA	NA	     6
23cm	NA	NA	NA	NA	     5
22-30 cm	NA	NA	NA	NA	     5
6:o.	6to	NA	NA	 0	     5
4:o. (ins.: 1/2:o)	NA	NA	NA	NA	     5
21-30 cm	NA	NA	NA	NA	     5
4.o	NA	NA	NA	NA	     4
22-26 cm	NA	NA	NA	NA	     4
25-30 cm	NA	NA	NA	NA	     4
Tvärfol.	NA	NA	NA	NA	     3
8 obl.	NA	NA	NA	NA	     3
fo	NA	NA	NA	NA	     2
4:o (1/2:o)	NA	NA	NA	NA	     2
4:o (bil.: 2:o)	NA	NA	NA	NA	     2
4:o (bil. 1/2:o)	NA	NA	NA	NA	     2
23-30 cm	NA	NA	NA	NA	     2
45-60 cm	NA	NA	NA	NA	     2
25cm	NA	NA	NA	NA	     2
Pat.-fol.	NA	NA	NA	NA	     2
2 vol.	NA	NA	NA	NA	     2
21-39 cm	NA	NA	NA	NA	     2
30-40 cm	NA	NA	NA	NA	     2
29-39 cm	NA	NA	NA	NA	     2
30-36 cm	NA	NA	NA	NA	     2
21-24 cm	NA	NA	NA	NA	     2
6:o(tv.).	6to	NA	NA	 0	     2
21-25 cm	NA	NA	NA	NA	     2
22cm	NA	NA	NA	NA	     2
ca 22-24 cm	NA	NA	NA	NA	     2
210 x 144 mm	NA	NA	NA	NA	     1
18x13	NA	NA	NA	NA	     1
159 s.	NA	NA	NA	NA	     1
268, 223, 256 s.	NA	NA	NA	NA	     1
30-37 cm	NA	NA	NA	NA	     1
31-34 cm	NA	NA	NA	NA	     1
25-27 cm	NA	NA	NA	NA	     1
Bdsde	NA	NA	NA	NA	     1
19-25 cm	NA	NA	NA	NA	     1
43-49 cm	NA	NA	NA	NA	     1
4o	NA	NA	NA	NA	     1
24-29 cm	NA	NA	NA	NA	     1
26-28 cm	NA	NA	NA	NA	     1
17-21 cm	NA	NA	NA	NA	     1
30-35 cm	NA	NA	NA	NA	     1
25-47 cm	NA	NA	NA	NA	     1
18-23 cm	NA	NA	NA	NA	     1
25-38 cm	NA	NA	NA	NA	     1
29-42 cm	NA	NA	NA	NA	     1
32-40 cm	NA	NA	NA	NA	     1
17x11	NA	NA	NA	NA	     1
21-41 cm	NA	NA	NA	NA	     1
50-61 cm	NA	NA	NA	NA	     1
30-50 cm	NA	NA	NA	NA	     1
30-60 cm	NA	NA	NA	NA	     1
21-34 cm	NA	NA	NA	NA	     1
13-19 cm	NA	NA	NA	NA	     1
22-36 cm	NA	NA	NA	NA	     1
36-38 cm	NA	NA	NA	NA	     1
34-49 cm	NA	NA	NA	NA	     1
30-33 cm	NA	NA	NA	NA	     1
36-47 cm	NA	NA	NA	NA	     1
30-69 cm	NA	NA	NA	NA	     1
Ca 28-29 cm	NA	NA	NA	NA	     1
ca 21-23 cm	NA	NA	NA	NA	     1
ca 21-28 cm	NA	NA	NA	NA	     1
